Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,02/10/2015,New site alterations,ROBO,Bray & Slaughter Ltd,PIS5430,"97,845.80"
BIS,HEFCE,02/10/2015,Rates,Facilities Managemen,City of London,PIS5405,"43,945.00"
BIS,HEFCE,02/10/2015,Software maintenance,ROBO,JISC Services Ltd,PIS5343,"27,162.54"
BIS,HEFCE,02/10/2015,Rates,Facilities Managemen,South Glos Council,PIS5406,"92,437.50"
BIS,HEFCE,11/10/2015,Provision of Info,E&P policy team,Centr for Enterprise,PIG14650,"57,008.40"
BIS,HEFCE,11/10/2015,"Museums, Gal & Coll",RIS policy team,Courtauld Institute,GPROSTD382389,"81,979.00"
BIS,HEFCE,11/10/2015,Inherited Staff,Finance,East Riding,GPROSTD383079,"41,442.91"
BIS,HEFCE,11/10/2015,Inherited Staff,Finance,East Sussex LEA,GPROSTD383080,"31,703.58"
BIS,HEFCE,11/10/2015,Catalyst Fund C (R),RIS policy team,Furness College,GPROSTD383147,"25,000.00"
BIS,HEFCE,11/10/2015,Catalyst Fund C (T),RIS policy team,Furness College,GPROSTD383152,"25,000.00"
BIS,HEFCE,11/10/2015,Nat Teaching Fellows,E&P policy team,HE Academy,GPROSTD382347,"520,000.00"
BIS,HEFCE,11/10/2015,Nat Teaching Fellows,E&P policy team,HE Academy,GPROSTD382348,"60,000.00"
BIS,HEFCE,11/10/2015,SDF Recurrent,RIS policy team,Imperial College,GPROSTD310338,"31,045.00"
BIS,HEFCE,11/10/2015,SDF Recurrent,RIS policy team,Imperial College,GPROSTD310347,"31,045.00"
BIS,HEFCE,11/10/2015,SDF Recurrent,RIS policy team,Imperial College,GPROSTD328941,"25,000.00"
BIS,HEFCE,11/10/2015,JISC,JISC NAH,JISC,GPROSTD382074,"1,750,000.00"
BIS,HEFCE,11/10/2015,JISC Capital (R),JISC NAH,JISC,GPROSTD382087,"844,444.00"
