Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Contr Other External,NP - NPC,BAZIAN LTD,17343961," 26,002.80 ",Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,CHAPS Control Account,Balance Sheet,BAZIAN LTD,17344544," 27,000.00 ",Evidence reviews - 'maintaining a healthy weight & preventing excess weight gain in children & adults',,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17337788," 66,706.97 ",Service charge payment for office space at 10 Spring Gardens 01/10/13-31/12/13,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17337789," 66,580.01 ",Service charge payment for office space at 10 Spring Gardens 01/01/14-30/03/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Rent,NP - Facilities - London,BRITISH COUNCIL,17343974," 193,121.92 ",Rent payment for office space at 10 Spring Gardens 25/03/14-26/06/14,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17343975," 69,001.43 ",Service charge payment for office space at 10 Spring Gardens 01/07/13-30/09/13,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17306167," 120,675.00 ","Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17306168," 136,890.60 ","Quarterly rent charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Service Charge,NP- Facilities - Manchester,BRUNTWOOD LG LTD,17306168," 22,671.30 ","Quarterly  service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,17293642," 184,609.25 ",Quarter 4 invoice - Medical technologies evaluation programme year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,01/03/2014,CHAPS Control Account,Balance Sheet,CERTES COMPUTING LTD,17348230," 28,311.08 ",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,Rates,NP - Facilities - London,CITY OF WESTMINSTER,17358452," 464,350.00 ",London Business rates for the period 01/04/2014 to 31/03/2015,,,,,
Department of Health,National Institute for Health & Care Excellence,31/03/2014,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INTERNATIONAL INC,17343951," 149,760.00 ","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April to June 2014",,,,,
