Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Contr Other External,NP - NPC,BAZIAN LTD,16309350,21668,Unlicenced and off label medicines evaluation service,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Contr Other External,NP- PH Programmes,BAZIAN LTD,16404912,36666,Qualitative and Effectiveness Evidence for the Behaviour Change Programme Development Group,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,16343951,83325,"Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Rent,NP- Facilities - Manchester,BRUNTWOOD LG LTD,16343952,157906.36,"Quarterly rent and service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Contr Other External,NP - Evaluation Pathway,CARDIFF & VALE ULHB,16334829,184609.25,Quarter 4 invoice - Medical technologies evaluation programme year 2,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Contr Other External,NP- PH Programmes,CARDIFF UNIVERSITY,16343967,65680,Provision of effectiveness and barriers/facilitators reviews for the NICE public health guidance on managing overweight and obesity among children and young people,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,16287538,150000,Evidence Based Resource for Primary Care contract Quarter 3,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,Contr Other External,NP - Evidence Resources,DIRECT PUBLISHING SOLUTIONS LTD,16370078,26460,Medical Editing of EUAG ,,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,EBSCO INFORMATION SERVICES,16309341,120000,"National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period April-December 2013",,,,,
Department of Health,National Institute for Health & Clinical Excellence,31/03/2013,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,16309341,29174.75,"National subscription fees for Health Business Elite and CINAHL databases on behalf of the Strategic Health Authorities Library Leads, for the period April-December 2013",,,,,
