Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,13/06/2013,Statutory Payments,Corporate Services,HMRC,,"1,216,219.48",NI & TAX,
Departmen of Health,NHS Business Services Authority,13/06/2013,Statutory Payments,Corporate Services,HMRC,,"745,365.15",PENSIONS,
Departmen of Health,NHS Business Services Authority,01/07/2013,Dental Contractors,Dental Services ,,,"191,484,513",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/07/2013,Pharmacy Contractors,Prescription Pricing ,,,"755,593,131",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,03/07/2013,Pharmacy Contractors,Prescription Pricing ,,,"634,685",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,04/07/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026582,"1,480.89",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,04/07/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026582,"30,145.59",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,04/07/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026640,"1,471.50",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,04/07/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026640,"33,078.87",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,05/07/2013,Pharmacy Contractors,Prescription Pricing ,,,"112,357",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,11/07/2013,Cost of Travel Concession,Travel Concession,NETWORK TICKETING LIMITED,0080037529,"52,442.10",32 All zone Network One Travel Tickets,NE6 2BZ
Departmen of Health,NHS Business Services Authority,11/07/2013,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080037426,"92,459.30",Postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,11/07/2013,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080037439,"42,800.05",EHIC Cards,GU32 3AL
Departmen of Health,NHS Business Services Authority,12/07/2013,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080037613,"20,930.00",Change Request - Project BSA Delivery,E1 6DX
Departmen of Health,NHS Business Services Authority,12/07/2013,Temporary Staff,Corporate Services,COMENSURA LTD,0050026657,"2,653.56",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,12/07/2013,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050026657,"29,531.09",Temporary Staff,LU1 3BA
Departmen of Health,NHS Business Services Authority,12/07/2013,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080037612,"20,930.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,12/07/2013,Envision Medical Fees,Pensions Division,PAYMASTER (1836) LIMITED,0080037407,"34,200.05",XAFINITY PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,15/07/2013,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080037596,"25,851.65",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,15/07/2013,Temporary Staff,Corporate Services,SAPIENT LIMITED,0080037841,"23,237.00",Temporary Staff,E1 6DX
Departmen of Health,NHS Business Services Authority,17/07/2013,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080037877,"172,371.47",Integrated Health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,17/07/2013,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080037878,"105,459.73",Integrated Health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,17/07/2013,CFH Leased Car Holdings,Unclassified,BRIAN JOHNSTON & CO (INS. BROKERS) LTD,0080037845,"42,607.00",POLICY NO  9074811 010713300614,RH1 1BL
Departmen of Health,NHS Business Services Authority,17/07/2013,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080037885,"497,492.74",UAT - Consultant,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/07/2013,IT,Pensions Division,DEPARTMENT OF HEALTH,0080037459,"737,619.33",TRS Milestones,LS2 7UE
