Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,02/04/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080016287,"813,072.46",CHARGES NOVDEC 11 & JAN 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/04/2012,Data Communication Lines,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080016287,"-14,252.59",CHARGES NOVDEC 11 & JAN 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/04/2012,LAN Maintenance,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080016287,"-120,316.50",CHARGES NOVDEC 11 & JAN 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/04/2012,Licences Capital,Prescription Pricing Division,TRUSTMARQUE SOLOUTIONS,0080016732,"60,363.79",Part No. 65083779AC02A00 - Adobe,YO32 9WN
Departmen of Health,NHS Business Services Authority,02/04/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080016733,"92,861.00",Call Off Authorisation Note CON/0055 -,DL1 9HN
Departmen of Health,NHS Business Services Authority,02/04/2012,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080016756,"43,669.00",IT Development Services to deliver,RH10 1UH
Departmen of Health,NHS Business Services Authority,02/04/2012,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080016757,"65,024.00",IT Development Services to deliver,RH10 1UH
Departmen of Health,NHS Business Services Authority,02/04/2012,Dental Contractors,Dental Services Division,,,"184,994,458",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,02/04/2012,Pharmacy Contractors,Prescription Pricing Division,,,"752,739,202.30",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,03/04/2012,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080016619,"289,669.00",DELIVERY OF MILESTONE,DL1 9HN
Departmen of Health,NHS Business Services Authority,04/04/2012,Bank Charges,Corporate Services,NHS PENSIONS,0050022787,"28,462.69",BANK CHARGES NOV 11- JAN 12,FY7 8LG
Departmen of Health,NHS Business Services Authority,05/04/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050022798,"34,808.00",RATES APR12,NE99 2PT
Departmen of Health,NHS Business Services Authority,05/04/2012,Printing Charges (External),Prescription Pricing Division,ROYAL MAIL,0080016927,"27,526.34",ppc,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/04/2012,Printing Charges (External),Prescription Pricing Division,ROYAL MAIL,0080016928,"33,510.91",tc cards,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/04/2012,General Maintenance,Corporate Services,INTEGRATED HEALTH PROJECTS,0080016994,"25,695.01",MP02 Cladding Cert 1,HP2 7TR
Departmen of Health,NHS Business Services Authority,05/04/2012,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080017019,"39,891.00",M13 WORK ORDER 4,BT7 1NT
Departmen of Health,NHS Business Services Authority,05/04/2012,Pharmacy Contractors,Prescription Pricing Division,,,"707,685.56",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,10/04/2012,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0050022733,"160,000.00",RENT 25.12.11-24.03.12,SP3 5WY
Departmen of Health,NHS Business Services Authority,10/04/2012,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050022800,"33,563.87",CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,10/04/2012,Rates Charges,Pensions Division,WYRE BOROUGH COUNCIL,0050022812,"242,740.00",RATES  12/13,FY6 7PU
Departmen of Health,NHS Business Services Authority,10/04/2012,General Maintenance,Supply Chain Management Division,THE COAL AUTHORITY,0080016629,"72,000.00",One off service charge,NG18 4RG
Departmen of Health,NHS Business Services Authority,10/04/2012,Professional Fees,Corporate Services,GOVERNMENT ACTUARY'S DEPARTMENT,0080016683,"54,520.55",SERVICES ENDING 290212,EC4A 1AB
Departmen of Health,NHS Business Services Authority,10/04/2012,IT,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080016784,"67,577.00",Dental Pilots,DL1 9HN
Departmen of Health,NHS Business Services Authority,10/04/2012,Rates Charges,Dental Services Division,EASTBOURNE BOROUGH COUNCIL,0080016945,"170,605.00",Rates 12  13,BN21 4TW
Departmen of Health,NHS Business Services Authority,10/04/2012,Consumables,Prescription Pricing Division,BANCTEC LTD,0080017075,"26,604.00",Part No. 897345 - IBML Feed Belts,SL3 0HF
Departmen of Health,NHS Business Services Authority,11/04/2012,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080016690,"123,733.00",CAPITAL MILESTONE  MULTI FUNCTIONAL,DL1 9HN
Departmen of Health,NHS Business Services Authority,11/04/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080016882,"951,029.94",MITIDCSS FEB 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,16/04/2012,Pharmacy Contractors,Prescription Pricing Division,,,"88,857.88",Payments to Pharmacy Contractors,
