Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,01/12/2015,PC Maintenance,Pensions Division,DEPARTMENT OF HEALTH,0080064970,"91,815.62",CCN  789 1516,LS2 7UE,
Departmen of Health,NHS Business Services Authority,01/12/2015,Printing Charges (External),Pensions Division,DEPARTMENT OF HEALTH,0080064971,"100,929.62",CCN 004 TRS LEAFLET DROPS,LS2 7UE,
Departmen of Health,NHS Business Services Authority,01/12/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065085,"418,008.48",PCN CHARGES SEPT2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,01/12/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065085,"-4,352.41",POSTAGE CHRGS AUG2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,01/12/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080065085,"-20,000.00",CONTACT CNTRE CHRGS OCT2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,01/12/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065112,"252,140.45",TRAINING,DL1 9HN,
Departmen of Health,NHS Business Services Authority,01/12/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065112,"9,007.92",EASTBOURNE ACCOMMODATION,DL1 9HN,
Department of Health,NHS Business Services Authority,01/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"734,069,692.82",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,01/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"108,041,761.96",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,02/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"663,532.59",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,03/12/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031539,"25,965.00",RATES DEC 15,NE99 2PT,
Departmen of Health,NHS Business Services Authority,03/12/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031540,"37,468.00",RATES DEC 15,NE99 2PT,
Departmen of Health,NHS Business Services Authority,04/12/2015,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050031534,"89,558.88",TRAVEL 1ST NOV - 30TH NOV 2015,BD1 3AZ,
Department of Health,NHS Business Services Authority,04/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"957,844.80",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,05/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"117,149.64",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,07/12/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080065453,"33,059.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Department of Health,NHS Business Services Authority,09/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"216,921.99",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,10/12/2015,Service Charges General,NHS Protect,SKILLS FUNDING AGENCY,0080064213,"71,412.50",Occupancy agreement  Q3,CV1 2WT,
Departmen of Health,NHS Business Services Authority,15/12/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080065139,"37,761.74",AC 0912819049  TC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,15/12/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080065328,"22,566.73",AC 0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,15/12/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080065431,"25,714.17",AC 0912819049  EHIC UK,S49 1HQ,
Department of Health,NHS Business Services Authority,15/12/2015,Statutory Payments,Corporate Services,HMRC,,"1,207,469.95",NI & TAX,,
Department of Health,NHS Business Services Authority,15/12/2015,Statutory Payments,Corporate Services,NHS Pension Scheme,,"908,023.83",PENSIONS,,
Departmen of Health,NHS Business Services Authority,17/12/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080065454,"63,395.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,17/12/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080065621,"21,829.70",A/C 0912819049 - EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,17/12/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080065776,"29,462.48",Network Engineer - Project Support (1,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080065769,"59,588.29",DEDUCTIONS DEC 15,RG24 9NW,
Departmen of Health,NHS Business Services Authority,18/12/2015,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065773,"385,042.59",MITI VARIABLE OCT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080065773,"-2,200.69",MITI VARIABLE OCT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080065773,966.74,MITI VARIABLE OCT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065774,"356,896.24",MITI FIXED OCT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065797,"252,140.45",DCSS FIXEDVARIABLE NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065797,"9,007.92",DCSS FIXED/VARIABLE NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065798,"252,140.45",DCSS FIXED/VARIABLE DEC 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/12/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065798,"9,007.92",DCSS FIXED/VARIABLE DEC 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/12/2015,Service Charges General,Corporate Services,EMERSON MANAGEMENT SERVICES,0080065639,"122,697.00",SC 25 Dec 15  24 Mar 16,SK9 7LF,
Departmen of Health,NHS Business Services Authority,22/12/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065796,"448,341.02",PCN NOVEMBER 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/12/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065796,"-3,629.04",PCN NOVEMBER 15,DL1 9HN,
