Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Department of Health,NHS Business Services Authority,01/09/2015,Dental Contractors,Dental Services ,,,"192,136,749.00",Payments to Dental Contractors,,
Department of Health,NHS Business Services Authority,01/09/2015,Pharmacy Contractors,Prescription Pricing ,,,"741,278,805.67",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,02/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062359,"51,218.31",A/C  0912819049 - Tax Credit,S49 1HQ,
Departmen of Health,NHS Business Services Authority,02/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062364,"36,530.01",AC 0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,02/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062367,"40,563.44",A/C 0912819049 - PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,02/09/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080062531,"25,715.53","Order for PwC, FAO Pete Sparshott",E14 9SQ,
Departmen of Health,NHS Business Services Authority,02/09/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080062588,"336,264.95",MITI FIXED CHRGS JULY 2015 SERV/DESK,DL1 9HN,
Department of Health,NHS Business Services Authority,03/09/2015,Pharmacy Contractors,Prescription Pricing ,,,"2,682,357.69",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,04/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062337,"48,146.09",A/C 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,04/09/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080062581,"414,294.31",PCN JULY2015 CHRGS,DL1 9HN,
Departmen of Health,NHS Business Services Authority,04/09/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080062581,"-4,273.59",POSTAGE CHRGS APR15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,04/09/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080062581,"-20,000.00",CONTACT CROSS CHRGS JULY15,DL1 9HN,
