Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/08/2014,Dental Contractors,Dental Services ,,,"177,094,289.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/08/2014,Pharmacy Contractors,Prescription Pricing ,,,"689,345,659.40",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,05/08/2014,Redundancy,Pensions Division,PAYMASTER (1836) LTD,0080048334,"54,170.47",PARTIAL TERMINATION CREDIT CONTROL,RH10 1UH
Departmen of Health,NHS Business Services Authority,05/08/2014,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080048822,"71,634.84",DEDUCTIONS JULY 14,RG24 9NW
Departmen of Health,NHS Business Services Authority,05/08/2014,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080048867,"25,815.59",Change Request - Project BSA Delivery,E1 6DX
Departmen of Health,NHS Business Services Authority,06/08/2014,Travel,Corporate Services,REDFERN TRAVEL,0050029108,"88,627.68",TRAVEL FOR JULY2014,BD1 3AZ
Departmen of Health,NHS Business Services Authority,08/08/2014,PPA Membership Subscriptions,Business Solutions,GARTNER U.K. LIMITED,0080048979,"58,800.00",Gartner for Enterprise IT Leaders,TW20 9AW
Departmen of Health,NHS Business Services Authority,08/08/2014,Pharmacy Contractors,Prescription Pricing ,,,"810,978.59",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,11/08/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050029131,"29,402.00",RATES AUG14,NE99 2PT
Departmen of Health,NHS Business Services Authority,11/08/2014,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050029132,"36,632.00",RATES AUG14,NE99 2PT
Departmen of Health,NHS Business Services Authority,13/08/2014,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080048060,"33,071.33",EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,14/08/2014,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050029137,"59,684.30",NHSE CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,14/08/2014,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050029137,596.84,NHSE CHILDCARE VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,15/08/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080049187,"61,550.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,15/08/2014,Statutory Payments,Corporate Services,HMRC,,"1,243,043.69",NI & TAX,
Departmen of Health,NHS Business Services Authority,15/08/2014,Statutory Payments,Corporate Services,HMRC,,"869,152.95",PENSIONS,
Departmen of Health,NHS Business Services Authority,15/08/2014,Pharmacy Contractors,Prescription Pricing ,,,"14,560.97",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,19/08/2014,Course Fees General,Corporate Services,FIZZPOP(BANG) LTD,0050029163,"24,000.00",REMAINING LAND OF OPP WORKSHOP,N8 8AG
Departmen of Health,NHS Business Services Authority,19/08/2014,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050029187,"883,873.66",RETAINED SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,20/08/2014,Temporary Staff,Pensions Division,ACUITY BUSINESS SOLUTIONS LTD,0080049205,"29,848.79",Temporary Staff,EX2 8LB
Departmen of Health,NHS Business Services Authority,21/08/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080048630,"87,852.30",EHIC overseas Postage July,S49 1HQ
Departmen of Health,NHS Business Services Authority,22/08/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080049225,"33,025.38",EHIC EEA August,S49 1HQ
Departmen of Health,NHS Business Services Authority,29/08/2014,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080049488,"85,773.02",DCSS FIXEDVARIABLE CHARGES JUNE 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,29/08/2014,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080049488,"-33,752.45",DCSS FIXEDVARIABLE CHARGES JUNE 14,DL1 9HN
Departmen of Health,NHS Business Services Authority,29/08/2014,Pharmacy Contractors,Prescription Pricing ,,,"7,692,520.31",Payments to Pharmacy Contractors,
