Department family,Entity,Date,Expense type,GL_CODE,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/10/2012,Pharmacy Contractors,Prescription Pricing Division,,,"775,156,093.44",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,02/10/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050024129,"24,105.83",A/C 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,03/10/2012,Service Charges General,Corporate Services,EMERSON MANAGEMENT SERVICES,0080023619,"137,397.00",SC 29 Sep  24 Dec 12,SK9 7LF,
Departmen of Health,NHS Business Services Authority,03/10/2012,Rent,Corporate Services,JOHN MONK&CO,0080023680,"171,387.50",Rent 29 Sep  24 Dec 12,TS18 1SW,
Departmen of Health,NHS Business Services Authority,03/10/2012,Service Charges General,Corporate Services,JOHN MONK&CO,0080023681,"66,864.25",SC 29 Sep  24 Dec 12,TS18 1SW,
Departmen of Health,NHS Business Services Authority,03/10/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080023794,"989,092.77",CLERICAL ASSISTANT,DL1 9HN,
Departmen of Health,NHS Business Services Authority,03/10/2012,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0080024130,"67,523.38",SEPT2012 CIVIL SUPERANNUATION,RG21 4HG,
Departmen of Health,NHS Business Services Authority,03/10/2012,Dental Contractors,Dental Services Division,,,"179,378,358.00",Payments to Dental Contractors,,
Departmen of Health,NHS Business Services Authority,04/10/2012,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050024707,"34,808.00",OCT 12 RATES,NE99 2PT,
Departmen of Health,NHS Business Services Authority,04/10/2012,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0080024129,"36,410.50",PwC Monthly Invoice  September,E14 9SQ,
Departmen of Health,NHS Business Services Authority,04/10/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080024251,"21,806.62",AC 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,04/10/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080024255,"21,952.54",AC 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,04/10/2012,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080024343,"537,232.22",BRIDGE HOUSE PERIOD END 310812,HP2 7TR,
Departmen of Health,NHS Business Services Authority,04/10/2012,IBM Maintenance Contract,Prescription Pricing Division,IBM UK LTD,0080024406,"480,035.28",Part No. E0137LL - IBM Rational,PO6 3AF,
Departmen of Health,NHS Business Services Authority,04/10/2012,Pharmacy Contractors,Prescription Pricing Division,,,"1,294,992.37",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,08/10/2012,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050024565,"36,184.21",LAWRENCE A. W/E 23.09.12,LU1 3BA
Departmen of Health,NHS Business Services Authority,08/10/2012,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0050024669,"160,000.00",RENT 24/06/12-28/09/12,SP3 5WY
Departmen of Health,NHS Business Services Authority,08/10/2012,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050024671,"37,450.33",K PHILLIPS W/E 30/09/12,LU1 3BA
Departmen of Health,NHS Business Services Authority,08/10/2012,Furniture & Equiptment Capital,Corporate Services,FLEXIFORM,0080024626,"32,614.15",1x PFTWSLH1612JWSWHM,BD3 7AE
Departmen of Health,NHS Business Services Authority,08/10/2012,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080024634,"80,925.00","Milestone 1 - Analysis, Development &",RH10 1UH
Departmen of Health,NHS Business Services Authority,08/10/2012,Temporary Staff,Pensions Division,PAYMASTER (1836) LIMITED,0080024636,"273,314.00",Milestone 3 ¿ User Support and,RH10 1UH
Departmen of Health,NHS Business Services Authority,09/10/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080024659,"37,682.50",Bipul Sinha - Consultant Application,E1 6DX
Departmen of Health,NHS Business Services Authority,09/10/2012,General Repairs,Corporate Services,HFX LIMITED,0080024662,"37,587.83",Your Ref: NO/396/291010/HL,SG4 8TR
Departmen of Health,NHS Business Services Authority,09/10/2012,General Repairs,Corporate Services,HFX LIMITED,0080024666,"31,085.80",Quote No: NO/047/220212/JW,SG4 8TR
Departmen of Health,NHS Business Services Authority,10/10/2012,Envision Comms Centre,Pensions Division,PAYMASTER (1836) LIMITED,0050024727,"30,817.35",VARIABLE CHARGES JULY 12,RH10 1UH
Departmen of Health,NHS Business Services Authority,10/10/2012,Pharmacy Contractors,Prescription Pricing Division,,,"61,213.87",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,11/10/2012,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050024740,"31,414.53",VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,11/10/2012,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050024740,314.15,VOUCHERS,SW1V 2RS
Departmen of Health,NHS Business Services Authority,12/10/2012,Pharmacy Contractors,Prescription Pricing Division,,,"5,548.88",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,15/10/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080025196,"52,437.50",Bipul Sinha - Consultant Application,E1 6DX
