Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Department of Health,NHS Business Services Authority,01/06/2015,Pharmacy Contractors,Prescription Pricing ,,,"725,340,307.74",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/06/2015,Dental Contractors,Dental Services ,,,"188,257,298.00",Payments to Dental Contractors,
Department of Health,NHS Business Services Authority,01/06/2015,Pharmacy Contractors,Prescription Pricing ,,,"103,136,809.57",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,02/06/2015,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080059534,"51,132.62",AC HWHC APR 15,RG12 1FE
Departmen of Health,NHS Business Services Authority,02/06/2015,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080059377,"26,562.88",Temporary Staff,AL1 4ZX
Departmen of Health,NHS Business Services Authority,02/06/2015,Temporary Staff,Prescription Pricing Division,EDIFIT LTD,0080059489,"50,648.91",Call-Off Agreement - Supplier will,CV1 3PP
Departmen of Health,NHS Business Services Authority,02/06/2015,Rates Charges,Corporate Services,WYRE BOROUGH COUNCIL,0080059476,"261,290.00",HESKETH HOUSE RATES 1516,FY6 7PU
Department of Health,NHS Business Services Authority,03/06/2015,Pharmacy Contractors,Prescription Pricing ,,,"740,180.80",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,05/06/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080059032,"35,721.05",AC 0912819049PPC April,S49 1HQ
Departmen of Health,NHS Business Services Authority,05/06/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080059042,"31,168.17",AC 9049762180PPC May,S49 1HQ
Department of Health,NHS Business Services Authority,05/06/2015,Pharmacy Contractors,Prescription Pricing ,,,"126,681.86",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,10/06/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050030688,"25,965.00",offices and premises,NE99 2PT
Departmen of Health,NHS Business Services Authority,10/06/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050030689,"37,468.00",offices and premises,NE99 2PT
Departmen of Health,NHS Business Services Authority,11/06/2015,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080059830,"21,155.53",AC HWHC01 MAY 15,RG12 1FE
Departmen of Health,NHS Business Services Authority,11/06/2015,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080059727,"26,749.60",Temporary Staff,AL1 4ZX
Departmen of Health,NHS Business Services Authority,11/06/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080059880,"204,284.56",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR
Departmen of Health,NHS Business Services Authority,11/06/2015,Building Works,Prescription Pricing Division,INTEGRATED HEALTH PROJECTS,0080059880,"36,286.25",MW 4.38 PMI 051 and 052 HH Social,HP2 7TR
Departmen of Health,NHS Business Services Authority,11/06/2015,Consultants,Project Pacific,INTEGRATED HEALTH PROJECTS,0080059880,357.37,MW 4.42 BH Lvl 7 Small Power and Data,HP2 7TR
Departmen of Health,NHS Business Services Authority,11/06/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080059885,"30,600.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,11/06/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080059891,"24,872.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,11/06/2015,Temporary Staff,Unclassified,REDFERN TRAVEL,0050030677,"71,972.75",TRAVEL APRIL 2015,BD1 3AZ
Departmen of Health,NHS Business Services Authority,11/06/2015,Service Charges General,NHS Protect,SKILLS FUNDING AGENCY,0080059475,"71,412.50",Occupancy agreement  Q1,CV1 2WT
Departmen of Health,NHS Business Services Authority,15/06/2015,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0080059753,"122,697.00",Rent 24 Jun  28 Sep 15,SK9 7LF
Departmen of Health,NHS Business Services Authority,15/06/2015,Administration Fees,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0080059857,"160,000.00",RENT HESKETH HOUSE 250315230615,SP3 5WY
Department of Health,NHS Business Services Authority,15/06/2015,Statutory Payments,Corporate Services,HMRC,,"1,339,607.83",NI & TAX,
Department of Health,NHS Business Services Authority,15/06/2015,Statutory Payments,Corporate Services,HMRC,,"910,145.86",PENSIONS,
Departmen of Health,NHS Business Services Authority,15/06/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080059892,"27,887.00",2015 Scheme Hutton Fixed price,RH10 1UH
Departmen of Health,NHS Business Services Authority,15/06/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080059619,"53,371.79",AC 0912819049pPC May 2015,S49 1HQ
Departmen of Health,NHS Business Services Authority,16/06/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080059842,"33,704.26",AC 0912819049EHIC eea,S49 1HQ
Departmen of Health,NHS Business Services Authority,18/06/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080059878,"308,357.55",MITI VARIABLE CHGS MAR 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/06/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080059878,"10,612.73",MITI VARIABLE CHGS MAR 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/06/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060254,"332,327.99",MITI FIXED CHARGES -APRIL 2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/06/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080060254,793.97,KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/06/2015,Sun System Maintenance,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080060308,"43,042.40",Renewal of Software Update License &,RG6 1RA
Departmen of Health,NHS Business Services Authority,18/06/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080060249,"105,658.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,18/06/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080059975,"38,684.58","Expenses : up to £74,950.",E14 9SQ
Departmen of Health,NHS Business Services Authority,22/06/2015,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060380,"36,999.59",Call Off Form - CON/0306 - Stella House,DL1 9HN
Departmen of Health,NHS Business Services Authority,22/06/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080059809,"36,982.23",CONTRACT ADJUSTMENT APRIL2015 CHRGS,RH10 1UH
Departmen of Health,NHS Business Services Authority,22/06/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080059803,"36,766.27",AC 0912819049 PPC May,S49 1HQ
Departmen of Health,NHS Business Services Authority,23/06/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050030771,"888,239.15",charges june 15,RH10 1UH
Departmen of Health,NHS Business Services Authority,25/06/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060255,"389,629.20",PCN OVER CHARGE FEB2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080060255,"-8,822.53",BECS POSTAGE FEB2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060256,"342,341.79",PCN APRIL2015,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080060256,"-10,555.00",BECS POSTAGE MAR15,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080060256,"-20,000.00",CONTACT CENTRE CROSS CHRGS APR15,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060257,"240,547.32",TRAINING,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080060257,"8,860.70",EASTBOURNE ACCOMM,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060258,"246,945.32",TRAINING,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080060258,"8,860.70",EASTBOURNE ACCOMMODATION,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060409,"246,945.32",TRAINING,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080060409,"8,860.70",EASTBOURNE ACCOMMODATION,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060410,"332,327.99",SERVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080060410,793.97,KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060433,"332,327.99",MITI FIXED CHARGES JUN15/SERVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Software Licences,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080060433,793.97,KNOWLEDGE BASE,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060442,"282,449.20",MITI VARIABLE APR5 - SERVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060445,"344,923.94",PCN MAY 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080060445,"-20,000.00",PCN MAY 15,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Temporary Staff,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080060608,"21,342.32",Network Engineer - Site Survey -,DL1 9HN
Departmen of Health,NHS Business Services Authority,25/06/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080060461,"34,311.16","Order for PwC, FAO Pete Sparshott",E14 9SQ
Departmen of Health,NHS Business Services Authority,25/06/2015,Professional Fees,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080060463,"91,782.00",Provision of specialist financial,E14 9SQ
Departmen of Health,NHS Business Services Authority,25/06/2015,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080060559,"42,547.50",Service Management - Apply,E1 6DX
Departmen of Health,NHS Business Services Authority,29/06/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0050030777,"74,831.30",DEDUCTIONS JUNE 15,RG24 9NW
Departmen of Health,NHS Business Services Authority,29/06/2015,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080060689,"613,204.54",2015  CAPITAL CHARGE,DL1 9HN
Department of Health,NHS Business Services Authority,30/06/2015,Pharmacy Contractors,Prescription Pricing ,,,"8,185,337.12",Payments to Pharmacy Contractors,
