Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01075441,7673.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000000,21.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000256,23.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000001,30.08,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000285,30.65,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999991,31.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999987,32.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000003,36.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000280,39.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000258,40.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999992,41.71,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000259,49.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999990,49.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000284,49.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000279,50.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000282,50.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000002,50.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000281,50.65,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000283,50.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999988,50.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999993,51.23,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000278,51.71,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000277,52.34,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003999989,53.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004000257,56.83,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707138,78.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,709425,183.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,708595,186.62,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,707817,187.43,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,708585,207.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707809,210.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,708593,242.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,706958,282.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,708592,307.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,708587,330.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,708584,335.23,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003733614,339.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707811,352.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,707816,369.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,709419,387.07,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,709427,414.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,709426,418.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,709424,421.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,709415,433.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,706950,433.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,707818,435.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,708594,438.91,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/02/2014,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,708581,441.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2014,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,708591,449.59,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/02/2014,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,707815,455.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,706957,460.08,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5595446,461.05,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707814,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,708590,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,709423,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707806,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004054161,478.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,708589,479.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,707813,486.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,707819,504.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,709417,504.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,706953,508.03,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,706951,511.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,707807,511.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,709416,511.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,706952,514.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,708588,514.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,709418,525.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,709421,525.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,706956,528.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,707812,532.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,709420,543.91,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707808,546.05,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/02/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,708583,546.05,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,708586,546.05,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2014,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,706949,551.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,707805,551.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/02/2014,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,709414,551.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,706954,552.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,707810,552.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004033329,565.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/02/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,707820,565.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/02/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,708582,565.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,706162,565.97,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003987987,592.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/02/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,708596,595.37,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,709428,599.03,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004016298,627.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/02/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5598384,768.42,Not applicable,
