Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/03/2014,Minor Buiding Works &Maintenance,IMPROVE Project,Styles & Wood Ltd,CSI0001318,246147.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/03/2014,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01107248,119625.53,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01121594,29346.37,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/03/2014,Plant and Machinery,Business Support Directorate,Crown Lift Truck Ltd,SOI-3978121,68044.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,RPC Contract - Sweet & Maxwell,Business Support Directorate,Oxford University Press,E07956451,26400.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5612666,938.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5602325,885.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5605443,885.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5608925,885.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5609158,777.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5602598,768.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5606174,768.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5609917,768.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5613355,768.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5612725,692.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004170537,641.45,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,712007,635.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,711995,596.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,712827,596.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,713715,596.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712831,588.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/03/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004123036,583.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,712839,573.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004074997,563.98,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711996,559.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712830,559.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,713716,556.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,710272,554.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/03/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,711167,554.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,713714,554.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711157,552.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,710257,551.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,713713,551.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,712825,551.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712826,551.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,713726,551.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711154,551.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,711993,551.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,710258,543.92,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,710263,543.92,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2014,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,706961,543.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711158,543.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,710260,539.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,713718,539.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711155,528.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712829,525.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,710262,521.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,710261,518.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,712832,518.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,710264,514.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,713719,514.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,711166,504.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,712838,501.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,710265,492.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,713725,490.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,712006,487.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,711160,486.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,712001,486.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,712833,486.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004144688,477.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2014,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,706959,474.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711161,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712002,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712834,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,710268,460.08,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,711153,441.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711999,441.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,713717,428.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,712837,425.09,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,710270,421.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711997,421.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,712005,421.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711156,418.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,706963,411.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,710259,407.81,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,713721,405.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,706964,404.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1004099322,401.81,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,710266,370.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,706960,369.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,711165,328.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,713724,321.41,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,711159,311.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,711998,311.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,712828,311.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,712835,307.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,711163,288.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,711162,251.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,706962,235.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,710271,231.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,712003,230.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,712000,207.36,Not applicable,
