Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/09/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003556449,-105.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,688571,87.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,689348,154.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,688379,183.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/09/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,689346,185.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,689335,192.07,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,689345,201.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,691168,215.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,689352,215.47,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,688380,229.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,688378,278.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,689342,282.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,691165,288.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,690249,288.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,689349,297.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,690260,300.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,690251,304.09,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,690258,307.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/09/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,689347,308.83,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,691160,314.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,690255,317.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,688373,317.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,690525,320.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/09/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,689339,342.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,688381,346.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,689344,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,689337,370.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Central Support,Acorn Recruitment Ltd,689350,377.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,689341,377.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,688375,384.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,688382,389.21,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,687511,390.53,Not applicable,
