Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2015,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01359746,3885.82,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2015,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01358893,6608.35,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2015,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01369596,15543.26,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2015,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01372147,15543.26,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/04/2015,Office Equipment,"People, Places and Services Directorate",Neopost Ltd,91995393,11718.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30643786-01,-479.82,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2015,Agency Staff,Copyright and IP Enforcement Directorate,Capita Resourcing Ltd,WN4019999,-342.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30964058,94.68,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30987922,113.66,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30124986,114.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30124985,134.98,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30115406,214.38,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1662,267.48,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2015,Agency Staff,Finance Directorate,Capita Resourcing Ltd,WN4019999,342.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30115406,343.68,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30127728,428.76,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30541406,479.82,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30990547,485.93,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30964058,507.37,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1677,508.21,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1671,508.21,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30978002,518.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30127728,535.94,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1678,543.88,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30978002,547.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30978002,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30990547,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30964058,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30990547,554.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30541406,558.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Agency Staff,Innovation Directorate,Brook Street (UK) Ltd,30978003,627.07,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1664,633.04,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30978002,642.56,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1663,655.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Agency Staff,Finance Directorate,Accountancy Recruitment Wales,1684,655.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Agency Staff,Finance Directorate,Accountancy Recruitment Wales,1683,668.70,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Agency Staff,Innovation Directorate,Brook Street (UK) Ltd,30964059,694.72,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30990547,704.64,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30964058,752.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30127728,1057.61,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30115406,1179.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30978002,1486.36,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30964058,1536.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30990547,1707.17,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2015,Agency Staff,International Policy Directorate,Capita Resourcing Ltd,WN4019999,2052.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/04/2015,Agency Staff,"People, Places and Services Directorate",Capita Business Services  Ltd,LO10035254,3637.86,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Training,Trade Marks Directorate,Business Language Services Ltd,14400,10.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Training,Finance Directorate,Personal expenses name witheld,52869,24.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2015,Training,Copyright and IP Enforcement Directorate,Capita Business Services  Ltd,X66203,28.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,Patents Directorate,Capita Business Services  Ltd,SF01999480,63.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Training,"People, Places and Services Directorate",Teamworks,2406/15/IPO/SUP/3-15,67.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,X42264A,125.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Training,Patents Directorate,Business Language Services Ltd,14561,177.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Training,Innovation Directorate,Marketing Tom Media Ltd,INV-2816,179.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2015,Training,Innovation Directorate,Capita Business Services  Ltd,X67234,180.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/04/2015,Training,"People, Places and Services Directorate",Speech Empowered Computing,253,380.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Training,"People, Places and Services Directorate",Thomas Carroll Management Services Ltd,4914,395.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2015,Training,Business Support Directorate,Welsh Assembly Government,1800056006,400.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/04/2015,Training,Trade Marks Directorate,Whitehall & Industry Group,2141194,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/04/2015,Training,Trade Marks Directorate,Whitehall & Industry Group,2141043,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/04/2015,Training,"People, Places and Services Directorate",British Red Cross,N950891,675.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Training,Patents Directorate,Personal expenses name witheld,52863,720.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2015,Training,Patents Directorate,Personal expenses name witheld,52863,720.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/04/2015,Training,Finance Directorate,University of  South Wales,SQINV201420185,1425.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,X60957,1787.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2015,Training,Finance Directorate,Kaplan Hawksmere,SINV15_000088,2034.32,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/04/2015,Training,Business Support Directorate,University of  South Wales,SQINV201419817,5460.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,C9879,-1598.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,C9880,-1598.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,C9920,-27.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,C9921,-26.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,C9922,-18.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,C9676,-2.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2015,Training,"People, Places and Services Directorate",Stonewall Equality Ltd,46711,195.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/04/2015,Training,"People, Places and Services Directorate",OE Cam LLP,1534,983.73,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,X67236,1294.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/04/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,X67235,1294.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/04/2015,Training,"People, Places and Services Directorate",Gordon Poole Agency Ltd,N43521,2000.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/04/2015,Training,"People, Places and Services Directorate",OE Cam LLP,1533,2889.83,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52897,60.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52883,144.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52873,147.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52889,183.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52896,211.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52880,213.70,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52865,223.17,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52865,223.17,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52882,259.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",British Computer Society,1381487,585.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Association of Chief Executives,ACE0378,625.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Childcare costs,"People, Places and Services Directorate",P&MM Ltd Re Childcare Plus,502703,177.76,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/04/2015,Childcare costs,"People, Places and Services Directorate",Acorns Nurseries,AP201501PO,1158.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Childcare costs,"People, Places and Services Directorate",P&MM Ltd Re Childcare Plus,502702,6527.35,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Childcare costs,"People, Places and Services Directorate",P&MM Ltd Re Childcare Plus,1020132,7989.59,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/04/2015,Relocation Removals & Excess Fare,"People, Places and Services Directorate",Personal expenses name witheld,52868,32.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2015,Relocation Removals & Excess Fare,"People, Places and Services Directorate",Personal expenses name witheld,52877,449.99,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Staff Suggestion Scheme,"People, Places and Services Directorate",Personal expenses name witheld,52891,100.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Recruitment Advertising,Patents Directorate,News UK & Ireland Ltd,9005511338-01,270.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/04/2015,Recruitment Advertising,Patents Directorate,News UK & Ireland Ltd,9005509958,995.76,Not applicable,
