Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN834012,10550.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN842331,16382.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/11/2012,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L57632,25720.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN841307,32764.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN839401,33583.92,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN840005,61417.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN841263,65529.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/11/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN846137,90103.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,653614,47.71,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,654413,50.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,653607,86.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/11/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,653616,86.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,655237,86.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,655234,91.69,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,656019,119.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,655229,152.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,654415,167.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/11/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,655251,181.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,654406,188.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,655244,260.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,653621,261.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,654429,271.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,656805,291.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/11/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,653615,299.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,655246,301.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,654426,314.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,656803,323.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/11/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,655233,326.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,654421,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,656013,361.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,655225,363.37,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,656028,363.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/11/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,656012,366.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,653631,377.28,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,656790,377.28,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/11/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,654419,381.60,Not applicable,
