Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,11/03/2015,Relocation Removals & Excess Fare,"People, Places and Services Directorate",Personal expenses name witheld,52818,49.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/03/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1646,539.42,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/03/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1645,637.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/03/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1636,655.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/03/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1637,664.25,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/03/2015,Agency Staff,Transformational Change,Accountancy Recruitment Wales,1654,682.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/03/2015,Agency Staff,Innovation Directorate,Brook Street (UK) Ltd,30951404,123.65,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30938905,372.14,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/03/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30951403,417.32,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30938905,443.05,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30938905,490.98,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/03/2015,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30951403,535.94,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30938905,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/03/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30951403,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/03/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30951403,686.37,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30938905,923.69,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Agency Staff,"People, Places and Services Directorate",Brook Street (UK) Ltd,30938905,977.85,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/03/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30951403,1107.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/03/2015,Agency Staff,"People, Places and Services Directorate",Capita Business Services  Ltd,LO10032085,4365.44,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/03/2015,Training,Business Support Directorate,Assist Knowledge Development Ltd,1412171,505.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/03/2015,Training,Business Support Directorate,Assist Knowledge Development Ltd,1502190,3460.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/03/2015,Training,Business Support Directorate,Assist Knowledge Development Ltd,1411201,3980.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/03/2015,Training,Patents Directorate,British Machine Vision Association,BMVA-TPB-2015-001,320.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Training,"People, Places and Services Directorate",British Red Cross,N924197,180.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Training,"People, Places and Services Directorate",British Red Cross,N932825,185.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/03/2015,Training,Business Support Directorate,British Standards Institution,94122302-1000,505.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/03/2015,Training,Trade Marks Directorate,British Standards Institution,94195659-1000,890.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,Trade Marks Directorate,BSI Assurance UK Ltd,94212619-1000,-2000.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,Trade Marks Directorate,BSI Assurance UK Ltd,94187854-1000,2000.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Training,Patents Directorate,Business Language Services Ltd,14469,142.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/03/2015,Training,Trade Marks Directorate,Business Language Services Ltd,14471,265.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,Innovation Directorate,Capita Business Services  Ltd,X53348,135.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,International Policy Directorate,Capita Business Services  Ltd,X60176,148.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,International Policy Directorate,Capita Business Services  Ltd,X53346,199.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,Patents Directorate,Capita Business Services  Ltd,X60179,279.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,Trade Marks Directorate,Capita Business Services  Ltd,X60958,293.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,International Policy Directorate,Capita Business Services  Ltd,X60180,297.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/03/2015,Training,Innovation Directorate,Capita Business Services  Ltd,X60174,547.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/03/2015,Training,Innovation Directorate,Capita Business Services  Ltd,A60173,756.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/03/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,X37212,868.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/03/2015,Training,"People, Places and Services Directorate",Capita Business Services  Ltd,X42263,899.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/03/2015,Training,Finance Directorate,Personal expenses name witheld,52824,60.62,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/03/2015,Training,Patents Directorate,Chartered Institute of Patent Attorneys,68440,45.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,Business Support Directorate,Cluster Learning Ltd,2122,4995.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/03/2015,Training,Copyright and IP Enforcement Directorate,COSLA,25982,253.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/03/2015,Training,Finance Directorate,Department For Business Innovation & Skills,6.1511E+11,620.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/03/2015,Training,Finance Directorate,Department For Business Innovation & Skills,6.1511E+11,620.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/03/2015,Training,Patents Directorate,Dod's Parliamentary Communications,PK084689,295.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,"People, Places and Services Directorate",EEF,INV-079526,2829.12,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/03/2015,Training,Patents Directorate,Personal Expenses,52863,360.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/03/2015,Training,Patents Directorate,European Patent Office,4024336,70.95,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/03/2015,Training,Business Support Directorate,Global Knowledge UK,261174,2195.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/03/2015,Training,Patents Directorate,Personal expenses name witheld,52840,360.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/03/2015,Training,Patents Directorate,Hilton National,PROFORMA-24MAR2015IPO,570.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/03/2015,Training,Patents Directorate,Personal expenses name witheld,52864,360.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,Innovation Directorate,Marketing Tom Media Ltd,INV-2826,179.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/03/2015,Training,Innovation Directorate,Peter Julian Jenner T/A Sincere Management,GRABBIT-4059,5000.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,Business Support Directorate,QA Ltd,CSL105747,-118.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/03/2015,Training,Business Support Directorate,QA Ltd,IPR138584,118.80,Not applicable,
