Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2013,Computer Hardware,Business Support Directorate,Drake AV Video Ltd,69296,9083.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/05/2013,Plant and Machinery,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M120496,126039.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/05/2013,Software Development,Trade Marks Directorate,European Dynamics,13115,756792.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,676256,87.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675428,167.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,676261,180.43,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,676262,192.07,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673747,194.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,676271,232.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/05/2013,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,00672931B,242.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672910,256.07,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,674594,259.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,674590,273.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,675422,273.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673753,286.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675418,286.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,675414,291.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675421,300.43,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,674586,307.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675424,307.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673746,310.69,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,675411,316.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,675417,323.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,676253,323.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,674599,324.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,666679,326.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675429,330.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675413,334.57,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,673740,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,675415,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,666698,351.65,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,673748,355.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672914,355.06,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,675419,357.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,672916,363.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675430,368.71,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,675426,377.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,675423,384.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672925,389.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,674600,395.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,675416,398.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,673757,402.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,675432,402.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,672928,409.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,674603,409.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675431,409.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675410,409.69,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,666693,410.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671342,413.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,674585,413.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673755,413.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675420,413.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,675412,416.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672926,423.73,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,675427,423.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,674587,428.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,676251,428.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,674589,430.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,676247,430.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,676258,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,676255,442.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,672919,445.24,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,673745,445.24,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,674591,453.97,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/05/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,676257,453.97,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673743,464.33,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,664592,465.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673754,466.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,673739,471.14,Not applicable,
