Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,24/10/2014,Computer Capital,Transformational Change,Insight Direct (UK) Ltd,2069169,6426.82,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/10/2014,Computer Capital,Transformational Change,Insight Direct (UK) Ltd,2075291,37865.95,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/10/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5711876,17.04,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30667648,25.02,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30667649,26.90,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30667646,34.74,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30667647,35.47,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/10/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30622129,272.46,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/10/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004822385,359.72,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/10/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30682622,415.86,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/10/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30694255,430.20,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/10/2014,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30622129,472.01,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/10/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30658368,473.22,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/10/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30658369,488.54,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/10/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30694255,491.29,Not applicable,
