Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30769471,55.37,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30769470,56.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30769474,56.76,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30769469,70.14,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30769472,99.97,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30769473,105.05,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30797215,420.85,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/12/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30797215,442.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30771763,469.93,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30784390,526.04,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/12/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30784390,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/12/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30771763,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/12/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004801372,606.43,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30797215,737.49,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/12/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30784390,824.14,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5750087,843.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/12/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5753820,843.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/12/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5755263,885.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30771763,887.19,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/12/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5741763,906.88,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/12/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30784390,916.39,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/12/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5746186,927.96,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/12/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30797215,964.41,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/12/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30771763,999.49,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/12/2014,Agency Staff,"People, Property and Services Directorate",Capita Business Services  Ltd,LO10016638,2359.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/12/2014,Agency Staff,"People, Property and Services Directorate",Capita Business Services  Ltd,LO10020716,2910.29,Not applicable,
