Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Books  Newspapers & Publications,Finance Directorate,Amazon EU,Onecard121,36.85,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,OXFORDUNIVERSITYPR,pdavy001,275.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Finance Directorate,WWW.CARPHONEWAREHO,Onecard126,16.19,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,WWW.MAPLIN.CO.UK,Onecard129,87.96,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,"PROBRAND LTD.,",Onecard128,37.80,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,WEBSITEPULSE.COM,Onecard127,35.50,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Telephone Rentals and Call Charges,Business Support Directorate,WWW.NETSECRETS.CO.UK,Onecard131,42.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,SCREWFIX DIRECT,Onecard130,7.23,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,WWW.MAPLIN.CO.UK,Onecard134,43.98,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,WWW.UNICOL.COM,Onecard132,475.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,WWW.UNICOL.COM,Onecard133,484.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Trade Marks Directorate,NCOVER.COM,Onecard135,430.95,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Telephone Rentals and Call Charges,Business Support Directorate,T-MOBILE (UK) LTD,Onecard136,221.15,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Telephone Rentals and Call Charges,Business Support Directorate,3-MAIDENHEAD,Onecard137,116.82,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,WWW.FONESHOP.COM,Onecard138,40.45,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,PAYPAL  STEVE,Onecard139,8.99,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Telephone Rentals and Call Charges,Business Support Directorate,MEETINGZONE LTD,Onecard140,294.72,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Other Stationery & General Supplies,Finance Directorate,SILVER FOX GLOBAL,ANBECOC091,7.98,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Office Supplies,Business Support Directorate,D BRASH & SONS LTD,ANBECOC092,180.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Other Stationery & General Supplies,Finance Directorate,CREATIVE PRINTERS,ANBECOC093,96.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Training,International Policy Directorate,DOD`S PARLIAMENTARY CO,RGREY041,294.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Training,International Policy Directorate,DOD`S PARLIAMENTARY CO,RGREY042,294.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Training,International Policy Directorate,COACH BROKERS LTD,RGREY043,90.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Travel and subsistence UK,International Policy Directorate,COMFORT INNS,RGREY047,124.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Courier service,International Policy Directorate,UK AIRPORTSOLU,RGREY044,332.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Training,International Policy Directorate,DOD`S PARLIAMENTARY CO,RGREY045,294.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Travel and subsistence Overseas,Patents Directorate,NATIONAL EXPRESS,pbrim01,7.50,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Travel and subsistence Overseas,Patents Directorate,PARCELFORCE WORLDWIDE,HHART25,23.70,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Training,Patents Directorate,WWW.MELVILLE.CO.UK,HHART26,175.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,PC WORLD,KMILL015,38.97,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,PC WORLD,KMILL014,11.99,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Computer hardware and software,Business Support Directorate,MYMEMORY LTD,KMILL016,19.96,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Maintenance of computers,Business Support Directorate,GOOGLE  WEBHOSTUK LTD,MA6,119.99,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Maintenance of computers,Business Support Directorate,Amazon EU,MA7,78.98,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Other,Business Support Directorate,ARGOS RETAIL GROUP,nacol30,56.92,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,European co-operation,Finance Directorate,WIGGLE LTD,nacol31,49.92,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,European co-operation,Finance Directorate,CHAIN REACTION CYCLES,nacol32,35.98,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,European co-operation,Finance Directorate,Amazon  Mktplce EU-UK,nacol33,19.98,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,European co-operation,Finance Directorate,Amazon EU,nacol34,7.41,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,European co-operation,Finance Directorate,HALFORDS ON LINE,nacol35,89.93,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Other,Business Support Directorate,ARGOS RETAIL GROUP,nacol36,25.94,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/12/2011,Entertainment,Business Support Directorate,HOME BARGAINS,nacol38,12.05,Not applicable
