Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN880410,9829.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/03/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L625929,20720.47,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2013,Software Development,Trade Marks Directorate,Sword,SWP/BRE/F1302042,6827.08,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2013,Trade Mark Receipts - Assignments,Trade Marks Directorate,CSM Pressings Limited,J654180,50.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2013,Superannuation,Innovation Directorate,Department For Business Innovation & Skills,10038799,-3721.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2013,Superannuation,Innovation Directorate,Department For Business Innovation & Skills,10038798,3721.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,10280,-7.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668175,64.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,667396,71.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668932,160.06,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668166,200.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,665988,241.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,667411,270.65,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668167,279.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,667400,283.37,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668171,302.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,666690,327.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,665968,352.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,667412,362.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,665975,367.08,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,667417,377.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,667413,402.19,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668156,423.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,667410,423.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668168,427.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/03/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,668158,430.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/03/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,668154,430.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668920,436.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,667402,454.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/03/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668159,460.91,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,667409,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/03/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,668169,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/03/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,668930,473.77,Not applicable,
