Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,11/11/2015,Miscellaneous Expenses General,People Places & Serv Direct,Michael R Quick,53115,60.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/11/2015,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,196996.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/11/2015,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,17156.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/11/2015,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,2381.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134385,13.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134194,184.05,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134514,757.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134612,144.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134190,36.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134421,642.10,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses name withheld,ER134523,10.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/11/2015,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134579,32.05,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/11/2015,Postage & Delivery Costs,People Places & Serv Direct,Allstar Business Solutions Ltd,E2005582705,46.67,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2015,Postage & Delivery Costs,People Places & Serv Direct,Allstar Business Solutions Ltd,E2005697078,46.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/11/2015,Staff Costs,People Places & Serv Direct,British Red Cross,C460694,-185.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/11/2015,Staff Costs,People Places & Serv Direct,British Red Cross,N1000235,185.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/11/2015,Staff Costs,People Places & Serv Direct,British Red Cross,N988870,185.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/11/2015,Staff Costs,People Places & Serv Direct,British Red Cross,N994931,265.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/11/2015,Staff Costs,People Places & Serv Direct,British Red Cross,N998220,185.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/11/2015,Staff Costs,People Places & Serv Direct,British Red Cross,N998221,185.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/11/2015,Postage & Delivery Costs,People Places & Serv Direct,DHL International (UK) Ltd,NPR9049292,6715.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2015,Travel & Subsistence,People Places & Serv Direct,HRG UK,43000229,216.11,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2015,Travel & Subsistence,People Places & Serv Direct,HRG UK,43000231,216.11,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2015,Travel & Subsistence,People Places & Serv Direct,HRG UK,43000241,216.11,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2015,Travel & Subsistence,People Places & Serv Direct,HRG UK,43000242,216.11,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2015,Travel & Subsistence,People Places & Serv Direct,HRG UK,43001163,2.56,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2015,Travel & Subsistence,People Places & Serv Direct,HRG UK,43001164,2.56,Not Applicable,
