Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2013,Computer Hardware,Business Support Directorate,Drake AV Video Ltd,69389,3747.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2013,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN946216,29978.47,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP-L670723,33128.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/06/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003261587,105.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2013,Agency Staff,International Policy Directorate,Eclipse Recruitment Ltd,911361,141.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/06/2013,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,669752,170.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,677948,172.39,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,677959,185.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,677107,198.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,677955,208.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,678806,211.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,678792,216.91,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,676268,219.06,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,677961,225.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,680485,238.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,678805,242.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,680475,253.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,680482,254.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,677948,258.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,676267,273.13,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,679651,300.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,680473,300.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,677110,307.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,678808,307.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,677962,312.43,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,677958,315.23,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,677960,316.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,677945,323.21,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,678792,325.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/06/2013,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,00672931A,328.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,678794,334.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,675425,335.47,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,677951,337.57,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,677947,341.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,678791,341.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,679637,341.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,677950,341.41,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,680474,344.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,677954,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,677957,352.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/06/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,679641,355.03,Not applicable,
