Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,17/09/2014,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01227276,8196.06,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/09/2014,Superannuation,"People, Property and Services Directorate",Companies House,S0001272988,1266.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30646501,299.17,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30610716,378.94,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30610716,406.22,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30610716,408.68,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,Central Support,Brook Street (UK) Ltd,30610716,419.44,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/09/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30599419,430.20,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30610716,430.20,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/09/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004680958,450.28,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/09/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004700629,473.26,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/09/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004641860,486.97,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30610717,505.99,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/09/2014,Agency Staff,Business Support Directorate,Brook Street (UK) Ltd,30599419,515.35,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30646501,523.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/09/2014,Agency Staff,Central Support,Brook Street (UK) Ltd,30599419,530.58,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/09/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30599419,536.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30646501,537.74,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/09/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30599419,537.74,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,Central Support,Brook Street (UK) Ltd,30646501,544.92,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/09/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30599420,560.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/09/2014,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30574840,584.51,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/09/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30574840,597.59,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5707954,600.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/09/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004723504,613.20,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30646502,619.99,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30610716,768.17,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/09/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30610716,843.42,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30646501,870.47,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/09/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5694458,885.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/09/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30646501,913.68,Not applicable,
