Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/07/2013,Computer hardware and software,Business Support Directorate,Amazon  Mktplce EU-UK,Mgree24,34.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/07/2013,Computer hardware and software,Business Support Directorate,WWW.IDEALKIT.CO.UK,Mgree23,42.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2013,Maintenance of computers,Business Support Directorate,NEWEY & EYRE,SLOCK114,229.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/07/2013,Research Projects,Innovation Directorate,WWW.NEED2KNOWBOOKS.CO.,SLOCK115,439.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/07/2013,Other Stationery & General Supplies,Finance Directorate,Amazon  Mktplce EU-UK,SLOCK116,9.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/07/2013,Other Stationery & General Supplies,Finance Directorate,Amazon  Mktplce EU-UK,SLOCK117,19.98,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/07/2013,Other Stationery & General Supplies,Finance Directorate,Amazon  Mktplce EU-UK,SLOCK117,16.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/07/2013,Translation,Business Support Directorate,K INTERNATIONAL PLC,SLOCK118,28.45,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/07/2013,Other Stationery & General Supplies,Finance Directorate,Amazon EU,SLOCK117,34.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/07/2013,Other Stationery & General Supplies,Finance Directorate,BUYABATTERY,SLOCK119,49.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/07/2013,Training,Patents Directorate,RICARDO CONSULTING ENG,SLOCK120,1800.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/07/2013,Training,Business Support Directorate,QA-IQ LTD,SLOCK121,2100.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/07/2013,Training,Business Support Directorate,DNS ARROW,SLOCK122,2400.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/07/2013,Minor Buiding Works &Maintenance,Business Support Directorate,TOTAL PRINT FINISHING,SLOCK125,4674.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/07/2013,Training,Business Support Directorate,QA-IQ LTD,SLOCK124,600.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/07/2013,Other Stationery & General Supplies,Finance Directorate,COLOUR DATA UK,SLOCK123,183.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/07/2013,Other Stationery & General Supplies,Finance Directorate,Amazon EU,SLOCK126,8.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/06/2013,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,Monarch A 9749999999999,ddavi12,46.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/06/2013,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,RYANAIR22 22400000ZK54QD,ddavi12,158.01,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/06/2013,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,HRG UK    INV165292769,ddavi12,14.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/06/2013,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,HRG UK    INV165292770,ddavi12,15.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/07/2013,Travel and subsistence Overseas,International Policy Directorate,EASYJET00 000ELJHKH6,ddavi12,204.57,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/07/2013,Travel and subsistence Overseas,International Policy Directorate,HRG UK    INV165294754,ddavi12,6.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/07/2013,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,EASYJET00 000ELJQLFS,ddavi12,172.79,Not applicable,
