Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/07/2014,Travel and subsistence UK,IMPROVE Project,Personal expenses name witheld,ER119424,16.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,22/07/2014,Computer Hardware,Business Support Directorate,Drake AV Video Ltd,70451,12803.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/07/2014,Plant and Machinery,"People, Property and Services Directorate",Cofely Workplace Ltd,M122157,137605.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/07/2014,Agency Staff,"People, Property and Services Directorate",Acorn Recruitment Ltd,725312,35.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/07/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30519225,101.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/07/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30519225,107.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/07/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30530011,354.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/07/2014,Agency Staff,Central Support,Brook Street (UK) Ltd,30541405,430.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/07/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30541405,475.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/07/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004477695,491.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/07/2014,Agency Staff,Central Support,Brook Street (UK) Ltd,30530011,530.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/07/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30541405,537.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/07/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30530011,537.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/07/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30519225,537.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/07/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30530011,537.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/07/2014,Agency Staff,Central Support,Brook Street (UK) Ltd,30519225,548.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/07/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30541405,548.50,Not applicable,
