Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/01/2013,Computer Hardware,Business Support Directorate,Probrand Ltd,OP/I415721,6036.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/01/2013,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L594361,16273.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/01/2013,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN845066,16382.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/01/2013,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN864666,27545.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,10142,-4.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,661157,47.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661153,54.62,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,661164,64.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,660729,69.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661169,69.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661158,75.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,661814,76.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,28/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,662516,85.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661162,86.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661167,86.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661803,88.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,661170,89.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,661822,89.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,661806,92.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,660730,96.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661166,100.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661156,102.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661800,165.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/01/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,659992,167.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,661150,174.60,Not applicable,
