Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/08/2012,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L521018,8143.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/08/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN809528,25250.45,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/08/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN811078,30497.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/08/2012,Computer Capital,Trade Marks Directorate,Specialist Computer Centres Plc,OP/L526808,35760.41,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/08/2012,Software Development,Trade Marks Directorate,Sword,SWP/BRE/F1205130,7905.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/08/2012,RPC Contract - Sweet & Maxwell,Business Support Directorate,Oxford University Press,E06512811,13200.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646067,57.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,645259,69.41,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,644432,104.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,643617,109.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646074,138.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,641946,157.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645276,200.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646090,235.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,643620,250.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,643613,257.81,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,642770,260.16,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,643609,279.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,645269,286.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,643611,289.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,641960,311.39,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,646076,333.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646083,334.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644440,337.57,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,643629,344.71,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,642794,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,645268,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646066,347.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,646085,354.47,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,646082,357.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644444,357.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,641957,360.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643622,360.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644431,360.38,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,644443,383.74,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643625,387.06,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,646086,390.24,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,642788,393.49,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,643628,400.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,642792,416.26,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,642789,419.04,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,646078,421.96,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645272,421.97,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,643610,422.23,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,641964,424.86,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,644435,424.87,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644448,427.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,645262,427.79,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,644450,428.02,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644429,429.44,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,642785,430.69,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645267,430.69,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643615,432.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646071,433.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643630,433.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,643621,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,643626,433.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,644425,433.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,644436,433.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,644441,433.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,645252,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,645263,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646079,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646084,433.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643635,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644449,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646087,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646091,436.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,642791,441.34,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,643632,441.34,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,644445,441.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,645273,441.34,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645277,442.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646077,446.82,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,643623,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,644438,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,644442,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,645265,447.30,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,645266,447.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,643627,447.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,644439,447.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,643631,450.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643614,450.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,643616,450.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,644446,455.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,643624,456.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645255,456.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645264,462.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,643634,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,644430,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,644447,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,645257,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,643633,468.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,642793,468.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,645275,468.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,643612,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,644426,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,645253,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/08/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,646068,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,644434,477.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/08/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,645258,477.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/08/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,646065,481.30,Not applicable,
