Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Computer Hardware,Business Support Directorate,Softcat Ltd,INV01091597,7828.23,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30910751,110.52,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/02/2015,Agency Staff,"People, Places and Services Directorate",Capita Business Services  Ltd,LO10024976,313.86,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30895799,371.55,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30871487,512.02,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30883653,518.51,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30924382,528.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Agency Staff,Finance Directorate,Brook Street (UK) Ltd,30910751,528.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30910751,529.55,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30895799,536.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30924382,540.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30895799,543.98,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30895799,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30883653,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30871487,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30924382,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Agency Staff,"People, Places and Services Directorate",Brook Street (UK) Ltd,30895799,653.38,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30910751,726.54,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30883653,930.64,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30924382,960.20,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2015,Agency Staff,"People, Places and Services Directorate",Brook Street (UK) Ltd,30883653,1031.55,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2015,Agency Staff,"People, Places and Services Directorate",Brook Street (UK) Ltd,30871487,1034.55,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Agency Staff,"People, Places and Services Directorate",Brook Street (UK) Ltd,30910751,1045.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30871487,1076.45,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Agency Staff,"People, Places and Services Directorate",Brook Street (UK) Ltd,30924382,1076.64,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Agency Staff,"People, Places and Services Directorate",Capita Business Services  Ltd,LO10028066,2182.72,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/02/2015,Agency Staff,"People, Places and Services Directorate",Capita Business Services  Ltd,LO10026578,4532.12,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/02/2015,Training,Finance Directorate,Personal expenses name witheld,52786,7.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/02/2015,Training,"People, Places and Services Directorate",Teamworks,2364-15-IPO-SUP-1-15,67.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/02/2015,Training,Patents Directorate,European Patent Office,40242336,71.99,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/02/2015,Training,Patents Directorate,Personal expenses name witheld,52762,103.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Training,Patents Directorate,Mpirical Limited,4025,150.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Training,Innovation Directorate,IP Awareness Network,15029IPO,150.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/02/2015,Training,"People, Places and Services Directorate",British Red Cross,N937867,185.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/02/2015,Training,Trade Marks Directorate,Business Language Services Ltd,14397,212.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/02/2015,Training,Trade Marks Directorate,Business Language Services Ltd,14398,255.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Training,Patents Directorate,Mpirical Limited,4026,300.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/02/2015,Training,Innovation Directorate,Capita Business Services  Ltd,X60175,302.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/02/2015,Training,Innovation Directorate,Arrow ECS,509104,400.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/02/2015,Training,Innovation Directorate,Whitehall & Industry Group,2140926,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Training,Innovation Directorate,Whitehall & Industry Group,2141036,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/02/2015,Training,"People, Places and Services Directorate",RADA Enterprise,12779,625.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/02/2015,Training,"People, Places and Services Directorate",RADA Enterprise,12778,625.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/02/2015,Training,Business Support Directorate,IRM Strategic IT Training Ltd,1636840-78250537,1030.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Training,Business Support Directorate,IRM Strategic IT Training Ltd,1636840-78298612,1030.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/02/2015,Training,"People, Places and Services Directorate",Cardiff & Vale College,SLBIV-00001564,1400.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/02/2015,Training,"People, Places and Services Directorate",Supply Plus Ltd,20370,1545.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Training,Innovation Directorate,Red Ochre,N100512,1580.89,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Training,Business Support Directorate,Firebrand Training Ltd,1046010,1822.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/02/2015,Training,Patents Directorate,Thomas Telford Ltd,I042579,2250.25,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Training,Patents Directorate,Mpirical Limited,4028,2600.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Training,Business Support Directorate,Firebrand Training Ltd,1046013,3015.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2015,Training,Business Support Directorate,Stratum Worldwide,INV-12174A,3382.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/02/2015,Training,Business Support Directorate,Firebrand Training Ltd,1045996,3937.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/02/2015,Training,Business Support Directorate,NobleProg UK Ltd,INV-541,4995.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Training,Patents Directorate,Mpirical Limited,4027,5150.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2015,Training,Innovation Directorate,British Library,570011321,30400.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/02/2015,Training,"People, Places and Services Directorate",OE Cam LLP,1452,7349.03,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/02/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52800,83.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52793,135.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52790,144.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/02/2015,Subscription to Professional bodies,"People, Places and Services Directorate",Personal expenses name witheld,52789,175.00,Not applicable,
