Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,17/11/2014,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSINV01273699,14241.17,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30733028,329.66,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30720061,396.29,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/11/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004660515,476.56,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30758552,508.51,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30707566,508.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30745184,526.06,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/11/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30707566,537.74,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30720061,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/11/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30758552,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30733028,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/11/2014,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30745184,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/11/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004831353,580.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/11/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004863688,612.23,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30745184,763.04,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30758552,774.01,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/11/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5730532,885.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5235027,885.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/11/2014,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5738341,906.88,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/11/2014,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30707566,947.52,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30707566,964.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2014,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30720061,967.51,Not applicable,
