Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police Authority,01/10/2010,PRIVILEGED TRAVEL,HR POLICY AND STRATEGY,RAIL STAFF TRAVEL LIMITED,220051,"55,423.88"
Department for Transport,British Transport Police Authority,01/10/2010,RPS EMPLOYEE CONTRIBUTION,FORCE BALANCE SHEET (EXCL.FAR),Railway Pensions Management Ltd,220722,"184,152.65"
Department for Transport,British Transport Police Authority,01/10/2010,RPS EMPLOYER CONTRIBUTION,FORCE BALANCE SHEET (EXCL.FAR),Railway Pensions Management Ltd,220722,"276,115.42"
Department for Transport,British Transport Police Authority,01/10/2010,BTPSPF (OLD) EE,FORCE BALANCE SHEET (EXCL.FAR),Railway Pensions Management Ltd,220723,"779,972.78"
Department for Transport,British Transport Police Authority,01/10/2010,BTPSPF (OLD) ER,FORCE BALANCE SHEET (EXCL.FAR),Railway Pensions Management Ltd,220723,"1,169,979.79"
Department for Transport,British Transport Police Authority,01/10/2010,BTPSPF (NEW) EE,FORCE BALANCE SHEET (EXCL.FAR),Railway Pensions Management Ltd,220725,"143,902.89"
Department for Transport,British Transport Police Authority,01/10/2010,BTPSPF (NEW) ER,FORCE BALANCE SHEET (EXCL.FAR),Railway Pensions Management Ltd,220725,"287,805.78"
Department for Transport,British Transport Police Authority,01/10/2010,LEASING- PHOTOCOPIER,FIN ESTATES,DANWOOD GROUP LTD,221572,"61,988.42"
Department for Transport,British Transport Police Authority,01/10/2010,PRIVILEGED TRAVEL,HR POLICY AND STRATEGY,RAIL STAFF TRAVEL LIMITED,221734,"55,112.32"
Department for Transport,British Transport Police Authority,01/10/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,NORTHGATE INFORMATION SOLUTIONS LTD,221827,"32,427.64"
Department for Transport,British Transport Police Authority,01/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,OVERBURY PLC,222172,"361,243.73"
Department for Transport,British Transport Police Authority,01/10/2010,EXTERNAL AUDIT FEES,FHQ POLICE AUTHORITY,NATIONAL AUDIT OFFICE,222261,"145,000.00"
Department for Transport,British Transport Police Authority,01/10/2010,I.D. PARADES EXPENSES,FIN FINANCE,NATIONAL POLICING IMPROVEMENT AGENCY,222324,"61,239.47"
Department for Transport,British Transport Police Authority,01/10/2010,TEMPORARY STAFF,London South Command,LONDON UNDERGROUND LTD,222352,"92,524.00"
Department for Transport,British Transport Police Authority,01/10/2010,TEMPORARY STAFF,London South Command,LONDON UNDERGROUND LTD,222353,"36,480.00"
Department for Transport,British Transport Police Authority,08/10/2010,INTANG ASSETS LICENCES - ADD,CAPITAL CONTROL ACCOUNT,CAPGEMINI,218986,"50,000.00"
Department for Transport,British Transport Police Authority,08/10/2010,HIRE OF CONSULTANTS,TECHNOLOGY GROUP,CAPGEMINI,218987,"50,000.00"
Department for Transport,British Transport Police Authority,08/10/2010,DEFERRED INCOME,FORCE BALANCE SHEET (EXCL.FAR),LONDON UNDERGROUND LTD,221293,"26,307.00"
Department for Transport,British Transport Police Authority,08/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,E C HARRIS  LLP,222355,"27,065.85"
Department for Transport,British Transport Police Authority,08/10/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,CAPGEMINI,222429,"38,000.00"
Department for Transport,British Transport Police Authority,08/10/2010,BUILDING RENTAL,LS South Western Quadrant,BNP Paribas Real Estate Clients Account,222896,"18,750.00"
Department for Transport,British Transport Police Authority,08/10/2010,SERVICE CHARGES,LS South Western Quadrant,BNP Paribas Real Estate Clients Account,222896,"7,381.98"
Department for Transport,British Transport Police Authority,08/10/2010,VEHICLE OWNED - ADDIT 3 YEARS,CAPITAL CONTROL ACCOUNT,VOLKSWAGEN GROUP UK LTD (VW),222912,"21,316.40"
Department for Transport,British Transport Police Authority,15/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BRITISH TELECOMMUNICATIONS PLC,222841,"169,000.00"
Department for Transport,British Transport Police Authority,15/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BRITISH TELECOMMUNICATIONS PLC,222842,"422,500.00"
Department for Transport,British Transport Police Authority,15/10/2010,CLAIM - MOTOR VEH LIABILITY,RISK - FINANCE,QBE Insurance,223636,"39,200.71"
Department for Transport,British Transport Police Authority,15/10/2010,VEHICLE SERVICING- PLANNED,FIN VEHICLE FLEET,BT FLEET LIMITED,223667,"45,519.02"
Department for Transport,British Transport Police Authority,22/10/2010,FUEL & LUBRICANTS,FIN VEHICLE FLEET,ARVAL,223386,"44,385.05"
Department for Transport,British Transport Police Authority,22/10/2010,POSTAGE,LN Support Services,Dx Network Services Ltd,223665,"27,665.86"
Department for Transport,British Transport Police Authority,22/10/2010,BUILDING RENTAL,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,223990,"45,819.88"
