Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,BRIGHT A BLINDS,244370,"1,159.20"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,BRIGHT A BLINDS,244942,578.4
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,Cam-tech Security Systems Ltd,245000,975
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,Comprehensive Elevator Services Ltd (CES Ltd),244872,"1,008.00"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,Integral Uk Ltd (Bristol),244933,605.57
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,NATIONWIDE PROPERTY SOLUTIONS LTD,244865,"1,196.88"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,NATIONWIDE PROPERTY SOLUTIONS LTD,245333,726.9
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,245025,"1,675.51"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,244571,"-5,026.81"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,244572,"-1,675.51"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,244483,"5,026.81"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,244609,611.2
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,244607,"1,716.37"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,Tocanos Ltd t/a Arc Electrical,244932,"4,288.04"
Department for Transport,British Transport Police,04/07/2011,ADHOC MTCE- BUILDINGS,FORCEWIDE MAINTENANCE,VOLERO CONTRACT LTD,245162,"15,600.00"
Department for Transport,British Transport Police,04/07/2011,ANNUAL LICENCES- SOFTWARE,STRATEGIC DEVELOPMENT DEPT,CIPFA,244236,"2,700.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,LS INNER LONDON TEAM 5,BREANSTAR LIMITED,245153,"52,500.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,BLUNDELL STREET,CORPORATION OF LONDON,244202,"51,427.13"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245155,"15,000.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245156,"7,500.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245157,"7,500.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,FHQ AXIS FACILITIES,JONES LANG LASALLE,244365,"39,517.50"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,FHQ AXIS FACILITIES,JONES LANG LASALLE,244363,"54,983.86"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,LS OPERATIONS,JUST UNIQUE,245135,"2,934.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,PAYROLL TRANSITION (FINANCE),SACO (THE SERVICED APARTMENTS CO LTD),245194,"4,250.84"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,SC GLASGOW STAFF COSTS,TCS FREEHOLD INVESTMENTS LTD,245087,"16,591.50"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,WN COVENTRY STAFF COSTS,TPT LTD CLIENTS GENERAL RECEIPTS ACCOUNT,244971,"3,420.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,WN WOLVERHAMPTON STAFF COSTS,TPT LTD CLIENTS GENERAL RECEIPTS ACCOUNT,244972,"3,990.00"
Department for Transport,British Transport Police,04/07/2011,BUILDING RENTAL,SC DALMUIR STAFF COSTS,WERNICK HIRE LTD,245118,648
Department for Transport,British Transport Police,04/07/2011,BUSINESS RATES,SC GLASGOW STAFF COSTS,GLASGOW CITY COUNCIL - NDR,245117,"1,075.65"
Department for Transport,British Transport Police,04/07/2011,BUSINESS RATES,FHQ FACILITIES,London Borough Of Camden (Business Rates),242262,"10,900.00"
Department for Transport,British Transport Police,04/07/2011,CARRIAGE,PS COVERT INVESTIGATIONS UNIT,SONIC COMMUNICATIONS (INT) LTD,244478,9.6
