Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000015490,3210,#,SL1 3SA
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000015490,3619.2,#,SL1 3SA
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000015490,3619.2,#,SL1 3SA
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Managing Director Motoring Services,NETWORKERS INTERNATIONAL (UK) PLC,2000015494,3939.6,#,BR1 1HP
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Group Finance,SPRING TECHNOLOGY LTD ALSO T/A,2000015495,1558.44,#,B37 7YE
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000015490,2460.36,#,SL1 3SA
Department for Transport,Department for Transport,01.11.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000015490,660,#,SL1 3SA
Department for Transport,Department for Transport,01.11.2012,Secondments,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000015498,1857.8,#,MK10 1PX
Department for Transport,Department for Transport,01.11.2012,Secondments,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000015498,1864.27,#,MK10 1PX
Department for Transport,Department for Transport,01.11.2012,Secondments,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000015498,2447.44,#,MK10 1PX
Department for Transport,Department for Transport,01.11.2012,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000015481,5394.92,#,SG13 7AX
Department for Transport,Department for Transport,01.11.2012,Small Software,Transport Direct and Travel information,ITO WORLD LTD,2000015485,7200,#,IP4 5JA
Department for Transport,Department for Transport,01.11.2012,Computer Consumables,MPL Director's Office,SUPPLIES TEAM,2000015480,425.42,HP Cyan Image Drum CP6015,S9 1XU
Department for Transport,Department for Transport,01.11.2012,Computer Consumables,MPL Director's Office,SUPPLIES TEAM,2000015480,345.71,HP IMAGING DRUM BLACK CP6015/CM6030,S9 1XU
Department for Transport,Department for Transport,01.11.2012,Computer Consumables,MPL Director's Office,SUPPLIES TEAM,2000015480,425.42,HP Magenta Image Drum CP6015,S9 1XU
Department for Transport,Department for Transport,01.11.2012,Computer Consumables,MPL Director's Office,SUPPLIES TEAM,2000015480,425.42,HP Yellow Image Drum CP6015,S9 1XU
Department for Transport,Department for Transport,01.11.2012,Computer Consumables,MPL Director's Office,SUPPLIES TEAM,2000015480,520.66,Magenta Toner CP6015/CM6030/CM6040,S9 1XU
Department for Transport,Department for Transport,01.11.2012,Occup Health Scheme,General Counsel's Office,BRB (RESIDUARY) LTD,2000015491,676.77,#,WC2B 4AN
Department for Transport,Department for Transport,01.11.2012,IT Consultancy,Transport Security - Security Compliance Division ,EDUSERV,2000015479,2160,#,BA1 1SR
Department for Transport,Department for Transport,01.11.2012,IT Consultancy,Transport Security - Security Compliance Division ,EDUSERV,2000015479,2160,#,BA1 1SR
Department for Transport,Department for Transport,01.11.2012,IT Consultancy,Transport Security - Security Compliance Division ,EDUSERV,2000015479,2160,#,BA1 1SR
Department for Transport,Department for Transport,01.11.2012,Publicity,Roads,FISHBURN HEDGES,2000015484,8019,#,WC2B 6SR
Department for Transport,Department for Transport,01.11.2012,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000015492,961.09,#,DL3 6XR
Department for Transport,Department for Transport,01.11.2012,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000015492,1209.18,#,DL3 6XR
Department for Transport,Department for Transport,01.11.2012,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000015493,1160000,#,DL3 6EH
Department for Transport,Department for Transport,01.11.2012,Periodicals & Subs,General Counsel's Office,SWEET & MAXWELL LTD,2000015487,167.35,Thomson Reuters - 4008004,SP10 9AH
Department for Transport,Department for Transport,01.11.2012,Periodicals & Subs,General Counsel's Office,SWEET & MAXWELL LTD,2000015487,594.54,#,SP10 9AH
Department for Transport,Department for Transport,01.11.2012,CurrGrtOth to NDPBs,Aviation,HUMBERSIDE INTERNATIONAL AIRPORT,2000015497,335460,Humberside Interim Payment Oct 2012,DN39 6YH
Department for Transport,Department for Transport,02.11.2012,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000015552,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,02.11.2012,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD ALSO T/A,2000015565,629.88,#,B37 7YE
Department for Transport,Department for Transport,02.11.2012,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD ALSO T/A,2000015565,765.9,#,B37 7YE
Department for Transport,Department for Transport,02.11.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000015557,3942.84,#,SL1 3SA
Department for Transport,Department for Transport,02.11.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000015557,3456,#,SL1 3SA
Department for Transport,Department for Transport,02.11.2012,Agency Staff Costs,Refran Prog Off,NETWORKERS INTERNATIONAL (UK) PLC,2000015564,2127.06,#,BR1 1HP
Department for Transport,Department for Transport,02.11.2012,Grant Payments,Rail Commercial Contracts,GREATER MANCHESTER PTA,2000015561,4778807.48,1308 Wk3 PTE SUBSIDY INCL. INDEXATION 2012-13_Pd13,M1 3BG
Department for Transport,Department for Transport,02.11.2012,Grant Payments,Rail Commercial Contracts,MERSEYTRAVEL,2000015558,1035800.64,1308 Wk3 PTE SUBSIDY INCL. INDEXATION 2012-13_Pd 1,L3 2AN
Department for Transport,Department for Transport,02.11.2012,Grant Payments,Rail Commercial Contracts,NEXUS (TYNE & WEAR),2000015559,282491.08,1308 Wk3 PTE SUBSIDY & INDEXATION 2012-13_Pd1308 -,NE1 4AX
Department for Transport,Department for Transport,02.11.2012,Grant Payments,Rail Commercial Contracts,SOUTH YORKSHIRE PTE,2000015560,1812651.11,1308 Wk3 PTE SUBSIDY & INDEXATION 2012-13_Pd 1308,S2 5YT
