Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,2175.5,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,2719.38,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,2719.38,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,2719.38,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000055,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000074,1926.04,#,SL1 3SA
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000074,3210,#,SL1 3SA
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Rail Accident Investigation Branch,SPRING TECHNOLOGY LTD  ALSO T/A,2000000076,762.48,#,B37 7YE
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000000063,3466.8,#,EC4M 7EG
Department for Transport,Department for Transport,02/04/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000000074,1968.29,#,SL1 3SA
Department for Transport,Department for Transport,02/04/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000000066,10980,#,E14 9SQ
Department for Transport,Department for Transport,02/04/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000000066,230379.67,#,E14 9SQ
Department for Transport,Department for Transport,02/04/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000000066,103976.63,#,E14 9SQ
Department for Transport,Department for Transport,02/04/2013,Computer equipment,Marine Accident Investigation Branch,Probrand Ltd,2000000053,798,Power Adapter,B1 3BP
Department for Transport,Department for Transport,02/04/2013,Computer equipment,Marine Accident Investigation Branch,SPECIALIST COMPUTER CENTRES PLC,2000000075,26.78,Fujifilm 4GB memory cards,B11 2LE
Department for Transport,Department for Transport,02/04/2013,Computer equipment,Marine Accident Investigation Branch,SPECIALIST COMPUTER CENTRES PLC,2000000075,66.72,SanDisk 2GB Micro SD cards,B11 2LE
Department for Transport,Department for Transport,02/04/2013,Computer equipment,Marine Accident Investigation Branch,SPECIALIST COMPUTER CENTRES PLC,2000000075,853.32,Zoom H1 Handy Recorder,B11 2LE
Department for Transport,Department for Transport,02/04/2013,Conferences / Semina,Greener Transport & International,DFT ONE TIME VENDOR,2000000048,2740.2,Recharge @ One Great George Street,SW1P 4DR
Department for Transport,Department for Transport,02/04/2013,CurrGrt Las in AEF/A,London and Olympics,GREATER LONDON AUTHORITY,2000000047,76479000,#,SE1 2UT
Department for Transport,Department for Transport,02/04/2013,CurrGrtPriSec-P&NPIS,Greener Transport & International,LOW CARBON VEHICLE PARTNERSHIP,2000000077,40000,"""LCVP April 2013 #40,000""",SW1H 9JJ
Department for Transport,Department for Transport,02/04/2013,Investigation Servic,Managing Director Motoring Services,#,2000000078,2788.56,#,#
Department for Transport,Department for Transport,02/04/2013,Investigation Servic,Managing Director Motoring Services,#,2000000078,2981.93,#,#
Department for Transport,Department for Transport,02/04/2013,Investigation Servic,Managing Director Motoring Services,#,2000000078,2007.56,#,#
