Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police Authority,19/11/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,A. M. SECURITY SERVICES LTD,225450,"46,575.12"
Department for Transport,British Transport Police Authority,26/11/2010,P&M - ADDITIONS,CAPITAL CONTROL ACCOUNT,CALUMET,223265,"39,726.01"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,17.96
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"2,052.64"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"2,464.55"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"2,932.78"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"3,092.20"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"3,429.31"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"7,250.31"
Department for Transport,British Transport Police Authority,12/11/2010,PHOTCOPIER SERVICE CHARGE,FIN ESTATES,DANWOOD GROUP LTD,224671,"12,712.85"
Department for Transport,British Transport Police Authority,12/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Dtp Group Ltd,225301,"2,932.80"
Department for Transport,British Transport Police Authority,12/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Dtp Group Ltd,225301,"6,531.30"
Department for Transport,British Transport Police Authority,12/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Dtp Group Ltd,225301,"18,200.00"
Department for Transport,British Transport Police Authority,12/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Dtp Group Ltd,225301,"51,110.00"
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW CID,Dx Network Services Ltd,224829,210
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Area Command,Dx Network Services Ltd,224829,"7,178.11"
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station East Sector,Dx Network Services Ltd,224829,"3,627.84"
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station East Sector,Dx Network Services Ltd,224829,"3,285.75"
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station East Sector,Dx Network Services Ltd,224829,350
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station East Sector,Dx Network Services Ltd,224829,350
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station East Sector,Dx Network Services Ltd,224829,"3,060.00"
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station West Sector,Dx Network Services Ltd,224829,"3,893.08"
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station West Sector,Dx Network Services Ltd,224829,350
Department for Transport,British Transport Police Authority,05/11/2010,POSTAGE,NW Police Station West Sector,Dx Network Services Ltd,224829,"5,244.56"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE CID,Dx Network Services Ltd,225396,105
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Area Command,Dx Network Services Ltd,225396,"5,400.37"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE POLICE STATION EAST MIDLAND,Dx Network Services Ltd,225396,"3,139.26"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE POLICE STATION EAST MIDLAND,Dx Network Services Ltd,225396,"3,785.95"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE POLICE STATION EAST MIDLAND,Dx Network Services Ltd,225396,"3,876.21"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station Leeds Sector,Dx Network Services Ltd,225396,"4,980.28"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station Leeds Sector,Dx Network Services Ltd,225396,633.58
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station North Sector,Dx Network Services Ltd,225396,"4,240.00"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station North Sector,Dx Network Services Ltd,225396,350
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station North Sector,Dx Network Services Ltd,225396,421.76
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station South Sector,Dx Network Services Ltd,225396,"1,341.48"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station South Sector,Dx Network Services Ltd,225396,"1,607.65"
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station South Sector,Dx Network Services Ltd,225396,802.28
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station South Sector,Dx Network Services Ltd,225396,716.99
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station South Sector,Dx Network Services Ltd,225396,568.91
Department for Transport,British Transport Police Authority,12/11/2010,POSTAGE,NE Police Station South Sector,Dx Network Services Ltd,225396,663.57
Department for Transport,British Transport Police Authority,26/11/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,GLOBAL SECURE SYSTEMS,226236,"4,995.00"
Department for Transport,British Transport Police Authority,26/11/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,GLOBAL SECURE SYSTEMS,226236,"5,395.00"
Department for Transport,British Transport Police Authority,26/11/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,GLOBAL SECURE SYSTEMS,226236,"11,995.00"
Department for Transport,British Transport Police Authority,12/11/2010,INSURANCE - PREMIUMS,RISK - FINANCE,Heath Lambert Ltd,225986,"243,471.90"
Department for Transport,British Transport Police Authority,12/11/2010,INSURANCE - PREMIUMS,RISK - FINANCE,Heath Lambert Ltd,225987,"36,906.40"
Department for Transport,British Transport Police Authority,05/11/2010,VEHICLE OWNED - ADDIT 7 YEARS,CAPITAL CONTROL ACCOUNT,KINETIC SPECIAL VEHICLES LTD,225267,"23,790.00"
Department for Transport,British Transport Police Authority,05/11/2010,VEHICLE OWNED - ADDIT 7 YEARS,CAPITAL CONTROL ACCOUNT,KINETIC SPECIAL VEHICLES LTD,225267,"23,790.00"
Department for Transport,British Transport Police Authority,05/11/2010,VEHICLE OWNED - ADDIT 7 YEARS,CAPITAL CONTROL ACCOUNT,KINETIC SPECIAL VEHICLES LTD,225267,"23,790.00"
Department for Transport,British Transport Police Authority,12/11/2010,FORENSIC SERVICES,CRIME S.O.C.O,Lgc Ltd,225206,"26,370.00"
Department for Transport,British Transport Police Authority,19/11/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,223680,"-21,775.00"
Department for Transport,British Transport Police Authority,19/11/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,223680,"2,295.00"
Department for Transport,British Transport Police Authority,19/11/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,223680,"5,238.00"
Department for Transport,British Transport Police Authority,19/11/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,223680,"10,650.00"
Department for Transport,British Transport Police Authority,19/11/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,223680,"11,125.00"
Department for Transport,British Transport Police Authority,19/11/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,223680,"21,775.00"
Department for Transport,British Transport Police Authority,12/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,ANALYSIS MASON,225717,234.1
Department for Transport,British Transport Police Authority,12/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,ANALYSIS MASON,225717,"47,765.90"
Department for Transport,British Transport Police Authority,26/11/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,NORTHGATE INFORMATION SOLUTIONS LTD,224565,"32,427.64"
Department for Transport,British Transport Police Authority,19/11/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,NORTHGATE INFORMATION SOLUTIONS LTD,225908,"24,875.00"
Department for Transport,British Transport Police Authority,26/11/2010,BUILDING RENTAL,LN Support Services,"MEIR UZAN, MARC LEE & ADAM LEE PARTNERSHIP",227008,"86,250.00"
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,142.85
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,500
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,542.9
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,971.4
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,993.3
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,"2,666.70"
Department for Transport,British Transport Police Authority,26/11/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,226898,"64,285.70"
Department for Transport,British Transport Police Authority,26/11/2010,TRAINING-POLICE,DFT OLYMPICS,Optilan Uk Ltd,226898,"2,022.84"
Department for Transport,British Transport Police Authority,26/11/2010,SERVICE CHARGES,DFT OLYMPICS,Optilan Uk Ltd,226898,434.29
