Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police Authority,08/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,AVENTE LTD,223267,34842.28
Department for Transport,British Transport Police Authority,26/11/2010,ELECTRICITY,WW Police Station West Sector,BNP Paribas Real Estate Clients Account,227517,107566.73
Department for Transport,British Transport Police Authority,01/12/2010,BUILDING RENTAL,LS Ebury Bridge Police Station,BREANSTAR LIMITED,228794,51406.25
Department for Transport,British Transport Police Authority,24/11/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BRITSPACE MODULAR BUILDING LIMITED,227015,90040.25
Department for Transport,British Transport Police Authority,30/11/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BRITSPACE MODULAR BUILDING LIMITED,228039,56987.5
Department for Transport,British Transport Police Authority,01/12/2010,BUILDING RENTAL,NW Area Command,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,227457,24237.31
Department for Transport,British Transport Police Authority,02/12/2010,BUILDING RENTAL,NE Area Command,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,228546,50908.64
Department for Transport,British Transport Police Authority,01/12/2010,PARKING SPACE RENTAL,NW Area Command,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,227457,807.81
Department for Transport,British Transport Police Authority,01/12/2010,SERVICE CHARGES,NW Area Command,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,227457,7799.54
Department for Transport,British Transport Police Authority,02/12/2010,SERVICE CHARGES,NE Area Command,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,228546,3358.73
Department for Transport,British Transport Police Authority,02/12/2010,SERVICE CHARGES,NE Area Command,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,228546,15053.68
Department for Transport,British Transport Police Authority,22/12/2010,IT HARDWARE PURCH (NONCAP),TECHNOLOGY GROUP,BT GLOBAL SERVICES,229227,81067.54
Department for Transport,British Transport Police Authority,22/12/2010,IT HARDWARE PURCH (NONCAP),TECHNOLOGY GROUP,BT GLOBAL SERVICES,229227,107034.27
Department for Transport,British Transport Police Authority,22/12/2010,IT HARDWARE PURCH (NONCAP),TECHNOLOGY GROUP,BT GLOBAL SERVICES,229227,119253.46
Department for Transport,British Transport Police Authority,26/10/2010,PLANNED MTCE- BUILD (NONCAP),FIN ESTATES,CARILLION (AMBS) LIMITED,224735,26437.5
Department for Transport,British Transport Police Authority,01/12/2010,BUILDING RENTAL,FIN ESTATES,CORPORATION OF LONDON,228695,51427.13
Department for Transport,British Transport Police Authority,01/12/2010,INSURANCE - PREMIUMS,FIN ESTATES,CORPORATION OF LONDON,228695,13597.86
Department for Transport,British Transport Police Authority,30/09/2010,POSTAGE,CRIME S.O.C.O,Dx Network Services Ltd,226823,49725.39
Department for Transport,British Transport Police Authority,19/10/2010,POSTAGE,CRIME S.O.C.O,Dx Network Services Ltd,226830,18235.89
Department for Transport,British Transport Police Authority,19/10/2010,POSTAGE,FIN ESTATES,Dx Network Services Ltd,226830,4789.45
Department for Transport,British Transport Police Authority,19/10/2010,POSTAGE,FIN ESTATES,Dx Network Services Ltd,226830,20249.95
Department for Transport,British Transport Police Authority,19/10/2010,POSTAGE,FIN ESTATES,Dx Network Services Ltd,226830,5345.59
Department for Transport,British Transport Police Authority,19/10/2010,POSTAGE,LN EBBSFLEET,Dx Network Services Ltd,226830,246.75
Department for Transport,British Transport Police Authority,19/10/2010,POSTAGE,CONTACT AND CONTROL ROOMS,Dx Network Services Ltd,226830,3060.88
Department for Transport,British Transport Police Authority,15/10/2010,POSTAGE,CRIME S.O.C.O,Dx Network Services Ltd,226840,-49725.39
Department for Transport,British Transport Police Authority,03/12/2010,BUILDING RENTAL,FIN ESTATES,FOLGATE ESTATES LTD,228091,91735
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229442,-74.1
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229442,25221.74
Department for Transport,British Transport Police Authority,17/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229446,27513.99
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229447,-27513.99
Department for Transport,British Transport Police Authority,22/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229448,-346.6
Department for Transport,British Transport Police Authority,22/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229448,27773.52
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229449,-346.6
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229449,27773.52
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229450,-346.6
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229450,27773.52
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229451,-142.29
Department for Transport,British Transport Police Authority,21/12/2010,VEHICLE OWNED - ADDIT 5 YEARS,CAPITAL CONTROL ACCOUNT,FORD MOTOR COMPANY LIMITED,229451,26971.08
Department for Transport,British Transport Police Authority,01/11/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,225572,118331.13
Department for Transport,British Transport Police Authority,01/12/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,228019,116416.23
Department for Transport,British Transport Police Authority,01/12/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,228020,29987.95
Department for Transport,British Transport Police Authority,01/11/2010,TELEPHONE CALLS,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,225560,49467.29
Department for Transport,British Transport Police Authority,01/11/2010,TELEPHONE CALLS,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,225601,29987.95
Department for Transport,British Transport Police Authority,01/12/2010,TELEPHONE CALLS,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,228120,54407.71
Department for Transport,British Transport Police Authority,09/12/2010,INSURANCE - PREMIUMS,RISK - FINANCE,Heath Lambert Ltd,228113,300057.4
Department for Transport,British Transport Police Authority,25/11/2010,BUILDING RENTAL,LS South Western Quadrant,KING STURGE LLP,228789,21183.49
