Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/01/2013,Experts by Experience,Regulatory Development,CHOICE SUPPORT,3001503,"39,421.96",Acting Together - Involvement
Department of Health,Care Quality Commission,31/01/2013,Experts by Experience,Regulatory Development,CHOICE SUPPORT,3019617,"34,304.40",Acting Together - Involvement
Department of Health,Care Quality Commission,31/01/2013,Experts by Experience,Regulatory Development,CHOICE SUPPORT,3019623,"40,755.01",Acting Together - Involvement
Department of Health,Care Quality Commission,31/01/2013,Hotels and Conferences,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,3026250,"174,061.09",Hotels and Conferences
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,INFORMATION MANAGEMENT GROUP LTD,3027824,"25,740.00",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3042183,"604,901.58",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3043259,"56,752.80",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3043264,"65,265.56",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Commission Wide,CSC COMPUTER SCIENCES LTD,3043305,"88,636.93",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3043322,"613,347.30",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067836,"1,551.36",Utilities
Department of Health,Care Quality Commission,31/01/2013,Gas mains,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067836,921.60,Utilities
Department of Health,Care Quality Commission,31/01/2013,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067836,"23,757.60",Rent
Department of Health,Care Quality Commission,31/01/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067836,"6,326.42",Service Charge
Department of Health,Care Quality Commission,31/01/2013,Water Mains,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067836,172.80,Utilities
Department of Health,Care Quality Commission,31/01/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067844,"90,847.12",Service Charge
Department of Health,Care Quality Commission,31/01/2013,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067844,"254,842.86",Rent
Department of Health,Care Quality Commission,31/01/2013,Rates,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067844,"97,112.64",Rates
Department of Health,Care Quality Commission,31/01/2013,Insurance Services,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067844,"4,836.49",Insurance
Department of Health,Care Quality Commission,31/01/2013,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3067844,"16,816.80",Utilities
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3068919,"64,642.00",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3068931,"39,740.54",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Strategic Marketing & Comms,IXIS IT LTD,3068960,"80,040.00",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Regulatory Development,IXIS IT LTD,3068960,"30,480.00",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3068977,"58,432.84",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3101506,"175,238.40",Agency Staff
Department of Health,Care Quality Commission,31/01/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3101512,"173,263.73",Agency Staff
Department of Health,Care Quality Commission,31/01/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3119970,"169,896.66",Agency Staff
Department of Health,Care Quality Commission,31/01/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3119975,"189,988.08",Agency Staff
Department of Health,Care Quality Commission,31/01/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3119981,"27,337.44",Agency Staff
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Finance and CSD,CONTAINCO LTD,3122008,"25,628.40",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,AR Refund,Commission Wide,Dorset County Council,3146829,"50,650.00",Duplicate payment
Department of Health,Care Quality Commission,31/01/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,3157433,"131,330.54",Service Charge
Department of Health,Care Quality Commission,31/01/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,3157496,"50,608.96",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3170523,"25,920.10",Agency Staff
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3172528,"41,531.33",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3173942,"136,287.60",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3173947,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3173950,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3173965,"39,984.00",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,STERIA LTD,3173977,"70,865.02",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,STERIA LTD,3173982,"31,623.26",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Regulatory Development,STERIA LTD,3173987,"33,577.20",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,AXIS12 LTD,3174007,"93,420.00",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,Surveys,Intelligence,PICKER INSTITUTE EUROPE,3190040,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/01/2013,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,3243662,"237,857.82",Travel
Department of Health,Care Quality Commission,31/01/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,3245666,"52,227.01",IT Telecommunications
