Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/05/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,4052889,"42,806.99",IT Telecommunications
Department of Health,Care Quality Commission,31/05/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4184607,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,31/05/2013,Experts by Experience,Regulatory Development,CHOICE SUPPORT,4506869,"41,065.33",Acting Together - Involvement
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,4508280,"27,456.41",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Professional Services,Regulatory Development,DELOITTE LLP,4521095,"71,858.64",Professional Services
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4539347,"163,600.33",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4539348,"159,360.42",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4539349,"79,566.91",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4539350,"61,106.47",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4539351,"301,413.19",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4539352,"83,717.59",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,4539683,"51,413.21",IT Telecommunications
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,4540719,"32,295.26",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Surveys,Regulatory Development,UCLAN BUSINESS SERVICES LTD,4597127,"107,940.00",National Projects
Department of Health,Care Quality Commission,31/05/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4597254,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,31/05/2013,Calder Control Account,Commission Wide,CALDER CONFERENCES LTD,4630490,"88,215.58",Conferences
Department of Health,Care Quality Commission,31/05/2013,Surveys,Intelligence,PICKER INSTITUTE EUROPE,4633382,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/05/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4659456,"44,354.17",IT Telecommunications
Department of Health,Care Quality Commission,31/05/2013,Surveys,Intelligence,PICKER INSTITUTE EUROPE,4702740,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/05/2013,Rents,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,4720741,"393,638.25",Rent
Department of Health,Care Quality Commission,31/05/2013,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,4744483,"270,732.02",Travel
Department of Health,Care Quality Commission,31/05/2013,CRB Checks,Commission Wide,DISCLOSURE & BARRING SERVICE,4744502,"44,792.00",CRB Checks
Department of Health,Care Quality Commission,31/05/2013,Involvement,Regulatory Development,FOUNDATION TRUST GOVERNORS ASSOCIATION,4748160,"25,480.00",National Projects
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4789005,"203,347.90",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4789044,"179,359.45",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4791184,"58,659.14",IT Managed Service
Department of Health,Care Quality Commission,31/05/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4791189,"51,850.08",IT Managed Service
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4798706,"25,760.18",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4798888,"168,679.55",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Calder Control Account,Commission Wide,CALDER CONFERENCES LTD,4799033,"77,876.23",Conferences
Department of Health,Care Quality Commission,31/05/2013,Surveys,Human Resources,GFK,4802525,"28,920.00",Staff Survey
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4847022,"75,484.07",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4847095,"58,361.68",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4847173,"148,784.96",Agency Staff
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,COVALENT SOFTWARE,4848774,"56,640.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4850158,"521,118.92",IT Managed Service
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4850213,"29,484.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4853854,"39,432.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4853879,"47,190.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4853893,"36,024.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4853898,"40,680.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4853922,"63,492.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4853927,"29,172.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4905304,"48,048.00",Intangible Assets
Department of Health,Care Quality Commission,31/05/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4913360,"43,329.00",Intangible Assets
