Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,04/08/2011,Other Fees/Services,HQ,Alterian Technology Ltd,PINV00307428,"46,200.00",Website hosting 2008-09
Department for Education,CAFCASS,04/08/2011,Contact Activities-rechargeable,HQ,Network Ventures Ltd (Sales Account),PINV00307433,"26,795.00",June 11 PIP NRS
Department for Education,CAFCASS,11/08/2011,Archiving,HQ,TNT UK Limited,PINV00308143,"25,119.80",April 11 Archiving cost
Department for Education,CAFCASS,22/08/2011,Building Fit Out and Enhancements,HQ,Northamptonshire Healthcare NHS Foundati,PINV00309123,"29,000.00",Newlands House - Dilaps
Department for Education,CAFCASS,23/08/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00309219,"20,895.12",Line rental July 2011
Department for Education,CAFCASS,23/08/2011,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00309219,"32,290.03",Line rental July 2011
Department for Education,CAFCASS,02/08/2011,Rates,HQ,Coventry City Council,PINVP00000226,"135,312.50",RATES 01/04/11-01/04/12
Department for Education,CAFCASS,23/08/2011,Rent,HQ,Department for Education,PINVP00000235,"107,925.00",RENT SANCTUARY BLG 01/07-30/09/11
Department for Education,CAFCASS,26/08/2011,Service Charge,HQ,Zurich Assurance Ltd,PINVP00000242,"11,723.42",RENT/SERVICE CHG SLOUGH 29/09-24/12/11
Department for Education,CAFCASS,26/08/2011,Rent,HQ,Zurich Assurance Ltd,PINVP00000242,"23,387.40",RENT/SERVICE CHG SLOUGH 29/09-24/12/11
