Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,10/05/2010,Licence Fees,HQ,Advanced Business Solutions,PCRN00005029,"-63,637.38 ",Credit for new VAT rate
Department for Education,CAFCASS,27/05/2010,Rent,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PCRN00005089,"-18,800.00 ",CREDIT PAID WITHOUT VAT
Department for Education,CAFCASS,27/05/2010,Service Charge,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PCRN00005089,"-8,354.54 ",CREDIT PAID WITHOUT VAT
Department for Education,CAFCASS,04/05/2010,Licence Fees,HQ,Advanced Business Solutions,PINV00261798,"53,392.00 ",Open accounts & EBIS DR licence - 3yr li
Department for Education,CAFCASS,12/05/2010,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,PINV00262265,"26,982.53 ",Rail Travel Apr 10
Department for Education,CAFCASS,10/05/2010,Licence Fees,HQ,Advanced Business Solutions,PINV00262354,"62,283.39 ",Annual Support and Maintenance OA & eBIS
Department for Education,CAFCASS,21/05/2010,Rates,Op Service Areas,Nottingham City Council,PINV00263501,"35,537.36 ",Rates 2010/2011
Department for Education,CAFCASS,27/05/2010,Service Charge,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PINV00263938,"8,354.54 ",Quarterly Rent for 6th Floor Byrom House
Department for Education,CAFCASS,27/05/2010,Rent,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PINV00263938,"18,800.00 ",Quarterly Rent for 6th Floor Byrom House
Department for Education,CAFCASS,27/05/2010,Service Charge,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PINV00263957,"8,354.54 ",S/C On Account In Advance 24/06/2010-28/09/2010
Department for Education,CAFCASS,27/05/2010,Rent,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PINV00263957,"18,800.00 ",Rent in Advance 24/06/2010-28/09/2010
