Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,02/02/2011,Stationery,HQ,Banner Business Services Ltd,CINV00000007,"2,430.44 ",Various Stationery January 2011
Department for Education,CAFCASS,02/02/2011,Stationery,Op Service Areas,Banner Business Services Ltd,CINV00000007,"30,600.47 ",Various Stationery January 2011
Department for Education,CAFCASS,08/02/2011,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000010,"17,992.14 ",Redfern Jan 2011
Department for Education,CAFCASS,08/02/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000010,"54,050.07 ",Redfern Jan 2011
Department for Education,CAFCASS,02/03/2011,Stationery,HQ,Banner Business Services Ltd,CINV00000012,"7,241.46 ",Various Stationery February 2011
Department for Education,CAFCASS,02/03/2011,Stationery,Op Service Areas,Banner Business Services Ltd,CINV00000012,"28,735.78 ",Various Stationery February 2011
Department for Education,CAFCASS,02/03/2011,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000013,"17,349.59 ",Redfern Feb2011
Department for Education,CAFCASS,02/03/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000013,"38,956.14 ",Redfern Feb2011
Department for Education,CAFCASS,03/02/2011,Service Charge,HQ,CBRE Ltd - Client A/C - Common Receipts,PINV00288448,"8,059.32 ",RENT/SERVICE CHG BYROM HOUSE JAN-MAR 11
Department for Education,CAFCASS,03/02/2011,Rent,HQ,CBRE Ltd - Client A/C - Common Receipts,PINV00288448,"18,800.00 ",RENT/SERVICE CHG BYROM HOUSE JAN-MAR 11
Department for Education,CAFCASS,03/02/2011,Service Charge,HQ,CBRE Ltd - Client A/C - Common Receipts,PINV00288449,"8,230.80 ",RENT/SC BYROM HOUSE JAN-MAR 11
Department for Education,CAFCASS,03/02/2011,Rent,HQ,CBRE Ltd - Client A/C - Common Receipts,PINV00288449,"19,200.00 ",RENT/SC BYROM HOUSE JAN-MAR 11
Department for Education,CAFCASS,07/02/2011,Building Fit Out and Enhancements,HQ,Staverton (UK) Ltd,PINV00288736,"35,937.94 ",1.10 LWS Refurbishment
Department for Education,CAFCASS,17/02/2011,Service Charge,Op Service Areas,Stockland Anglo Ventures (Croydon) Ltd,PINV00290136,"9,955.78 ",RENT/SERVICE CHARGE CRYDN 25/03-23/06/11
Department for Education,CAFCASS,17/02/2011,Rent,Op Service Areas,Stockland Anglo Ventures (Croydon) Ltd,PINV00290136,"29,970.00 ",RENT/SERVICE CHARGE CRYDN 25/03-23/06/11
Department for Education,CAFCASS,18/02/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00290210,"23,251.28 ",Call charges  December 2010
Department for Education,CAFCASS,18/02/2011,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00290210,"30,061.92 ",Call charges  December 2010
Department for Education,CAFCASS,23/02/2011,Contact Activities-rechargeable,HQ,Network Ventures Ltd (Sales Account),PINV00290961,"29,100.00 ",PIP January 2011 - NRS
Department for Education,CAFCASS,25/02/2011,Building Fit Out and Enhancements,HQ,DP Designs,PINV00291153,"25,460.20 ",2.01 - Reading Refurbishment. DP designs
