Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,12/04/2012,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000097,"18,929.31 ",Redfern Mar 12
Department for Education,CAFCASS,12/04/2012,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000097,"41,352.04 ",Redfern Mar 12
Department for Education,CAFCASS,04/05/2012,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000103,"21,864.87 ",Redfern Apr 12
Department for Education,CAFCASS,04/05/2012,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000103,"27,751.70 ",Redfern Apr 12
Department for Education,CAFCASS,02/04/2012,Training - External Courses,Op Service Areas,The Open University,PINV00326461,"26,085.50 ",2nd Year SW OU Fees 2011-12
Department for Education,CAFCASS,04/04/2012,Maintenance,Op Service Areas,Evora Construction Limited,PINV00326813,"41,891.95 ",PVH Refurb costs
Department for Education,CAFCASS,05/04/2012,Vehicle Insurance,HQ,CC Flint & Co Ltd,PINV00326942,"49,489.96 ",Cafcass Vehicle Insurance 12/13
Department for Education,CAFCASS,11/04/2012,Non-contracted Computer Services,HQ,Indigo Telecom Group Ltd,PINV00327267,"49,035.00 ",COST OF HARDWARE & SOFTWARE FOR CALL CENTRE
Department for Education,CAFCASS,12/04/2012,Special Payments,HQ,Michelmores Solicitors,PINV00327398,"54,300.00 ",Landlord's Surrender Premium & Sols Fees
Department for Education,CAFCASS,12/04/2012,Dilapidations,HQ,Michelmores Solicitors,PINV00327398,"80,000.00 ",Landlord's Dilapidations
Department for Education,CAFCASS,16/04/2012,Subscriptions to Law Reports,HQ,Reed Elsevier UK Ltd t/a LexisNexis,PINV00327668,"26,074.80 ",LexisNexis Subscription for 2012
Department for Education,CAFCASS,18/04/2012,Building Fit Out and Enhancements,HQ,DP Designs,PINV00327753,"47,310.00 ",DL - Canterbury(new) - Phase 1 fit- ut 1
Department for Education,CAFCASS,19/04/2012,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00327872,"30,733.85 ",Line rental March 2012
Department for Education,CAFCASS,24/04/2012,Service Charge,HQ,The Ministry of Justice,PINV00328198,"50,000.00 ",ARCHWAY DILAP
Department for Education,CAFCASS,24/04/2012,Water Rates,HQ,The Ministry of Justice,PINV00328199,146.17 ,ARCHWAY RENT/SERV CHG OCT-DEC 11
Department for Education,CAFCASS,24/04/2012,Gas,HQ,The Ministry of Justice,PINV00328199,"1,346.87 ",ARCHWAY RENT/SERV CHG OCT-DEC 11
Department for Education,CAFCASS,24/04/2012,Electricity,HQ,The Ministry of Justice,PINV00328199,"6,011.53 ",ARCHWAY RENT/SERV CHG OCT-DEC 11
Department for Education,CAFCASS,24/04/2012,Rates,HQ,The Ministry of Justice,PINV00328199,"11,641.21 ",ARCHWAY RENT/SERV CHG OCT-DEC 11
Department for Education,CAFCASS,24/04/2012,Rent,HQ,The Ministry of Justice,PINV00328199,"27,000.00 ",ARCHWAY RENT/SERV CHG OCT-DEC 11
Department for Education,CAFCASS,24/04/2012,Service Charge,HQ,The Ministry of Justice,PINV00328199,"29,913.18 ",ARCHWAY RENT/SERV CHG OCT-DEC 11
Department for Education,CAFCASS,26/04/2012,Electricity,HQ,The Ministry of Justice,PINV00328349,"10,900.05 ",ARCHWAY RENT/SERV CHG JAN-MAR 11
Department for Education,CAFCASS,26/04/2012,Rent,HQ,The Ministry of Justice,PINV00328349,"25,840.52 ",ARCHWAY RENT/SERV CHG JAN-MAR 11
Department for Education,CAFCASS,26/04/2012,Service Charge,HQ,The Ministry of Justice,PINV00328349,"41,569.52 ",ARCHWAY RENT/SERV CHG JAN-MAR 11
Department for Education,CAFCASS,26/04/2012,Rates,HQ,The Ministry of Justice,PINV00328350,"44,756.04 ",ARCHWAY RATES 2010-2011
Department for Education,CAFCASS,18/04/2012,Rates,HQ,Stockport Metropolitan Borough Council,PINVP00000511,"25,190.00 ",STOCKPORT RATES 01/04/12-31/03/13
Department for Education,CAFCASS,26/04/2012,Rates,HQ,Trafford Metropolitan Borough Council,PINVP00000515,"30,228.00 ",MANCHESTER RATES 01/04/12-31/03/13
