Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,03/02/2011,Telecommunications,Information Management,BUYING SOLUTIONS,600060840,93383.10,GD103
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600060908,915.20,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600060908,625.50,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600060908,37051.20,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,General Practice Research Database,FCM TRAVEL SOLUTIONS,600060908,4090.50,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600060908,2434.36,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,Information Management,FCM TRAVEL SOLUTIONS,600060908,5887.80,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600060908,568.20,662428530
Dept of Health,MHRA,07/02/2011,Overseas Travel & Subsistence,Devices Technology & Safety,FCM TRAVEL SOLUTIONS,600060908,362.24,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600060908,10.50,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600060908,109.65,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600060908,5520.70,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,General Practice Research Database,FCM TRAVEL SOLUTIONS,600060908,587.50,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600060908,11.00,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Operations & Finance,FCM TRAVEL SOLUTIONS,600060908,104.00,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600060908,74.00,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Devices Medical,FCM TRAVEL SOLUTIONS,600060908,41.50,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Devices Technology & Safety,FCM TRAVEL SOLUTIONS,600060908,1763.21,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Human Resources,FCM TRAVEL SOLUTIONS,600060908,11.20,662428530
Dept of Health,MHRA,07/02/2011,UK Travel & Subsistence,Communications,FCM TRAVEL SOLUTIONS,600060908,14.50,662428530
Dept of Health,MHRA,07/02/2011,Training inc T&S,Devices Technology & Safety,FCM TRAVEL SOLUTIONS,600060908,312.10,662428530
Dept of Health,MHRA,09/02/2011,Internal Audit,Operations & Finance,PRICEWATERHOUSECOOPERS LLP,600060952,25200.00,243823957
Dept of Health,MHRA,10/02/2011,Capital Expenditure,Information Management,ACCENTURE,600061010,55902.24,788629066
Dept of Health,MHRA,10/02/2011,Capital Expenditure,Information Management,ACCENTURE,600061009,53737.79,788629066
Dept of Health,MHRA,14/02/2011,IT Purchases,Information Management,ACCENTURE,600061012,231831.95,788629066
Dept of Health,MHRA,16/02/2011,Computing Accenture Costs,Information Management,ACCENTURE,600061013,692808.18,788629066
Dept of Health,MHRA,23/02/2011,Premises Rental,Operations & Finance,ZURICH ASSURANCE LTD,600061334,30000.00,107831677
Dept of Health,MHRA,23/02/2011,Service Charge,Operations & Finance,ZURICH ASSURANCE LTD,600061334,15627.90,107831677
