Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,01/04/2015,Shared Services,Finance & Procurement,PUBLIC HEALTH ENGLAND,600095047,91500,888849628
Dept of Health,MHRA,08/04/2015,Building Maintenance & Utilities,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,121144.91,888825550
Dept of Health,MHRA,08/04/2015,Cleaning,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,30649.93,888825550
Dept of Health,MHRA,08/04/2015,Facilities Management,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,28083.09,888825550
Dept of Health,MHRA,08/04/2015,Premises Rental,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,1134178.3,888825550
Dept of Health,MHRA,08/04/2015,Rates,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,669394.28,888825550
Dept of Health,MHRA,08/04/2015,Security,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,52196.58,888825550
Dept of Health,MHRA,08/04/2015,Service Charge,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,258440.31,888825550
Dept of Health,MHRA,08/04/2015,Staff Restaurant,Facilities & Estates,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS,600094944,65333.69,888825550
Dept of Health,MHRA,08/04/2015,Rates,Facilities & Estates,WELWYN HATFIELD COUNCIL,600094500,39933,
Dept of Health,MHRA,08/04/2015,Recruitment,Finance & Procurement,LINKED IN,600094593,30250,888849726
Dept of Health,MHRA,09/04/2015,Cost of Seminars,Communications,GLASGOWS,600095140,55735.91,448190633
Dept of Health,MHRA,09/04/2015,External Audit,Finance & Procurement,NATIONAL AUDIT OFFICE,600095190,45000,417632457
Dept of Health,MHRA,09/04/2015,IT Purchases,Information Management,ACCENTURE,600094241,67539.86,788629066
Dept of Health,MHRA,14/04/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600095181,31403.76,862247715
Dept of Health,MHRA,14/04/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600095186,30035.33,862247715
Dept of Health,MHRA,14/04/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600095198,191096.35,862247715
Dept of Health,MHRA,15/04/2015,IT Purchases,Information Management,ACCENTURE,600095314,108224.47,788629066
Dept of Health,MHRA,15/04/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600095206,81754.85,862247715
Dept of Health,MHRA,15/04/2015,UK Miscellaneous T&S,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,9.56,413640679
Dept of Health,MHRA,15/04/2015,UK Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,179.84,413640679
Dept of Health,MHRA,15/04/2015,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,6.04,413640679
Dept of Health,MHRA,15/04/2015,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,779.8,413640679
Dept of Health,MHRA,15/04/2015,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,262.54,413640679
Dept of Health,MHRA,15/04/2015,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,18.12,413640679
Dept of Health,MHRA,15/04/2015,Overseas Rail/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600095292,369.21,413640679
Dept of Health,MHRA,15/04/2015,UK Miscellaneous T&S,Communications,HOGG ROBINSON LTD,600095292,9.56,413640679
Dept of Health,MHRA,15/04/2015,UK Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600095292,6.04,413640679
Dept of Health,MHRA,15/04/2015,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600095292,573.56,413640679
Dept of Health,MHRA,15/04/2015,UK Air,Directorate,HOGG ROBINSON LTD,600095292,85.83,413640679
Dept of Health,MHRA,15/04/2015,UK Hotel/Accommodation,Directorate,HOGG ROBINSON LTD,600095292,6.64,413640679
Dept of Health,MHRA,15/04/2015,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600095292,150.69,413640679
Dept of Health,MHRA,15/04/2015,UK Rail/Tube/Tram,Finance & Procurement,HOGG ROBINSON LTD,600095292,139.22,413640679
Dept of Health,MHRA,15/04/2015,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600095292,55.39,413640679
Dept of Health,MHRA,15/04/2015,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600095292,340.72,413640679
Dept of Health,MHRA,15/04/2015,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600095292,98.38,413640679
