DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Directly Operated Railways Limited|03/06/2012|Professional services|DOR Head office|SIBIU VENTURES|8|14644.17|Professional Services to DOR for May 12 |GU4 7QX
Department for Transport|Directly Operated Railways Limited|01/06/2012|Professional services|DOR Head office|COLEDALE CONSULTING|11-Oct|20152|Professional Services to DOR for May 12 |GU22 0JH
Department for Transport|Directly Operated Railways Limited|24/05/2012|Professional services|DOR Head office|Eversheds|91065649|539.6|Company Secretarial Services|M1 5ES
Department for Transport|Directly Operated Railways Limited|25/05/2012|Professional services|DOR Head office|Eversheds|91066823|1358.8|Company Secretarial Services|M1 5ES
Department for Transport|Directly Operated Railways Limited|18/05/2012|Professional services|DOR Head office|DfT|9300129525|7200|Internal Audit|SW1P 4DR
Department for Transport|MCA|06/06/2012|Tug: Northern Isles - Sovereig|Asset Management|J P KNIGHT (LOWESTOFT) Ltd|533953|146250|Hire Anglian Sovereign|IV18 0EH
Department for Transport|MCA|06/06/2012|Tug: Northern Isles - Sovereig|Asset Management|J P KNIGHT (LOWESTOFT) Ltd|533953|9233.01|Fuel Anglian Sovereign|IV18 0EH
Department for Transport|MCA|06/06/2012|Expense Of Childcare|Human Resources|COMPUTERSHARE VOUCHER SERVICES|533902|7136.87|Childcare Voucher Scheme|WS13 8SX
Department for Transport|MCA|06/06/2012|Consultancy Fees Non-Asset Reg|Asset Management|WIRELESS INFRASTRUCTURE GROUP|533942|6174|Prepayment For Admin On Scrogg|ML4 3NJ
Department for Transport|MCA|06/06/2012|Treasury Solicitors - Defence|Human Resources||531992|3662.17||
Department for Transport|MCA|06/06/2012|Uniforms - Regular|Asset Management|MILLER RAYNER LTD|533952|2802|Uniform|SO14 3EW
Department for Transport|MCA|06/06/2012|Rates/Cilor (In Lieu Of Rates|Asset Management|THE VALE OF GLAMORGAN COUNCIL|533870|2486|Cliff Parade Rates|CF63 4GZ
Department for Transport|MCA|06/06/2012|Non-Technical Training|Human Resources|GOVERMENT CAR AND DESPATCH AGENCY|533913|1800|Awareness Course for Drivers 13-15/3|SW8 5AX
Department for Transport|MCA|06/06/2012|Maint/Repair Cg Boats|Asset Management|ET MARINE & INDUSTRIAL ENGINEERING COMPANY|533963|1489|Tirr Repairs|RM17 6BJ
Department for Transport|MCA|06/06/2012|Call Charges|Human Resources|BRITISH TELECOM|533911|1287.03|Phone Bill Steamer Point|DH98 1BT
Department for Transport|MCA|06/06/2012|Agency Staff|Finance|VENN GROUP Ltd|533864|1282.5|41056|WC2R 0AA
Department for Transport|MCA|06/06/2012|Purchase Coast Rescue Equip|Asset Management|LYON EQUIPMENT LTD|533943|1249.8|Petzl Tikka 2 Headlamp X 50|LA10 5QL
Department for Transport|MCA|06/06/2012|Treasury Solicitors - Defence|Human Resources||533906|1151.5||
Department for Transport|MCA|06/06/2012|Fire Inspections & Supplies|Asset Management|CHUBB FIRE LIMITED|533886|1037.94|Service Agr 2437818|LU1 1UR
Department for Transport|MCA|06/06/2012|T&S Advances|Human Resources||264129|1034|Msar (F) 49 M1 P2 (23/07-03/08|
Department for Transport|MCA|06/06/2012|Maintenance Of Coast Rescue Eq|Asset Management|DICK ROWSELL|533962|969|Winch/Pump/Genny Service Novat|TN39 3LB
Department for Transport|MCA|06/06/2012|Agency Staff|Shared Services|BADENOCH & CLARK|533863|942.61| W/E 25/05/12|W1T 5AE
Department for Transport|MCA|06/06/2012|T&S Advances|Human Resources||264154|933|Msar (F) 48 M1 P2 10-22/06/12|
Department for Transport|MCA|06/06/2012|T&S Advances|Human Resources||264155|829|Msar (F) 48 M1 P2 10-21/06/12|
Department for Transport|MCA|06/06/2012|Fuel/Oil Cg Vehicles|Asset Management|ALLSTAR BUSINESS SOLUTIONS LTD|533751|761.98|Own Fleet Fuel May 12|SN5 6PS
