DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|SUMOFAMOUNT|TEXT|POSTCODE
Department for Transport|Department for Transport|03/10/2011|Secondments|Aviation|CIVIL AVIATION AUTHORITY|2000013387|22635.1|July - September 2011|RH10 0YR
Department for Transport|Department for Transport|03/10/2011|Secondments|Aviation|CIVIL AVIATION AUTHORITY|2000013387|23902.49|July - September 2011|RH10 0YR
Department for Transport|Department for Transport|03/10/2011|Machinery Rental|Greener Transport & International|DANWOOD GROUP LTD|2000013388|575.44|Danwood meter reading 10/11|LN6 3DG
Department for Transport|Department for Transport|03/10/2011|Training|Air Accident Investigation Branch|FAST HELICOPTERS LIMITED|2000013389|1401.99||BN43 5FF
Department for Transport|Department for Transport|03/10/2011|Training|Group Finance|FTC KAPLAN|2000013390|1850|IFRS training with kaplan|SE1 1HR
Department for Transport|Department for Transport|03/10/2011|Transport Consultancy|Rail and Road Projects|JACOBS ENGINEERING U.K. LTD|2000013391|113251.91|Crossrail Project Representative 2011-12|G2 7HX
Department for Transport|Department for Transport|03/10/2011|Publications for Resale|Roads|KEYTEC TYPESETTING LTD|2000013392|450|RSWP 22 ALSPAC 2 typesetting|DT6 3BE
Department for Transport|Department for Transport|03/10/2011|Printing|Marine Accident Investigation Branch|MWL PRINT GROUP LTD|2000013393|6870|MAIB Safety Digest 2/11|NP4 0DQ
Department for Transport|Department for Transport|03/10/2011|Small Software|Business Transformation|ORACLE CORPORATION UK LTD|2000013394|1349.42|Oracle Std Edition 1|RG6 1RA
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|540|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|830||BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|830|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|830|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|1550|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|1613|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|2078|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|2312.5|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|2312.5|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|3010.5|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|4158|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|5421.5|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Traffic Survey & Counting Equipment|Roads|TDC SYSTEMS LIMITED|2000013396|5666.5|Maintenance Contract Extension PO|BS24 9BP
Department for Transport|Department for Transport|03/10/2011|Water|Business Transformation|THAMES WATER|2000013397|618.19|THAMES WATER - VICTORIA ST -17.02 - 04.09.2011|LS14 3WP
Department for Transport|Department for Transport|03/10/2011|Research|Air Accident Investigation Branch|TRANSPORT RESEARCH LABORATORY|2000013398|819.87|E4126|RG40 3GA
Department for Transport|Department for Transport|03/10/2011|IT Services  Running Costs|Transport Direct and Travel information|TRAPEZE GROUP (UK) LTD|2000013399|720|DATA BUILD SEP 1|BA14 6PH
Department for Transport|Department for Transport|03/10/2011|Agents Fees|Domestic DG's Office|EXEL UK LIMITED (STAFF TRAVEL)|2000013401|118089|q2 1112 NFC Staff Travel - NTV 344|RG12 1AN
Department for Transport|Department for Transport|03/10/2011|Research|Aviation|INSTITUTE OF OCCUPATIONAL MEDICINE|2000013402|2600.35|IOM-Cabin Air Residue Study|EH14 4AP
Department for Transport|Department for Transport|03/10/2011|Transport Consultancy|Local|CYCLE CITY GUIDES|2000013404|34580.44|Cycle Data Collection -Journey Planner|BA11 2LE
Department for Transport|Department for Transport|03/10/2011|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000013405|1279.75|Daily Clean 1-30 Sep + sanitary|DE24 8AN
Department for Transport|Department for Transport|03/10/2011|Legal Consultancy|Rail and Road Projects|MICHAEL BOWSHER|2000013407|2020|BOWSHE12-17.8.11|WC1R 5NR
Department for Transport|Department for Transport|03/10/2011|Car Hire and Leasing|Air Accident Investigation Branch|LOMBARD VEHICLE MANAGEMENT LTD|2000013408|6326.28|Manual Payment|B1 2TZ
Department for Transport|Department for Transport|03/10/2011|Legal Consultancy|General Counsel's Office|CABINET OFFICE|2000013409|82713|01/04/11-31/03/12|CF14 3UW
Department for Transport|Department for Transport|03/10/2011|Eurocontrol Contributions|Aviation|EUROCONTROL|2000013410|9225183.89|CONTRIBUTIONS TO EUROCONTROL|1130
Department for Transport|Department for Transport|04/10/2011|Eurotunnel Admin Payment|Rail Commercial Contracts|SNCF TRESORERIE ENC RHT VFE|2000013472|5828287.98|SNCF Funds - Sept 11 EUR Exchange Plus TVA|75014
Department for Transport|Department for Transport|04/10/2011|Eurotunnel Admin Payment|Rail Commercial Contracts|SNCF CAISSE GENERALE|2000013483|4971333.09|SNCF Funds - Sept 11 GBP Exchange Plus TVA|75008
Department for Transport|Department for Transport|04/10/2011|Subsidies to Private Sector|Local|THURMASTON BUS|2000013484|49946.63|THURMASTON BUS|LE4 8AS
Department for Transport|Department for Transport|04/10/2011|Current Grants to LAs within AEF/AEG|London and Olympics|GREATER LONDON AUTHORITY|2000013485|107845000|GLA GRANTPAYMENT|SE1 2UT
Department for Transport|Department for Transport|04/10/2011|Stationery (Non-stock)|DASH|BANNER BUSINESS SERVICES LTD|2000013486|693.95|4 x toner / drum|NR3 1PD
Department for Transport|Department for Transport|04/10/2011|Transport Consultancy|Rail|ATKINS LTD (TRANSPORT PLANNING)|2000013487|42057.87|ICWC Technical Advisor Support|WR5 1TX
Department for Transport|Department for Transport|04/10/2011|IT Services  Running Costs|Transport Direct and Travel information|JOURNEYPLAN LTD|2000013490|6240|Maintenance Aug and Sep 2011|KY12 7SL
Department for Transport|Department for Transport|04/10/2011|IT Services  Running Costs|Transport Direct and Travel information|JOURNEYPLAN LTD|2000013490|9360|Journeyplan Maintenance May June July 2011|KY12 7SL
Department for Transport|Department for Transport|04/10/2011|IT Services  Running Costs|Transport Direct and Travel information|JOURNEYPLAN LTD|2000013490|10350|Provision of SJP|KY12 7SL
Department for Transport|Department for Transport|04/10/2011|Transport Consultancy|Local|MVA CONSULTANCY LTD|2000013491|7500|smart card demand dat|GU21 5BH
Department for Transport|Department for Transport|04/10/2011|Transport Consultancy|Rail and Road Projects|OVE ARUP & PARTNERS|2000013492|76142.57|1-28 AUG 2011|NE1 3PL
Department for Transport|Department for Transport|04/10/2011|Management Consultancy|Rail and Road Projects|PRICEWATERHOUSECOOPERS LLP|2000013493|50675.18|1-31 Aug11|E14 9SQ
Department for Transport|Department for Transport|04/10/2011|Transport Consultancy|Local|STEER DAVIES & GLEAVE LTD|2000013494|16845.13|COSTS TO 26.08.11|SE1 9PD
Department for Transport|Department for Transport|04/10/2011|Publications for Resale|Business Transformation|TEMPO GRAPHIC DESIGN LTD|2000013495|1133|DfT Organisation Chart September 2011|SE15 6NJ
Department for Transport|Department for Transport|04/10/2011|Management Consultancy|Local|SUSTRANS LTD|2000013498|166196.4|Sustrans CDT Monitoring|BS1 5DD
Department for Transport|Department for Transport|04/10/2011|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000013499|14206.5|we 15, 22 &29.07.2011|SW19 3RU
Department for Transport|Department for Transport|04/10/2011|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000013499|17994.9|we 05, 12, 19 & 25.08.2011|SW19 3RU
Department for Transport|Department for Transport|04/10/2011|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000013500|4418.21||B11 2LE
Department for Transport|Department for Transport|04/10/2011|Eurotunnel Admin Payment|Rail Commercial Contracts|EUROTUNNEL (EURO PAYMENTS)|2000013501|5370739.2|Eurotunnel Pymt - Opex & Usage Chg Sept 2011|CT18 8X
Department for Transport|Department for Transport|04/10/2011|Eurotunnel Admin Payment|Rail Commercial Contracts|EUROTUNNEL|2000013502|4344508.02|Eurotunnel Pymt - Opex & Usage Chg Sept 2011|CT18 8XY
Department for Transport|Department for Transport|05/10/2011|Your Rewards - Synergy Prepay card|Human Resources|P & MM LIMITED / P&MM TRAVEL LTD|2000013525|3220|3rd Party Payment Sept 2011|MK14 6LD
Department for Transport|Department for Transport|05/10/2011|Contract Cleaning|Marine Accident Investigation Branch|PROGRESS CLEANING SERVICES|2000013583|702|Office cleaning to 30.9.11|SO14 6GH
Department for Transport|Department for Transport|05/10/2011|Computer Consumables|Business Transformation|SUPPLIES TEAM|2000013584|621.79||S9 1XU
Department for Transport|Department for Transport|05/10/2011|Other Professional Fees|Greener Transport & International|AEA TECHNOLOGY PLC|2000013585|10179|ED 49960|OX11 0QR
Department for Transport|Department for Transport|05/10/2011|Data Supply - Transport Direct|Transport Direct and Travel information|ATKINS LTD (TRANSPORT PLAN)|2000013587|8127.8|Atkins NCSD Data Supply|WR5 1WS
Department for Transport|Department for Transport|05/10/2011|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000013588|3229.1|Badenoch & Clark WE 23.09.2011|W1T 5AE
Department for Transport|Department for Transport|05/10/2011|Infrastructure Maintenance|Analysis/Science|COMPUTACENTER (UK) LTD|2000013589|1083|Invoice for renewal of contract 11079190|AL10 9TW
Department for Transport|Department for Transport|05/10/2011|Training|Air Accident Investigation Branch|FAST HELICOPTERS LIMITED|2000013591|825.42||BN43 5FF
Department for Transport|Department for Transport|05/10/2011|Management Consultancy|Transport Security|CHILTERN HOUSE ASSOCIATES LTD|2000013594|883.5|Consultancy services NASC|HP22 6JQ
Department for Transport|Department for Transport|05/10/2011|Support Services|Aviation|NORWICH AIRPORT LTD|2000013595|14103.6|01.07 - 30.09.2011|NR6 6JA
Department for Transport|Department for Transport|05/10/2011|Data Supply - Transport Direct|Transport Direct and Travel information|OAG WORLDWIDE LTD|2000013596|2200.74|September 2011|TN9 1YT
Department for Transport|Department for Transport|05/10/2011|Small Software|Business Transformation|ORACLE CORPORATION UK LTD|2000013597|1349.42|Software update|RG6 1RA
Department for Transport|Department for Transport|05/10/2011|Data Supply - Transport Direct|Transport Direct and Travel information|RAIL SETTLEMENT PLAN|2000013598|2400|RSP RJIS SEPT 11|WC1N 1BY
Department for Transport|Department for Transport|05/10/2011|Support Services|Aviation|NATIONAL AIR TRAFFIC SERV (ENROUTE)|2000013602|126321.25|jan - dec 2011|EH4 1PU
Department for Transport|Department for Transport|05/10/2011|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000013603|3154.27||SL1 3SA
Department for Transport|Department for Transport|05/10/2011|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000013603|14391.37||SL1 3SA
Department for Transport|Department for Transport|05/10/2011|Travel Expenses UK|Group Finance|RAIL STAFF TRAVEL LTD|2000013604|3032.54|ATOC Rail Staff Travel - Period 6|WC1N 1BY
Department for Transport|Department for Transport|05/10/2011|Car Hire and Leasing|Permanent Secretary|GOVERNMENT CAR & DESPATCH AGENCY|2000013605|450|PUSS-M.PENNING GCDA ORDER|SW8 5AX
Department for Transport|Department for Transport|05/10/2011|Car Hire and Leasing|Permanent Secretary|GOVERNMENT CAR & DESPATCH AGENCY|2000013605|764.04|28.08 -18.09.2011|SW8 5AX
Department for Transport|Department for Transport|05/10/2011|Car Hire and Leasing|Permanent Secretary|GOVERNMENT CAR & DESPATCH AGENCY|2000013605|1125|12.09 - 15.09.2011|SW8 5AX
Department for Transport|Department for Transport|05/10/2011|Rates|Domestic DG's Office|RAILWAYS PENSION MANAGEMENT LT|2000013606|183113.11|RPMI - VAT Only 2010-11|DL3 6EH
Department for Transport|Department for Transport|05/10/2011|Travel Expenses UK|Transport Security|CARLSON WAGONLIT TRAVEL|2000013608|1919.72|CWT Transec Period ending 30 September 2011|EN6 5RF
Department for Transport|Department for Transport|05/10/2011|Travel Expenses UK|Group Finance|CARLSON WAGONLIT TRAVEL|2000013608|1927.8|CWT City Regional Networks  Ending September 2011|EN6 5RF
Department for Transport|Department for Transport|05/10/2011|Travel Expenses UK|Group Finance|CARLSON WAGONLIT TRAVEL|2000013608|2759.97|CWT Major Projects & London Ending September 2011|EN6 5RF
Department for Transport|Department for Transport|05/10/2011|Travel Expenses UK|Centrally held prog|CARLSON WAGONLIT TRAVEL|2000013608|3069.02|CWT - IN&E - SEPTEMBER 2011|EN6 5RF
Department for Transport|Department for Transport|05/10/2011|Data Supply - Transport Direct|Transport Direct and Travel information|TRAFFICLINK (UK) LIMITED|2000013609|18499.2|Live Travel Feed Sep 11|EC1M 6H
Department for Transport|Department for Transport|05/10/2011|Storage & Distribution|Roads|PROMOTIONAL LOGISTICS LTD|2000013610|701.84|job in 310974|CO102XG
Department for Transport|Department for Transport|05/10/2011|Grant in Aid to NDPBs|Group Finance|CTRL SECTION 1 FINANCE PLC|2000013612|27239745.42|TSS/SFS/CTRL Section 1 Finance|NW1 1AY
Department for Transport|Department for Transport|05/10/2011|Transport Consultancy|Local|STEPHEN JOSEPH|2000013614|3750|LSTF Expert Panel - Stephen Joseph|AL3 5LU
Department for Transport|Department for Transport|06/10/2011|Telephone charges|Business Transformation|CABLE & WIRELESS|2000013677|720||MK3 5JP
Department for Transport|Department for Transport|06/10/2011|Travel Expenses UK|Marine Accident Investigation Branch|CLYDE TRAVEL|2000013679|693||G51 1HJ
Department for Transport|Department for Transport|06/10/2011|Legal Consultancy|Rail Commercial Contracts|EVERSHEDS LLP|2000013680|12719.75|HLOS Legal Advice Eversheds|LS11 5DR
Department for Transport|Department for Transport|06/10/2011|IT Services  Running Costs|Roads|EVOLVE BUSINESS CONSULTANCY LTD|2000013681|1735.2|12 & 19.09.2011|GU10 1DW
Department for Transport|Department for Transport|06/10/2011|Telephone charges|Business Transformation|VERIZON BUSINESS|2000013684|6080.66||RG2 6DA
Department for Transport|Department for Transport|06/10/2011|Transport Consultancy|Rail and Road Projects|FIRST GREATER WESTERN|2000013685|97138.9|Support for March - August|SN1 1HL
Department for Transport|Department for Transport|06/10/2011|Training|Transport Security|DRIVING STANDARDS AGENCY|2000013688|1600|cardington training courses 27.07.2011|NG1 5GU
Department for Transport|Department for Transport|06/10/2011|Traffic Survey & Counting Equipment|Roads|HIGHWAYS AGENCY (14272)|2000013689|4273.67|cost recoveries|HP2 4XW
Department for Transport|Department for Transport|07/10/2011|Web Design Services|Roads|1 SPATIAL GROUP LIMITED|2000013699|3648.11|1Spatial contract extension - part 4|CB4 0WZ
Department for Transport|Department for Transport|07/10/2011|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000013701|3061.32|we 24.09.2011|BN11 2BW
Department for Transport|Department for Transport|07/10/2011|Contract Cleaning|Rail Accident Investigation Branch|CLIENTCARE CLEANING LTD|2000013702|472|RAIB Cleaning Service|CR0 2HQ
Department for Transport|Department for Transport|07/10/2011|Machinery Rental|Transport Security|RICOH UK LTD|2000013703|426.47|01.10 - 31.12.2011|NN4 7YB
Department for Transport|Department for Transport|07/10/2011|Machinery Rental|Transport Security|RICOH UK LTD|2000013703|427.32|Serial number 8644200497 Jan-Mar 11|NN4 7YB
Department for Transport|Department for Transport|07/10/2011|Machinery Rental|Transport Security|RICOH UK LTD|2000013703|427.6|01.04 - 30.06.2011|NN4 7YB
Department for Transport|Department for Transport|07/10/2011|Management Consultancy|Local|LANDMARK INFORMATION GROUP LTD|2000013705|6817.22|CDM Landmark - 5,681.02 + VAT Sept11|EX2 7HY
Department for Transport|Department for Transport|07/10/2011|Data Supply - Transport Direct|Transport Direct and Travel information|LANDMARK INFORMATION GROUP LTD|2000013705|9630|CAR PARK REG SEP 2011|EX2 7HY
Department for Transport|Department for Transport|07/10/2011|Research|Greener Transport & International|NETFUNDI LTD|2000013706|561.41|september 2011|LA1 1SQ
Department for Transport|Department for Transport|07/10/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000013707|4759.2|03 - 30.09.2011|NN6 9DS
Department for Transport|Department for Transport|07/10/2011|Subsidies to Private Sector|Roads|D B SHENKER RAIL (UK) LIMITED|2000013708|9808.48|MSRS Audit Claim for 10/11|DN4 5PN
Department for Transport|Department for Transport|07/10/2011|Subsidies to Private Sector|Roads|D B SHENKER RAIL (UK) LIMITED|2000013708|14308.97|MSRS(B) PD4 2011/12 MB02 DB Schenker - Aggregates|DN4 5PN
Department for Transport|Department for Transport|07/10/2011|Subsidies to Private Sector|Roads|D B SHENKER RAIL (UK) LIMITED|2000013708|28293.59|MSRS(B) PD4 2011/12 MB01 DB Schenker - Auto|DN4 5PN
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Grant Payments|Rail Commercial Contracts|MERSEYTRAVEL|2000013709|1357140.13|1207 Wk3 PTE SUBSIDY 2011-12 INDEXATION_PD1207 - M|L3 2AN
Department for Transport|Department for Transport|07/10/2011|PTOC - Other PTE Costs|Rail Commercial Contracts|NEXUS (TYNE & WEAR)|2000013710|17833.57|1207 Wk3 ADMIN GRANT INCL. INDEXATION_PD1207 - Nex|NE1 4AX
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Grant Payments|Rail Commercial Contracts|NEXUS (TYNE & WEAR)|2000013710|370129.13|1207 Wk3 PTE SUBSIDY 2011-12 INDEXATION_PD1207 - N|NE1 4AX
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Cost Of Servs Charges|Rail Commercial Contracts|SOUTH YORKSHIRE PTE|2000013711|85993.29|1207 Wk3 ADMIN GRANT INCL. INDEXATION_PD1207 - Sou|S2 5YT
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Grant Payments|Rail Commercial Contracts|SOUTH YORKSHIRE PTE|2000013711|2374995.22|1207 Wk3 PTE SUBSIDY 2011-12 INDEXATION_PD1207 - S|S2 5YT
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Cost Of Servs Charges|Rail Commercial Contracts|GREATER MANCHESTER PTA|2000013712|104573.81|1207 Wk3 ADMIN GRANT INCL. INDEXATION_PD1207 - Tra|M1 3BG
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Grant Payments|Rail Commercial Contracts|GREATER MANCHESTER PTA|2000013712|6261351.05|1207 Wk3 PTE SUBSIDY 2011-12 INDEXATION_PD1207 - T|M1 3BG
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Cost Of Servs Charges|Rail Commercial Contracts|WEST YORKSHIRE PTA|2000013713|62650.92|1207 Wk3 ADMIN GRANT INCL. INDEXATION_PD1207 - Wes|LS1 2DE
Department for Transport|Department for Transport|07/10/2011|PTOC - PTE Grant Payments|Rail Commercial Contracts|WEST YORKSHIRE PTA|2000013713|5706157.36|1207 Wk3 PTE SUBSIDY 2011-12 INDEXATION_PD1207 - W|LS1 2DE
Department for Transport|Department for Transport|07/10/2011|Transport Consultancy|Local|ALPINE RESOURCING LTD|2000013714|1599.98|Consultant|EC4A 2A
Department for Transport|Department for Transport|07/10/2011|Electricity|Marine Accident Investigation Branch|SKANDIA LIFE BUSINESS SERVICES LTD|2000013715|155.51||SO14 7AY
Department for Transport|Department for Transport|07/10/2011|Building Insurance|Marine Accident Investigation Branch|SKANDIA LIFE BUSINESS SERVICES LTD|2000013715|660.72||SO14 7AY
Department for Transport|Department for Transport|07/10/2011|Building Service Charges|Marine Accident Investigation Branch|SKANDIA LIFE BUSINESS SERVICES LTD|2000013715|55540.93||SO14 7AY
Department for Transport|Department for Transport|07/10/2011|Rent - L&B (non-PFI)|Marine Accident Investigation Branch|SKANDIA LIFE BUSINESS SERVICES LTD|2000013715|138370.28||SO14 7AY
Department for Transport|Department for Transport|07/10/2011|Support Services|Aviation|CORNWALL AIRPORT LTD|2000013716|29137.5|LARS Charge Quarter 2 July - September|TR8 4RQ
Department for Transport|Department for Transport|07/10/2011|Services provided by OGDs|Commercial & Technical Services|CABINET OFFICE|2000013717|10890|April-June11 High Risk Review|FY5 3TA
Department for Transport|Department for Transport|07/10/2011|Subsidies to Private Sector|Roads|W H MALCOLM LTD|2000013720|2113.25|MSRS (I) PERIOD 3 fy 2011/12  CONTRACT REF MI07|PA3 3BU
Department for Transport|Department for Transport|07/10/2011|Subsidies to Private Sector|Roads|W H MALCOLM LTD|2000013720|4066.00|MSRS (I) PERIOD 4 fy 2011/12  CONTRACT REF MI07|PA3 3BU
Department for Transport|Department for Transport|07/10/2011|Subsidies to Private Sector|Roads|W H MALCOLM LTD|2000013720|5804.75|MSRS (I) PERIOD 5 fy 2011/12  CONTRACT REF MI07|PA3 3BU
Department for Transport|Department for Transport|10/10/2011|Telephone Line Rental|Rail Accident Investigation Branch|BT PLC|2000013832|549.28|The Wharf Switchboard Line Rental|NE82 6AA
Department for Transport|Department for Transport|10/10/2011|Support Services|Aviation|BOURNEMOUTH INTERNATIONAL AIRPORT|2000013833|29137.5|lars 2011/12 qtr 2|BH23 6SE
Department for Transport|Department for Transport|10/10/2011|Training|Business Transformation|COMPUTACENTER (UK) LTD|2000013834|1082.4|M6294 Planning/Managing Windows (PO)|AL10 9TW
Department for Transport|Department for Transport|10/10/2011|Secondments|Analysis/Science|DEPARTMENT FOR ENVIRONMENT|2000013836|644.07||YO1 7PX
Department for Transport|Department for Transport|10/10/2011|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000013838|743.4|GA Station 2 to 20 Sep11|LS11 5DR
Department for Transport|Department for Transport|10/10/2011|Legal Consultancy|Rail Commercial Contracts|EVERSHEDS LLP|2000013838|2371.2|Stagecoach Prof Fees 25 July-2 Sept 2011|LS11 5DR
Department for Transport|Department for Transport|10/10/2011|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000013838|14553|Eversheds Legal Advice Greater Anglia|LS11 5DR
Department for Transport|Department for Transport|10/10/2011|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000013838|29163.6|Legal advice GA|LS11 5DR
Department for Transport|Department for Transport|10/10/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000013843|1189.8|QMP building consultancy 2011-12|NN6 9DS
Department for Transport|Department for Transport|10/10/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000013843|3252.12|QMP building consultancy 2011-12|NN6 9DS
Department for Transport|Department for Transport|10/10/2011|Traffic Survey & Counting Equipment|Roads|TRAFFICMASTER PLC|2000013844|70791.68|Trafficmaster congestion data - SRF4|MK43 0TR
Department for Transport|Department for Transport|10/10/2011|EU Capital Grants to NDPBs|Greener Transport & International|DEPT FOR REGIONAL DEVELOPMENT|2000013845|241447.01|EasyWay-2007-EU-50010-P - Final Payment|BT2 8GB
Department for Transport|Department for Transport|10/10/2011|EU Capital Grants to NDPBs|Greener Transport & International|DEPT FOR REGIONAL DEVELOPMENT|2000013845|2973898.39|2007-UK-13010-P,PRIORITY PROJECT 13: FINAL PAYMEN|BT2 8GB
Department for Transport|Department for Transport|10/10/2011|EU Capital Grants to NDPBs|Greener Transport & International|WELSH ASSEMBLY GOVERNMENT|2000013846|1290309.19|EasyWay-2007-EU-50010-P - Final Payment|CF48 1UZ
Department for Transport|Department for Transport|10/10/2011|Curr Grant to Priv Sect-Persons & NPISH|Rail|ASSOC OF COMMUNITY RAIL PARTNER|2000013847|83000.00|3rd instalment of grant 11/12|HD7 5AB
Department for Transport|Department for Transport|10/10/2011|Travel Expenses Overseas|Centrally held prog|CAPITA BUSINESS TRAVEL|2000013848|11344.9|Capita AAIB September 2011|DE21 6BF
Department for Transport|Department for Transport|10/10/2011|Travel Expenses Overseas|Centrally held prog|CAPITA BUSINESS TRAVEL|2000013848|23841.22|Capita INE Septemeber 2011|DE21 6BF
Department for Transport|Department for Transport|10/10/2011|Security|General Counsel's Office|MINISTRY OF DEFENCE|2000013849|1741.1||L2 3YL
Department for Transport|Department for Transport|10/10/2011|Rates|Domestic DG's Office|RAILWAYS PENSION MANAGEMENT LT|2000013850|167630.16|Invoice IR039129 30.09.2011|DL3 6EH
Department for Transport|Department for Transport|10/10/2011|Services provided by OGDs|Group HR|CABINET OFFICE|2000013851|229607|Civil Service HR Expert Services - NGHR PolicyCost|FY5 3TA
Department for Transport|Department for Transport|10/10/2011|Capital Grant to Priv Sector - Companies|Greener Transport & International|THE COLT CAR COMPANY LTD|2000013852|35000.00|PiCG Mitsubishi May 2011 #35k|GL7 1LF
Department for Transport|Department for Transport|10/10/2011|Capital Grant to Priv Sector - Companies|Greener Transport & International|CITROEN AUTOMOBILES UK LTD|2000013853|5000.00|PiCG Citroen July 2011 #5k|CV3 1ND
Department for Transport|Department for Transport|10/10/2011|PTOC - Basic Franchise Pay|Rail Commercial Contracts|FIRST HULL TRAINS COMPANY LIMITED|2000013854|85844|Sttlmnt of Clm Rltng to Rlse of Class 222 to EMT|HU1 3UT
Department for Transport|Department for Transport|10/10/2011|Property Consultancy|Maritime|FAITHFUL & GOULD LTD|2000013855|8011|IMO Managing Agent|CF24 0AD
Department for Transport|Department for Transport|10/10/2011|Services provided by OGDs|Group HR|DEPARTMENT FOR WORK & PENSIONS|2000013856|37567.2|september 2011|FY5 3TA
Department for Transport|Department for Transport|10/10/2011|Car Hire and Leasing|Permanent Secretary|GOVERNMENT CAR & DESPATCH AGENCY|2000013857|6410.5|Blanket order with GCDA for SofS October 2011|SW8 5AX
