DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|British Transport Police |04/06/2010|BUILDING RENTAL|NE Area Command|BRUNTWOOD 2000 ALPHA PORTFOLIO LTD|212406|43326.5
Department for Transport|British Transport Police |04/06/2010|SERVICE CHARGES|NE Area Command|BRUNTWOOD 2000 ALPHA PORTFOLIO LTD|212406|2858.49
Department for Transport|British Transport Police |04/06/2010|SERVICE CHARGES|NE Area Command|BRUNTWOOD 2000 ALPHA PORTFOLIO LTD|212406|12811.64
Department for Transport|British Transport Police |04/06/2010|BUILDING RENTAL|NW Area Command|BRUNTWOOD 2000 ALPHA PORTFOLIO LTD|212633|20627.5
Department for Transport|British Transport Police |04/06/2010|PARKING SPACE RENTAL|NW Area Command|BRUNTWOOD 2000 ALPHA PORTFOLIO LTD|212633|687.5
Department for Transport|British Transport Police |04/06/2010|SERVICE CHARGES|NW Area Command|BRUNTWOOD 2000 ALPHA PORTFOLIO LTD|212633|6637.91
Department for Transport|British Transport Police |04/06/2010|BUILDING RENTAL|FIN ESTATES|CORPORATION OF LONDON|212713|51427.13
Department for Transport|British Transport Police |04/06/2010|BUILDING RENTAL|CRIME S.O.C.O|LAMBERT SMITH HAMPTON|212165|68150
Department for Transport|British Transport Police |04/06/2010|SERVICE CHARGES|CRIME S.O.C.O|LAMBERT SMITH HAMPTON|212165|837.19
Department for Transport|British Transport Police |04/06/2010|IT SOFTWARE PURCH (NONCAP)|TECHNOLOGY GROUP|MICROSOFT IRELAND OPERATIONS LTD|207877|2589.12
Department for Transport|British Transport Police |04/06/2010|IT SOFTWARE PURCH (NONCAP)|TECHNOLOGY GROUP|MICROSOFT IRELAND OPERATIONS LTD|207877|8647.64
Department for Transport|British Transport Police |04/06/2010|IT SOFTWARE PURCH (NONCAP)|TECHNOLOGY GROUP|MICROSOFT IRELAND OPERATIONS LTD|207877|23809
Department for Transport|British Transport Police |04/06/2010|IT SOFTWARE PURCH (NONCAP)|TECHNOLOGY GROUP|MICROSOFT IRELAND OPERATIONS LTD|207877|241512
Department for Transport|British Transport Police |04/06/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|212853|466636.03
Department for Transport|British Transport Police |04/06/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|212854|2008972.96
Department for Transport|British Transport Police |04/06/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|212855|416712.96
Department for Transport|British Transport Police |04/06/2010|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Software Box Ltd|212870|78750
Department for Transport|British Transport Police |10/06/2010|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|BT REDCARE|194964|57170
