DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Group Communication|MICHAEL PAGE INTERNATIONAL|2000023503|2399.9|#|SL1 3SA
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Group Communication|MICHAEL PAGE INTERNATIONAL|2000023503|1499.94|#|SL1 3SA
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023503|1944|#|SL1 3SA
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023503|1728|#|SL1 3SA
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Local|EXPERIS LTD|2000023497|3115.73|#|EC1R 3DR
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Strategic Roads & Smart Ticketing|EXPERIS LTD|2000023497|9374.76|#|EC1R 3DR
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Rail Franchising|MICHAEL PAGE INTERNATIONAL|2000023503|666.6|#|SL1 3SA
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Rail Franchising|EXPERIS LTD|2000023497|17882.88|#|EC1R 3DR
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Rail Franchising|EXPERIS LTD|2000023497|4470.72|#|EC1R 3DR
Department for Transport|Department for Transport|03/02/2014|Agency Staff Costs|Rail Franchising|MICHAEL PAGE INTERNATIONAL|2000023503|3333|#|SL1 3SA
Department for Transport|Department for Transport|03/02/2014|Cap Grt Pri Sec-Cos.|Rail Strategy & Funding|NETWORK RAIL INFRASTUCTURE LTD|2000023505|268631822.2|Period Network Rail Grant - 12th Payment|N1 9AG
Department for Transport|Department for Transport|03/02/2014|Car Hire and Leasing|Motoring Services|LEX AUTOLEASE LTD|2000023491|673.68|#|BL9 8RT
Department for Transport|Department for Transport|03/02/2014|Financial Consultanc|Group Procurement & Estate|PRGX UK LIMITED|2000023507|1221.6|#|LU1 3LU
Department for Transport|Department for Transport|03/02/2014|Financial Consultanc|Group Procurement & Estate|PRGX UK LIMITED|2000023507|2040|#|LU1 3LU
Department for Transport|Department for Transport|03/02/2014|Infrastructure Maint|Motoring Services|IBM UNITED KINGDOM LTD|2000023490|201299.4|#|PO6 3AE
Department for Transport|Department for Transport|03/02/2014|Legal Consultancy|Group Human Resource|TREASURY SOLICITOR|2000023512|5208.12|#|WC2B 4TS
Department for Transport|Department for Transport|03/02/2014|Legal Consultancy|Centrally held prog-NATs|ALLEN & OVERY|2000023504|11208.6|#|E1 6AO
Department for Transport|Department for Transport|03/02/2014|Legal Consultancy|Strategic Roads & Smart Ticketing|DLA PIPER UK LLP|2000023495|1715.16|#|M2 3DL
Department for Transport|Department for Transport|03/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023501|480|#|BS24 9BP
Department for Transport|Department for Transport|03/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023501|1815|#|BS24 9BP
Department for Transport|Department for Transport|03/02/2014|OffEquip (Non-Cap)|Group Communication|Probrand Ltd|2000023492|737.36|Panasonic - PT-VW340 projector|B1 3BP
Department for Transport|Department for Transport|03/02/2014|Printing|Policy, Legislation and Funding|WILLIAMS LEA LIMITED|2000023508|8618.8|#|NR3 1PD
Department for Transport|Department for Transport|03/02/2014|Printing|Policy, Legislation and Funding|WILLIAMS LEA LIMITED|2000023508|10367.5|#|NR3 1PD
Department for Transport|Department for Transport|03/02/2014|Prog&ProjMgmt Consul|Strategic Roads & Smart Ticketing|Rail Settlement Plan|2000023500|123342|#|EC1A 4HD
Department for Transport|Department for Transport|03/02/2014|Publicity|Group Communication|ABBOTT MEAD VICKERS BBDO LTD|2000023493|23800|#|NW1 5QE
Department for Transport|Department for Transport|03/02/2014|Publicity|Group Communication|TNS UK LTD|2000023502|15600|#|W5 1UA
Department for Transport|Department for Transport|03/02/2014|Research|Transport Security Strategy|PUBLIC HEALTH ENGLAND (PHE)|2000023498|14300|#|SP4 0JG
Department for Transport|Department for Transport|03/02/2014|Research|Aviation|CIVIL AVIATION AUTHORITY|2000023494|11301.65|#|RH10 0YR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Communication|NETWORKERS INTERNATIONAL (UK) PLC|2000023581|1013.52|#|BR1 1HP
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Procurement & Estate|NETWORKERS INTERNATIONAL (UK) PLC|2000023581|6789.98|#|BR1 1HP
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Human Resource|HAYS PERSONNEL SERVICE LTD|2000023566|5352|#|KT3 4JQ
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023578|3210|#|SL1 3SA
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023578|4080|#|SL1 3SA
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000023581|3393.6|#|BR1 1HP
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Major Projects & Growth|SPRING TECHNOLOGY LTD  ALSO T/A|2000023582|1320|#|B37 7YE
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Major Projects & Growth|EXPERIS LTD|2000023570|12080.04|#|EC1R 3DR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|NETWORKERS INTERNATIONAL (UK) PLC|2000023581|4182.54|#|BR1 1HP
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|CAPITA RESOURCING LTD|2000023579|14289.6|#|DL1 9HN
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|EXPERIS LTD|2000023570|2249.94|#|EC1R 3DR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000023579|4026|#|DL1 9HN
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Strategy & Funding|EXPERIS LTD|2000023570|4766.76|#|EC1R 3DR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000023581|861|#|BR1 1HP
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Group Finance|EXPERIS LTD|2000023570|7700.64|#|EC1R 3DR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000023579|16524|#|DL1 9HN
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000023579|4200|#|DL1 9HN
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000023579|7461.07|#|DL1 9HN
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Franchising|EXPERIS LTD|2000023570|1788.29|#|EC1R 3DR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Franchising|EXPERIS LTD|2000023570|11053.44|#|EC1R 3DR
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|MICHAEL PAGE INTERNATIONAL|2000023578|2220|#|SL1 3SA
Department for Transport|Department for Transport|04/02/2014|Agency Staff Costs|Rail Franchising|NETWORKERS INTERNATIONAL (UK) PLC|2000023581|1767.84|#|BR1 1HP
Department for Transport|Department for Transport|04/02/2014|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000023587|1303.52|#|DE24 8AN
Department for Transport|Department for Transport|04/02/2014|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000023587|1303.52|#|DE24 8AN
Department for Transport|Department for Transport|04/02/2014|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000023587|1303.52|#|DE24 8AN
Department for Transport|Department for Transport|04/02/2014|CurrGrt Las in AEF/A|Motoring, Freight & London|GREATER LONDON AUTHORITY|2000023593|76479000|GLA Grant Payment - No 23|SE1 2UT
Department for Transport|Department for Transport|04/02/2014|Data Supply - TD|Transport Direct&Travel|LANDMARK INFORMATION GROUP LTD|2000023572|3420|#|EX2 7HY
Department for Transport|Department for Transport|04/02/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF Caisse Generale|2000023524|4959817.14|SNCF CAISSE GENERALE|93633
Department for Transport|Department for Transport|04/02/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF TRESORERIE ENC RHT VFE|2000023525|5231945.49|SNCF Tresorerie ENC RHY VFE|75014
Department for Transport|Department for Transport|04/02/2014|Financial Consultanc|Group Procurement & Estate|PRGX UK LIMITED|2000023586|8176.8|#|LU1 3LU
Department for Transport|Department for Transport|04/02/2014|Legal Consultancy|Major Projects & Growth|FRESHFIELDS|2000023580|642|#|EC4Y 1HS
Department for Transport|Department for Transport|04/02/2014|Research|Energy, Technology and International|OVE ARUP & PARTNERS|2000023574|74542.06|#|NE1 3PL
Department for Transport|Department for Transport|04/02/2014|Services prov by OGD|Transport Security Strategy|DEFENCE BUSINESS SERVICES|2000023588|2502.38|#|YO10 4AS
Department for Transport|Department for Transport|04/02/2014|Small Software|Marine Accident Investigation Branch|ESRI (UK) LIMITED|2000023571|1312.5|#|HP21 7QG
Department for Transport|Department for Transport|04/02/2014|Subscriptions to Pro|Energy, Technology and International|EURO NCAP|2000023596|119959.5|#|1050
Department for Transport|Department for Transport|04/02/2014|Subscriptions to Pro|Analysis & Strategy|H M TREASURY|2000023594|1890|#|SW1A 2HQ
Department for Transport|Department for Transport|04/02/2014|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000023569|65012.88|#|RH10 0YR
Department for Transport|Department for Transport|04/02/2014|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000023569|62282.93|#|RH10 0YR
Department for Transport|Department for Transport|04/02/2014|Support Services|Motoring, Freight & London|Environmental Scientifics Group|2000023567|5133.6|#|OX9 3SZ
Department for Transport|Department for Transport|04/02/2014|Support Services|Aviation|xxxxxx|2000023573|877.8|#|xxxxxx
Department for Transport|Department for Transport|04/02/2014|Support Services|Motoring, Freight & London|DEPARTMENT OF ENERGY&CLIMATE CHANGE|2000023583|1805.57|#|SW1A 2HD
Department for Transport|Department for Transport|04/02/2014|Training|Marine Accident Investigation Branch|CONSILIUM MARINE & SAFETY AB|2000023597|833.33|#|402 76
Department for Transport|Department for Transport|04/02/2014|Transport  Consult|Rail Strategy & Funding|STEER DAVIES & GLEAVE LTD|2000023575|15697.4|#|SE1 9PD
Department for Transport|Department for Transport|05/02/2014|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000023695|762.48|#|B37 7YE
Department for Transport|Department for Transport|05/02/2014|Agency Staff Costs|Rail Director's Office|EXPERIS LTD|2000023682|3851.7|#|EC1R 3DR
Department for Transport|Department for Transport|05/02/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000023690|11700|#|SW19 3RU
Department for Transport|Department for Transport|05/02/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000023690|-11700|#|SW19 3RU
Department for Transport|Department for Transport|05/02/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000023690|12480|#|SW19 3RU
Department for Transport|Department for Transport|05/02/2014|Agency Staff Costs|Rail Franchising|EXPERIS LTD|2000023682|10729.73|#|EC1R 3DR
Department for Transport|Department for Transport|05/02/2014|Data Supply - TD|Transport Direct&Travel|BASEMAP LIMITED|2000023704|2848.99|#|GU2 7YG
Department for Transport|Department for Transport|05/02/2014|Data Supply - TD|Transport Direct&Travel|INRIX MEDIA LTD|2000023694|18499.2|#|WA14 1EP
Department for Transport|Department for Transport|05/02/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL|2000023643|4358754.3|PYMT FOR OPEX AND USAGE CHARGE JAN 14|CT18 8XY
Department for Transport|Department for Transport|05/02/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL (EURO PAYMENTS)|2000023618|4709538.95|#|CT18 8X
Department for Transport|Department for Transport|05/02/2014|Investigation Servic|Motoring Services|xxxxxx|2000023700|2429.1|#|xxxxxx
Department for Transport|Department for Transport|05/02/2014|Investigation Servic|Motoring Services|xxxxxx|2000023700|1990.8|#|xxxxxx
Department for Transport|Department for Transport|05/02/2014|Investigation Servic|Motoring Services|xxxxxx|2000023700|3071.48|#|xxxxxx
Department for Transport|Department for Transport|05/02/2014|Investigation Servic|Motoring Services|xxxxxx|2000023700|3070.68|#|xxxxxx
Department for Transport|Department for Transport|05/02/2014|IT Ser Running Costs|Motoring Services|SOFTWARE BOX LTD|2000023688|7030.8|#|YO61 1ET
Department for Transport|Department for Transport|05/02/2014|IT Ser Running Costs|Motoring Services|SELEX ES LTD|2000023702|12280.8|#|BS16 1EJ
Department for Transport|Department for Transport|05/02/2014|Legal Consultancy|Major Projects & Growth|DLA PIPER UK LLP|2000023681|20859.72|#|M2 3DL
Department for Transport|Department for Transport|05/02/2014|Management Consultan|General Counsel's Office|Crawford & Co Adjusters (UK) Ltd|2000023709|17401.2|#|B2 2PF
Department for Transport|Department for Transport|05/02/2014|Manual Handling Equi|Motoring Services|Gemco Services Limited|2000023708|585|#|HX2 6JB
Department for Transport|Department for Transport|05/02/2014|OffEquip (Non-Cap)|Group Communication|MISCO|2000023687|2214.97|Samsung UE55F6800SBXXU 55 LED TV|NN8 6GS
Department for Transport|Department for Transport|05/02/2014|Other Advertising|Policy, Legislation and Funding|PENNA COMMUNICATIONS|2000023698|294600.81|#|EC4M 7RD
Department for Transport|Department for Transport|05/02/2014|Property Maintenance|Rail Accident Investigation Branch|INTERSERVE|2000023701|751.27|#|BS32 4NH
Department for Transport|Department for Transport|05/02/2014|Recruitment Fees|Group Human Resource|GATENBY SANDERSON LTD|2000023699|20970|#|LS1 2HL
Department for Transport|Department for Transport|05/02/2014|Research|Major Projects & Growth|ATKINS LTD (TRANSPORT PLANNING)|2000023679|6855.85|#|WR5 1TX
Department for Transport|Department for Transport|05/02/2014|Schedule 8 Fixed Per|Rail Commercial & Programme Office|ARRIVA TRAINS WALES|2000023693|794874.33|1411 Wk4 CP2SR P1410 - ARRIVA TRAINS WALES LIMITED|CF10 5DJ
Department for Transport|Department for Transport|05/02/2014|Schedule 8 Fixed Per|Rail Commercial & Programme Office|ARRIVA TRAINS WALES|2000023693|-94717.05|1411 Wk4 RTMRE P1410 - ARRIVA TRAINS WALES LIMITED|CF10 5DJ
Department for Transport|Department for Transport|05/02/2014|Schedule 8 Fixed Per|Rail Commercial & Programme Office|ARRIVA TRAINS WALES|2000023693|45336.57|1411 Wk4 TS8A P1410 - ARRIVA TRAINS WALES LIMITED|CF10 5DJ
Department for Transport|Department for Transport|05/02/2014|Small Software|Group Procurement & Estate|BIP SOLUTIONS LTD|2000023691|800|BIP Delta E notice software licences|G51 1DZ
Department for Transport|Department for Transport|05/02/2014|Small Software|Motoring Services|INSIGHT DIRECT (UK) LTD|2000023678|12401.86|#|UB8 1PH
Department for Transport|Department for Transport|05/02/2014|Small Software|Energy, Technology and International|LEXISNEXIS UK|2000023686|3517.2|#|SM2 5AS
Department for Transport|Department for Transport|05/02/2014|Small Software|Energy, Technology and International|LEXISNEXIS UK|2000023686|-3094.91|#|SM2 5AS
Department for Transport|Department for Transport|05/02/2014|Small Software|Energy, Technology and International|LEXISNEXIS UK|2000023686|9558|#|SM2 5AS
Department for Transport|Department for Transport|05/02/2014|Subscriptions to Pro|Group Human Resource|INSTITUTE FOR EMPLOYMENT STUDIES|2000023705|10200|#|BN1 1UJ
Department for Transport|Department for Transport|05/02/2014|Subscriptions to Pro|General Counsel's Office|TREASURY SOLICITOR|2000023673|54123.26|#|WC2B 4TS
Department for Transport|Department for Transport|05/02/2014|Support Services|Air Accident Investigation Branch|ITS TESTING SERVICES (UK) LTD|2000023684|2190|#|RM20 3NL
Department for Transport|Department for Transport|05/02/2014|Support Services|Air Accident Investigation Branch|T N T INTERNATIONAL|2000023689|1224|#|BL0 9GR
Department for Transport|Department for Transport|05/02/2014|Support Services|Motoring, Freight & London|HIGHWAYS AGENCY|2000023674|4073.74|#|B1 1RN
Department for Transport|Department for Transport|05/02/2014|Telephone Line Rent|Motoring Services|COLT TELECOMMUNICATIONS|2000023680|3825|Colt Data Services|EC3A 7QN
Department for Transport|Department for Transport|05/02/2014|Transport  Consult|Major Projects & Growth|ATKINS LTD (TRANSPORT PLANNING)|2000023679|588.78|#|WR5 1TX
Department for Transport|Department for Transport|05/02/2014|Transport  Consult|Major Projects & Growth|ATKINS LTD (TRANSPORT PLANNING)|2000023679|4883.06|#|WR5 1TX
Department for Transport|Department for Transport|05/02/2014|Transport  Consult|Rail Franchising|GRANT THORNTON UK LLP|2000023692|21645.19|#|NN4 7YE
Department for Transport|Department for Transport|05/02/2014|Transport  Consult|Rail Franchising|Leighfisher Ltd|2000023696|17893.54|#|WC2N 4HG
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000023771|4036.38|#|BN11 2BW
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000023771|4036.38|#|BN11 2BW
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023784|2304|#|SL1 3SA
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023784|4080|#|SL1 3SA
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Rail Director's Office|EXPERIS LTD|2000023774|6933.06|#|EC1R 3DR
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|2000023787|3182.4|#|B37 7YE
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000023771|2463.84|#|BN11 2BW
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Rail Franchising|MICHAEL PAGE INTERNATIONAL|2000023784|666.6|#|SL1 3SA
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000023785|6480|#|SW19 3RU
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Rail Franchising|MICHAEL PAGE INTERNATIONAL|2000023784|3333|#|SL1 3SA
Department for Transport|Department for Transport|06/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|MICHAEL PAGE INTERNATIONAL|2000023784|1776|#|SL1 3SA
Department for Transport|Department for Transport|06/02/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|TOYOTA (GB) PLC|2000023791|110000|PiCG Toyota Dec 2013 #110k|KT18 5XS
