DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE
Department for Transport|Department for Transport|02/01/2014|Agency Staff Costs|Centrally held prog|LA INTERNATIONAL COMPUTER|2000021064|2099.16|#|ST1 5UB
Department for Transport|Department for Transport|02/01/2014|Agency Staff Costs|DASH|ADVANTAGE RESOURCING UK LTD|2000021068|2160|#|RG21 4FF
Department for Transport|Department for Transport|02/01/2014|Agency Staff Costs|DASH|ADVANTAGE RESOURCING UK LTD|2000021068|4320|#|RG21 4FF
Department for Transport|Department for Transport|02/01/2014|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000021066|666.6|#|SL1 3SA
Department for Transport|Department for Transport|02/01/2014|Eurocontrol Contr|Aviation|EUROCONTROL|2000021071|10250207.22|Q1/2014/001|1130
Department for Transport|Department for Transport|02/01/2014|Small Software|Greener Transport & International|POD POINT LTD|2000021067|5400|#|EC1V 4PY
Department for Transport|Department for Transport|02/01/2014|Support Services|Greener Transport & International|VCA Headquarters|2000021062|533.62|#|BS5 6XX
Department for Transport|Department for Transport|02/01/2014|Support Services|General Counsel's Office|Boyes Turner LLP|2000021070|60000|LXF/NSC/JN/68150/1|RG1 3BD
Department for Transport|Department for Transport|02/01/2014|Support Services|General Counsel's Office|Irwin Mitchell|2000021069|35334|PH/SMW/NMS/10133191-0001|S3 8DT
Department for Transport|Department for Transport|02/01/2014|Transport  Consult|Refran Prog Off|PRICEWATERHOUSECOOPERS LLP|2000021065|19336.8|#|E14 9SQ
Department for Transport|Department for Transport|02/01/2014|Transport  Consult|Refran Prog Off|PRICEWATERHOUSECOOPERS LLP|2000021065|25480.8|#|E14 9SQ
Department for Transport|Department for Transport|03/01/2014|Agency Staff Costs|MPL Director's Office|EXPERIS LTD|2000021110|3851.7|#|EC1R 3DR
Department for Transport|Department for Transport|03/01/2014|Agency Staff Costs|Rail and Road Projects|BADENOCH & CLARK|2000021108|2779.92|#|EC4V 4BG
Department for Transport|Department for Transport|03/01/2014|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000021110|2892.78|#|EC1R 3DR
Department for Transport|Department for Transport|03/01/2014|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF Caisse Generale|2000021104|5360870.18|MPL SNCF DEC 13|93633
Department for Transport|Department for Transport|03/01/2014|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF TRESORERIE ENC RHT VFE|2000021105|5411950.51|MPLSNCFEURODEC13|75014
Department for Transport|Department for Transport|03/01/2014|Financial Consultanc|Group Finance|GOVERNMENT ACTUARY'S DEPARTMENT|2000021121|36128.7|#|EC4A 1AB
Department for Transport|Department for Transport|03/01/2014|Legal Consultancy|Rail and Road Projects|HOGAN LOVELLS|2000021119|105326.4|#|EC1A 2FG
Department for Transport|Department for Transport|03/01/2014|Legal Consultancy|Rail and Road Projects|HOGAN LOVELLS|2000021119|63483.24|#|EC1A 2FG
Department for Transport|Department for Transport|03/01/2014|Legal Consultancy|Transport Security|PHELPS DUNBAR LLP|2000021106|14993.68|#|70130
Department for Transport|Department for Transport|03/01/2014|Prog&ProjMgmt Consul|DASH|PARSONS BRINCKERHOFF LTD|2000021111|2092.59|#|NE4 7YQ
Department for Transport|Department for Transport|03/01/2014|Prog&ProjMgmt Consul|DASH|PARSONS BRINCKERHOFF LTD|2000021111|99688.78|#|NE4 7YQ
Department for Transport|Department for Transport|03/01/2014|Research|Roads|WSP UK LTD T/A|2000021113|47155.92|#|RG21 4HJ
Department for Transport|Department for Transport|03/01/2014|Research|Commercial & Technical Services|PARSONS BRINCKERHOFF LTD|2000021111|31513.87|#|NE4 7YQ
Department for Transport|Department for Transport|03/01/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000021117|3505.34|#|DL3 6XR
Department for Transport|Department for Transport|03/01/2014|Training|Portfolio Office|THE RAILWAY CONSULTANCY LTD|2000021118|1300|#|SE19 2LT
Department for Transport|Department for Transport|03/01/2014|Transport  Consult|Refran Prog Off|ATKINS LTD (TRANSPORT PLANNING)|2000021107|105656.16|#|WR5 1TX
Department for Transport|Department for Transport|03/01/2014|Transport  Consult|Refran Prog Off|PARSONS BRINCKERHOFF LTD|2000021111|37584.22|#|NE4 7YQ
Department for Transport|Department for Transport|03/01/2014|Transport  Consult|Refran Prog Off|PARSONS BRINCKERHOFF LTD|2000021111|14483.94|#|NE4 7YQ
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Business Transformation|NETWORKERS INTERNATIONAL (UK) PLC|2000021210|1013.52|#|BR1 1HP
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000021191|5352|#|KT3 4JQ
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000021194|3347.7|#|EC4V 4BG
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000021194|3347.7|#|EC4V 4BG
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000021194|4036.38|#|EC4V 4BG
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000021206|6528|#|SL1 3SA
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group HR|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|2970|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Rail and Road Projects|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|1320|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Rail|CAPITA RESOURCING LTD|2000021208|4026|#|DL1 9HN
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Rail|CAPITA RESOURCING LTD|2000021208|4026|#|DL1 9HN
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Rail|EXPERIS LTD|2000021197|4528.43|#|EC1R 3DR
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|626.52|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|1566.3|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|1566.3|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|1566.3|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|SPRING TECHNOLOGY LTD  ALSO T/A|2000021212|1503.65|#|B37 7YE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Strategic Roads|CAPITA RESOURCING LTD|2000021208|7493.81|#|DL1 9HN
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000021208|16236.61|#|DL1 9HN
