DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01.08.2012|P&M Capital Cost|Air Accident Investigation Branch|FULCRUM PIPELINES LTD|2000009086|23517.91|Manual payment - AAIB Gas Pipeline|S9 1XH
Department for Transport|Department for Transport|10.08.2012|Electricity|Air Accident Investigation Branch|MINISTRY OF DEFENCE|2000009592|2248.3|MOD - AAIB - 30.06.12 - 31.07.2012|L2 3YL
Department for Transport|Department for Transport|22.08.2012|Support Services|Air Accident Investigation Branch|HONEYWELL INTERNATIONAL INC|2000010485|2837.15|#|66061
Department for Transport|Department for Transport|07.08.2012|IT Equip Cap Cost|Air Accident Investigation Branch|BASSOM COMPUTER CONSULTANCY|2000009392|10835.17|#|GU9 8LS
Department for Transport|Department for Transport|07.08.2012|P&M Capital Cost|Air Accident Investigation Branch|MANTEC SYSTEMS LTD|2000009384|244717.85|#|NE28 9NZ
Department for Transport|Department for Transport|07.08.2012|Travel Expenses UK|Air Accident Investigation Branch|AVIS RENT A CAR|2000009390|638.1|#|RG12 2EW
Department for Transport|Department for Transport|10.08.2012|Car Hire and Leasing|Air Accident Investigation Branch|ALLSTAR BUSINESS SOLUTIONS LIMITED|2000009571|1326.31|#|SN5 6PS
Department for Transport|Department for Transport|01.08.2012|Minor Purchases|Air Accident Investigation Branch|CAMBERLEY PRINTERS LIMITED|2000009062|921.6|#|GU15 3HQ
Department for Transport|Department for Transport|01.08.2012|Telephone charges|Air Accident Investigation Branch|ALTERNATIVE NETWORKS PLC|2000009081|1048.56|#|SW11 3UL
Department for Transport|Department for Transport|02.08.2012|Property Maintenance|Air Accident Investigation Branch|TEAM Q MAINTENANCE LIMITED|2000009140|8823.1|#|EN8 0NJ
Department for Transport|Department for Transport|02.08.2012|Training|Air Accident Investigation Branch|WHITE WALTHAM AIRFIELD LTD|2000009149|456.41|#|SL6 3NJ
Department for Transport|Department for Transport|03.08.2012|Rates|Air Accident Investigation Branch|VODAFONE LTD|2000009244|1630.07|#|RG14 5FF
Department for Transport|Department for Transport|03.08.2012|Property Maintenance|Air Accident Investigation Branch|TEAM Q MAINTENANCE LIMITED|2000009230|5394.92|#|EN8 0NJ
Department for Transport|Department for Transport|03.08.2012|Property Maintenance|Air Accident Investigation Branch|TEAM Q MAINTENANCE LIMITED|2000009230|1989.51|#|EN8 0NJ
Department for Transport|Department for Transport|03.08.2012|Contract Cleaning|Air Accident Investigation Branch|NETWORK CLEANING SERVICES LTD|2000009237|1790|#|GU51 3XB
Department for Transport|Department for Transport|03.08.2012|Minor Purchases|Air Accident Investigation Branch|TK WATER SYSTEMS|2000009240|720|#|SL5 7NT
Department for Transport|Department for Transport|03.08.2012|Computer equipment|Air Accident Investigation Branch|SOFTWARE BOX LTD|2000009226|1241.09|SOFTWARE BOX E MAIL PROTECTION LICENCE|YO61 1ET
Department for Transport|Department for Transport|03.08.2012|Computer equipment|Air Accident Investigation Branch|Probrand Ltd|2000009228|724.32|#|B1 3BP
Department for Transport|Department for Transport|03.08.2012|Computer equipment|Air Accident Investigation Branch|UNITY AV LTD|2000009251|864|UNITY AV AAIB PROJECTOR CONTROL|RG17 0QU
Department for Transport|Department for Transport|03.08.2012|Telephone charges|Air Accident Investigation Branch|VODAFONE LTD|2000009244|-0.01|#|RG14 5FF
Department for Transport|Department for Transport|03.08.2012|Medical Examinations|Air Accident Investigation Branch|DEFENCE SCIENCE & TECHNOLOGY|2000009234|1077.86|#|PO14 9HL
Department for Transport|Department for Transport|03.08.2012|Training|Air Accident Investigation Branch|ALL TERRAIN SERVICES|2000009257|800|#|SA8 4PR
Department for Transport|Department for Transport|07.08.2012|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000009426|1815.9|#|NR3 1PD
Department for Transport|Department for Transport|07.08.2012|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000009426|2219.62|#|NR3 1PD
Department for Transport|Department for Transport|10.08.2012|Prog&ProjMgmt Consul|Air Accident Investigation Branch|CAPITA SYMONDS LTD|2000009607|18319.2|#|SW1W 0AU
Department for Transport|Department for Transport|13.08.2012|Machinery Rental|Air Accident Investigation Branch|DE LAGE LANDEN LEASING LTD|2000009690|810.8|#|WD18 8EZ
Department for Transport|Department for Transport|13.08.2012|Computer equipment|Air Accident Investigation Branch|Probrand Ltd|2000009670|1267.44|PROBRAND NON ETHOS AAIB PURCHASE|B1 3BP
Department for Transport|Department for Transport|14.08.2012|Computer Consumables|Air Accident Investigation Branch|SUPPLIES TEAM|2000009753|889.79|SUPPLIES TEAM REPLACEMENT TONER FOR AAIB|S9 1XU
Department for Transport|Department for Transport|14.08.2012|Computer Consumables|Air Accident Investigation Branch|SUPPLIES TEAM|2000009753|0.02|#|S9 1XU
Department for Transport|Department for Transport|15.08.2012|Computer Consumables|Air Accident Investigation Branch|SUPPLIES TEAM|100012046|-889.81|#|S9 1XU
Department for Transport|Department for Transport|15.08.2012|Computer Consumables|Air Accident Investigation Branch|SUPPLIES TEAM|100012046|889.81|#|S9 1XU
Department for Transport|Department for Transport|16.08.2012|Computer equipment|Air Accident Investigation Branch|SOFTWARE BOX LTD|2000010188|3722.62|SOFTWARE BOX AAIB NON ETHOS PURCHASES|YO61 1ET
Department for Transport|Department for Transport|16.08.2012|Other Professional F|Air Accident Investigation Branch|EXTRASPACE SOLUTIONS (UK) LTD|2000010215|680426.27|#|BT3 9HY
Department for Transport|Department for Transport|22.08.2012|Telephone charges|Air Accident Investigation Branch|ALTERNATIVE NETWORKS PLC|2000010503|1190.18|#|SW11 3UL
Department for Transport|Department for Transport|29.08.2012|Property Maintenance|Air Accident Investigation Branch|TEAM Q MAINTENANCE LIMITED|2000010894|11747.17|#|EN8 0NJ
Department for Transport|Department for Transport|29.08.2012|Contract Cleaning|Air Accident Investigation Branch|NETWORK CLEANING SERVICES LTD|2000010899|1790|#|GU51 3XB
Department for Transport|Department for Transport|20.08.2012|Computer equipment|Analysis/Science|SPECIALIST COMPUTER CENTRES PLC|2000010358|1049.08|#|B11 2LE
Department for Transport|Department for Transport|31.08.2012|Minor Developments|Analysis/Science|IBM UNITED KINGDOM LTD|2000011047|1604|#|PO6 3AE
Department for Transport|Department for Transport|31.08.2012|Minor Developments|Analysis/Science|IBM UNITED KINGDOM LTD|2000011047|573|#|PO6 3AE
Department for Transport|Department for Transport|03.08.2012|Subscriptions to Pro|Analysis/Science|ASSOCIATION FOR EUROPEAN|2000009249|1964.4|#|W14 0RL
Department for Transport|Department for Transport|03.08.2012|Training|Analysis/Science|VOX COACHING LTD|2000009256|2097|#|BS6 9FY
Department for Transport|Department for Transport|07.08.2012|Transport Consult|Analysis/Science|UCL CONSULTANTS LTD|2000009410|3285.9|#|W1T 4TP
Department for Transport|Department for Transport|16.08.2012|Research|Analysis/Science|LOUGHBOROUGH UNIVERSITY|2000010197|24644|#|LE11 3TU
Department for Transport|Department for Transport|16.08.2012|Research|Analysis/Science|OVE ARUP & PARTNERS|2000010198|45608.63|#|NE1 3PL
Department for Transport|Department for Transport|22.08.2012|Transport Consult|Analysis/Science|CLOCKWORK RESEARCH LTD|2000010490|7182.22|#|W2 1JG
Department for Transport|Department for Transport|23.08.2012|Transport Consult|Analysis/Science|CLOCKWORK RESEARCH LTD|2000010577|7743.41|#|W2 1JG
Department for Transport|Department for Transport|09.08.2012|Curr Grt Other CG Bo|Aviation|EQUALITY AND HUMAN RIGHTS|2000009527|1795.44|GRANT PAYMENT TO EHRC FOR FY 11/12 FINAL PAYMENT V|M4 3AQ
Department for Transport|Department for Transport|14.08.2012|Books|Aviation|LEXISNEXIS UK|2000009763|514.45|LexisNexis (shawcross Beau Air Law)|SM2 5AS
Department for Transport|Department for Transport|24.08.2012|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000010638|78391.46|#|RH10 0YR
Department for Transport|Department for Transport|02.08.2012|Support Services|Aviation|NATIONAL AIR TRAFFIC SERV (ENROUTE)|2000009148|114689|#|EH4 1PU
Department for Transport|Department for Transport|03.08.2012|Support Services|Aviation|NATIONAL AIR TRAFFIC SERV (ENROUTE)|2000009245|114689|#|EH4 1PU
Department for Transport|Department for Transport|07.08.2012|Support Services|Aviation|HUMBERSIDE INT AIRPORT LTD|2000009419|24210.6|#|DN39 6YH
Department for Transport|Department for Transport|14.08.2012|Support Services|Aviation|BOURNEMOUTH INTERNATIONAL AIRPORT|2000009757|29137.5|#|BH23 6SE
Department for Transport|Department for Transport|20.08.2012|Support Services|Aviation|HUMBERSIDE INT AIRPORT LTD|2000010359|24210.6|#|DN39 6YH
Department for Transport|Department for Transport|07.08.2012|Secondments|Aviation|FOREIGN & COMMONWEALTH OFFICE|2000009421|3575.44|#|MK10 1PX
Department for Transport|Department for Transport|29.08.2012|Secondments|Aviation|FOREIGN & COMMONWEALTH OFFICE|2000010909|1789.05|#|MK10 1PX
Department for Transport|Department for Transport|29.08.2012|Secondments|Aviation|FOREIGN & COMMONWEALTH OFFICE|2000010909|1756.46|#|MK10 1PX
Department for Transport|Department for Transport|07.08.2012|Support Services|Aviation|CAA INTERNATIONAL LTD|2000009394|7678|#|RH6 0YR
Department for Transport|Department for Transport|14.08.2012|Support Services|Aviation|CAA INTERNATIONAL LTD|2000009758|23000|#|RH6 0YR
Department for Transport|Department for Transport|15.08.2012|Transport Consult|Aviation|NATIONAL AIR TRAFFIC SERV (ENROUTE)|2000010134|1140|#|EH4 1PU
Department for Transport|Department for Transport|10.08.2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000009575|2310.36|C&W -Rental -01.08 - 31.08.2012|MK3 5JP
Department for Transport|Department for Transport|10.08.2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000009575|59545.72|C&W Call charges 01.04.12-30.06.12|MK3 5JP
Department for Transport|Department for Transport|10.08.2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000009575|2310.36|C&W Call charges 01.07.12-31.07.12|MK3 5JP
Department for Transport|Department for Transport|10.08.2012|Telephone Line Rent|Business Transformation|CABLE & WIRELESS|2000009575|15039.47|C&W - Rental - Aug 2012|MK3 5JP
Department for Transport|Department for Transport|17.08.2012|Telephone charges|Business Transformation|BT CONFERENCING|2000010282|760.73|BT - Joanna Poole, Conferences x 13|NW9 6LB
Department for Transport|Department for Transport|17.08.2012|Telephone charges|Business Transformation|VERIZON BUSINESS|2000010292|10069.44|Verizon - internet charges - July 12|RG2 6DA
Department for Transport|Department for Transport|17.08.2012|Telephone charges|Business Transformation|VERIZON BUSINESS|2000010292|8550.17|Verizon - internet charges - July 12|RG2 6DA
Department for Transport|Department for Transport|17.08.2012|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000010293|788.44|BT Charges for a/c 14441270|DH98 1BT
Department for Transport|Department for Transport|17.08.2012|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000010293|5298.63|BT Charges for a/c 48680270|DH98 1BT
Department for Transport|Department for Transport|17.08.2012|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000010293|4162.9|BT Charges for a/c 77131270|DH98 1BT
Department for Transport|Department for Transport|22.08.2012|Telephone charges|Business Transformation|SIEMENS ENTERPRISE COMMUNICATIONS L|2000010493|1689.3|Siemens Charges April2012|MK15 ODJ
