DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|British Transport Police |06/08/2010|FUEL & LUBRICANTS|FIN VEHICLE FLEET|ARVAL|217961|46646.83
Department for Transport|British Transport Police |06/08/2010|PROCUREMENT CARD HOLDING A/C|London South Command|BARCLAYS HMG PROCUREMENT CARD|218153|39938.06
Department for Transport|British Transport Police |06/08/2010|VEHICLE SERVICING- PLANNED|FIN VEHICLE FLEET|BT FLEET LIMITED|218230|372.96
Department for Transport|British Transport Police |06/08/2010|VEHICLE SERVICING- PLANNED|FIN VEHICLE FLEET|BT FLEET LIMITED|218230|35222.9
Department for Transport|British Transport Police |06/08/2010|P&L ON SALE- OWNED VEHICLES|FIN FINANCE|BT FLEET LIMITED|218230|559.63
Department for Transport|British Transport Police |06/08/2010|HIRE OF ROOMS (EXTERNAL)|LS South Western Quadrant|CROYDON COUNCIL|215051|-26257
Department for Transport|British Transport Police |06/08/2010|BUSINESS RATES|LS South Western Quadrant|CROYDON COUNCIL|215052|26257
Department for Transport|British Transport Police |06/08/2010|TEMPORARY STAFF|London South Command|LONDON UNDERGROUND LTD|218240|185048.62
Department for Transport|British Transport Police |06/08/2010|TEMPORARY STAFF|London South Command|LONDON UNDERGROUND LTD|218241|72960.62
Department for Transport|British Transport Police |06/08/2010|INTANG ASSETS LICENCES - ADD|CAPITAL CONTROL ACCOUNT|NORTHGATE INFORMATION SOLUTIONS LTD|206123|27562.5
Department for Transport|British Transport Police |06/08/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|OAKLAND BUILDING SERVICES LIMITED|207444|45288.2
Department for Transport|British Transport Police |06/08/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|OAKLAND BUILDING SERVICES LIMITED|217986|-45288.2
Department for Transport|British Transport Police |06/08/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|OAKLAND BUILDING SERVICES LIMITED|217987|37318.12
Department for Transport|British Transport Police |06/08/2010|PRIVILEGED TRAVEL|HR POLICY AND STRATEGY|RAIL STAFF TRAVEL LIMITED|217617|56154.14
Department for Transport|British Transport Police |06/08/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|216418|2495.74
Department for Transport|British Transport Police |06/08/2010|RPS EMPLOYEE CONTRIBUTION|FORCE BALANCE SHEET (EXCL.FAR)|Railway Pensions Management Ltd|216418|179442.87
Department for Transport|British Transport Police |06/08/2010|RPS EMPLOYER CONTRIBUTION|FORCE BALANCE SHEET (EXCL.FAR)|Railway Pensions Management Ltd|216418|269245.64
Department for Transport|British Transport Police |06/08/2010|BTPSPF (OLD) EE|FORCE BALANCE SHEET (EXCL.FAR)|Railway Pensions Management Ltd|216417|799263.34
Department for Transport|British Transport Police |06/08/2010|BTPSPF (OLD) ER|FORCE BALANCE SHEET (EXCL.FAR)|Railway Pensions Management Ltd|216417|1198916.1
Department for Transport|British Transport Police |06/08/2010|BTPSPF (NEW) EE|FORCE BALANCE SHEET (EXCL.FAR)|Railway Pensions Management Ltd|216416|140600.79
Department for Transport|British Transport Police |06/08/2010|BTPSPF (NEW) ER|FORCE BALANCE SHEET (EXCL.FAR)|Railway Pensions Management Ltd|216416|281201.58
Department for Transport|British Transport Police |06/08/2010|HIRE OF CONSULTANTS|TECHNOLOGY GROUP|CENTRALIS LTD|215083|25000
Department for Transport|British Transport Police |06/08/2010|BUILDING RENTAL|WW Police Station West Sector|BRB (RESIDUARY) LTD|218052|29400
Department for Transport|British Transport Police |06/08/2010|BUILDING RENTAL|WW Police Station West Sector|BRB (RESIDUARY) LTD|218050|29400
Department for Transport|British Transport Police |06/08/2010|BUILDING RENTAL|WW Police Station West Sector|BRB (RESIDUARY) LTD|218046|29400
Department for Transport|British Transport Police |06/08/2010|BUILDING RENTAL|WW Police Station West Sector|BRB (RESIDUARY) LTD|218040|29400
Department for Transport|British Transport Police |06/08/2010|BUILDING RENTAL|WW Police Station West Sector|BRB (RESIDUARY) LTD|218036|29400
Department for Transport|British Transport Police |13/08/2010|PROCUREMENT CARD HOLDING A/C|FIN FINANCE|BARCLAYS HMG PROCUREMENT CARD|217478|100053.94
Department for Transport|British Transport Police |13/08/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|BRITSPACE MODULAR BUILDING LIMITED|218745|28221.77
Department for Transport|British Transport Police |13/08/2010|VEHICLE OWNED - ADDIT 3 YEARS|CAPITAL CONTROL ACCOUNT|LAND ROVER UK|218691|97.85
Department for Transport|British Transport Police |13/08/2010|VEHICLE OWNED - ADDIT 3 YEARS|CAPITAL CONTROL ACCOUNT|LAND ROVER UK|218691|38983.74
Department for Transport|British Transport Police |13/08/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|OVERBURY PLC|217483|210209.51
Department for Transport|British Transport Police |13/08/2010|TEMPORARY STAFF|CRIME DETECTIVE CH. SUPER.|Reliance Security Services Ltd|216957|24504.92
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|216540|-30000
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|216542|42692.46
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|216541|-30000
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|216543|102272.31
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|216971|100150.94
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|215566|26676.53
Department for Transport|British Transport Police |16/08/2010|TELEPHONE CALLS|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|215777|46579.34
Department for Transport|British Transport Police |16/08/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|218278|26676.53
Department for Transport|British Transport Police |16/08/2010|TELEPHONE CALLS|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|218280|42273.75
Department for Transport|British Transport Police |23/08/2010|INTANG ASSETS SOFTWARE - ADD|CAPITAL CONTROL ACCOUNT|Abm United Kingdom Ltd|216866|4200
Department for Transport|British Transport Police |23/08/2010|INTANG ASSETS SOFTWARE - ADD|CAPITAL CONTROL ACCOUNT|Abm United Kingdom Ltd|216866|6300
Department for Transport|British Transport Police |23/08/2010|INTANG ASSETS SOFTWARE - ADD|CAPITAL CONTROL ACCOUNT|Abm United Kingdom Ltd|216866|19600
Department for Transport|British Transport Police |23/08/2010|FUEL & LUBRICANTS|FIN VEHICLE FLEET|ARVAL|219122|41828.35
Department for Transport|British Transport Police |23/08/2010|PLANNED MTCE- BUILD (NONCAP)|FIN ESTATES|Four Seasons Control Ltd|219020|42639.9
Department for Transport|British Transport Police |23/08/2010|SOLICITORS FEES|CRIME DETECTIVE CH. SUPER.|MARIEL IRVINE SOLICITORS|218150|14366
Department for Transport|British Transport Police |23/08/2010|SOLICITORS FEES|CRIME DETECTIVE CH. SUPER.|MARIEL IRVINE SOLICITORS|218150|23746.5
Department for Transport|British Transport Police |23/08/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|NORTHGATE INFORMATION SOLUTIONS LTD|218813|24875
Department for Transport|British Transport Police |23/08/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|OVERBURY PLC|219223|301251.23
Department for Transport|British Transport Police |23/08/2010|BUILDING RENTAL|LS Ebury Bridge Police Station|NETWORK RAIL|218497|-36501.97
Department for Transport|British Transport Police |23/08/2010|BUILDING RENTAL|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|219272|14632.25
Department for Transport|British Transport Police |23/08/2010|SERVICE CHARGES|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|219272|9925
Department for Transport|British Transport Police |23/08/2010|BUILDING RENTAL|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|219271|11925
Department for Transport|British Transport Police |23/08/2010|SERVICE CHARGES|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|219271|9842.5
Department for Transport|British Transport Police |27/08/2010|ADHOC MTCE- BUILDINGS|FIN ESTATES|AMAS LTD / LIM/ RENT A/C|219056|35000
Department for Transport|British Transport Police |27/08/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|CIVICA SERVICES LTD|216982|22672.33
Department for Transport|British Transport Police |27/08/2010|SOLICITORS FEES|PROFESSIONAL STANDARDS GROUP|MARIEL IRVINE SOLICITORS|219333|38707.25
Department for Transport|British Transport Police |27/08/2010|DATA CHARGES|CRIME DETECTIVE CH. SUPER.|NATIONAL POLICING IMPROVEMENT AGENCY|219264|100104.9
Department for Transport|British Transport Police |27/08/2010|TELEPHONE- MOBILES|TECHNOLOGY GROUP|VODAFONE LTD (CORPORATE)|217417|2446.58
Department for Transport|British Transport Police |27/08/2010|TELEPHONE- MOBILES|TECHNOLOGY GROUP|VODAFONE LTD (CORPORATE)|217417|82168.91
Department for Transport|British Transport Police |27/08/2010|SOLICITORS FEES|FHQ POLICE AUTHORITY|WEIGHTMANS|219600|37506.85
Department for Transport|Department for Transport|02/08/2010|IT Consultancy|Rail Technical & Professional|WORDWAVE INTERNATIONAL LTD|2000001676|26860.5
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Finance & Planning|ALLEN LANE FINANCIAL RECRUITMENT|2000001677|8959.38
Department for Transport|Department for Transport|02/08/2010|Management Consultancy|Projects|JACOBS ENGINEERING U.K. LTD|2000001678|112538.46
Department for Transport|Department for Transport|02/08/2010|Management Consultancy|Projects|MOTT MACDONALD|2000001679|693.75
Department for Transport|Department for Transport|02/08/2010|Management Consultancy|Projects|INTERFLEET TECHNOLOGY LTD|2000001680|6566.04
Department for Transport|Department for Transport|02/08/2010|Building Service Charges|Accident Investigating Branches|OFFICE FOR STANDARDS IN EDUCATION|2000010478|14440.83
Department for Transport|Department for Transport|02/08/2010|Electricity|Accident Investigating Branches|OFFICE FOR STANDARDS IN EDUCATION|2000010478|778.15
Department for Transport|Department for Transport|02/08/2010|Property Maintenance|Accident Investigating Branches|OFFICE FOR STANDARDS IN EDUCATION|2000010478|286.24
Department for Transport|Department for Transport|02/08/2010|Rent - L&B (non-PFI)|Accident Investigating Branches|OFFICE FOR STANDARDS IN EDUCATION|2000010478|29772.75
Department for Transport|Department for Transport|02/08/2010|Other Current Grants to NDPBs (in budgets)|London and Road Demand Management|OFFICE OF THE PPP ARBITER|2000010479|235000
Department for Transport|Department for Transport|02/08/2010|Subsidies to Public Corporations|Transform Licensing Logistics and Sponsorship|SCOTTISH EXECUTIVE (08501)|2000010480|49139.64
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Finance & Estates |ALLEN LANE FINANCIAL RECRUITMENT|2000010482|4435.63
Department for Transport|Department for Transport|02/08/2010|Car Hire and Leasing|Corporate Support Function|ARVAL|2000010483|630.22
Department for Transport|Department for Transport|02/08/2010|Property Maintenance|Accident Investigating Branches|AUORA SYSTEMS|2000010484|4851.46
Department for Transport|Department for Transport|02/08/2010|Management Consultancy|Transform Licensing Logistics and Sponsorship|CAPITA SYMONDS LTD|2000010487|3200
Department for Transport|Department for Transport|02/08/2010|Computer equipment|Accident Investigating Branches|DELL CORPORATION LTD|2000010490|5695.77
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Environment and International|REED SPECIALIST RECRUITMENT LTD|2000010491|546.61
Department for Transport|Department for Transport|02/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|SURVEY & MARKETING SERVICES LTD|2000010493|18700
Department for Transport|Department for Transport|02/08/2010|Subsidies to Private Sector|Transform Licensing Logistics and Sponsorship|D B SHENKER RAIL (UK) LIMITED|2000010495|30872.1
Department for Transport|Department for Transport|02/08/2010|Support Services|Aviation|NATIONAL AIR TRAFFIC SERV (ENROUTE)|2000010496|16383.51
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Finance & Estates |MICHAEL PAGE INTERNATIONAL|2000010497|32954.14
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Transform Licensing Logistics and Sponsorship|MICHAEL PAGE INTERNATIONAL|2000010497|4274.27
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Transport Security|MICHAEL PAGE INTERNATIONAL|2000010497|2594.17
Department for Transport|Department for Transport|02/08/2010|Support Services|Aviation|BAE SYSTEMS (AVIATION SERVICES)LTD|2000010499|16809.26
Department for Transport|Department for Transport|02/08/2010|Agency Staff Costs|Transform Licensing Logistics and Sponsorship|WINCANTON GROUP LTD|2000010500|5385.41
Department for Transport|Department for Transport|02/08/2010|Room Hire|Regional & Local Transport|ETC VENUES LTD|2000010501|5610
Department for Transport|Department for Transport|03/08/2010|Management Consultancy|Rail Technical & Professional|AMTEC CONSULTING PLC|2000001687|2055
Department for Transport|Department for Transport|03/08/2010|Legal Consultancy|Rail Strategy & Stakeholder Relations|EVERSHEDS LLP|2000001688|833.13
Department for Transport|Department for Transport|03/08/2010|Management Consultancy|Rail Strategy & Stakeholder Relations|STEER DAVIES & GLEAVE LTD|2000001689|6378.22
Department for Transport|Department for Transport|03/08/2010|Training|Rail Strategy & Stakeholder Relations|INTERNATIONAL LEARNING|2000001690|430.5
Department for Transport|Department for Transport|03/08/2010|Eurotunnel Admin Payment|Rail Strategy & Stakeholder Relations|EUROTUNNEL|2000001691|4738641.41
Department for Transport|Department for Transport|03/08/2010|Eurotunnel Admin Payment|Rail Strategy & Stakeholder Relations|EUROTUNNEL (EURO PAYMENTS)|2000001692|5207623.09
Department for Transport|Department for Transport|03/08/2010|Professional Services OGD|Finance & Estates |DEPARTMENT FOR WORK & PENSIONS|2000010594|55000
Department for Transport|Department for Transport|03/08/2010|Management Consultancy|Transform Licensing Logistics and Sponsorship|VEHICLE & OPERATOR SERVICES AGENCY|2000010595|29087.16
Department for Transport|Department for Transport|03/08/2010|Agency Staff Costs|Human Resources|HAYS PERSONNEL SERVICE LTD|2000010596|2180.8
Department for Transport|Department for Transport|03/08/2010|Property Consultancy|Maritime and Dangerous Goods|FAITHFUL & GOULD LTD|2000010597|3076.27
Department for Transport|Department for Transport|03/08/2010|Telephone Line Rental|Information Management Directorate|BT PLC|2000010598|940
Department for Transport|Department for Transport|03/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|CARDIFF COUNCIL|2000010600|2134
Department for Transport|Department for Transport|03/08/2010|Room Hire|Finance & Estates |CITY INN WESTMINSTER|2000010601|1009.15
Department for Transport|Department for Transport|03/08/2010|Agency Staff Costs|Transport Security|KELLY SERVICES (UK) LTD|2000010606|521.72
Department for Transport|Department for Transport|03/08/2010|Financial Consultancy|Finance & Estates |METHODS CONSULTING LTD|2000010607|26400
Department for Transport|Department for Transport|03/08/2010|Telephone charges|Information Management Directorate|SIEMENS ENTERPRISE COMMUNICATIONS L|2000010608|3612.83
Department for Transport|Department for Transport|03/08/2010|Investigation Services|Accident Investigating Branches|TEST HOUSE (CAMBRIDGE) LTD|2000010609|2696.63
Department for Transport|Department for Transport|03/08/2010|Publications for Resale|Communication Directorate |TYPE GENERATION|2000010610|480
Department for Transport|Department for Transport|03/08/2010|Training|Regional & Local Transport|WINDSOR LEADERSHIP TRUST|2000010611|3000
Department for Transport|Department for Transport|03/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|LEEDS CITY COUNCIL|2000010615|10605
Department for Transport|Department for Transport|03/08/2010|Travel Expenses UK|Transport Security|CARLSON WAGONLIT TRAVEL|2000010616|1387.35
Department for Transport|Department for Transport|04/08/2010|Management Consultancy|Strategic Roads and National Networks|ATKINS LTD (TRANSPORT PLANNING)|2000001698|54944.75
Department for Transport|Department for Transport|04/08/2010|Management Consultancy|Projects|FIRST CLASS PARTNERSHIPS LTD|2000001699|1528.7||GB 224 2359 85
Department for Transport|Department for Transport|04/08/2010|Management Consultancy|Rail Service Delivery|FIRST CLASS PARTNERSHIPS LTD|2000001699|1250||GB 224 2359 85
Department for Transport|Department for Transport|04/08/2010|Legal Consultancy|Projects|FRESHFIELDS|2000001700|256275.13||GB 224 2359 85
Department for Transport|Department for Transport|04/08/2010|Management Consultancy|Projects|VIRGIN RAIL PROJECTS LTD|2000001701|62652.75||GB 792 417312
Department for Transport|Department for Transport|04/08/2010|Travel Expenses UK|Rail Strategy & Stakeholder Relations|ARRIVA UK TRAINS LTD|2000001702|1880||379 6238 04
Department for Transport|Department for Transport|04/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|DERBYSHIRE COUNTY COUNCIL|2000010670|21292||705 0586 52
Department for Transport|Department for Transport|04/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|DEVON COUNTY COUNCIL|2000010671|9116||GB 224 2359 85
Department for Transport|Department for Transport|04/08/2010|Service Charge Computer Expenses|Transport Security|EDUSERV|2000010672|2115||
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Finance & Estates |HAYS PERSONNEL SERVICE LTD|2000010673|1410||
Department for Transport|Department for Transport|04/08/2010|Contract Cleaning|Accident Investigating Branches|PROGRESS CLEANING SERVICES|2000010675|720||
Department for Transport|Department for Transport|04/08/2010|Printing|Regional & Local Transport|TAURUS PRINT & DESIGN LTD|2000010676|1420||
Department for Transport|Department for Transport|04/08/2010|Printing|Standalone Units|TAURUS PRINT & DESIGN LTD|2000010676|3085||
Department for Transport|Department for Transport|04/08/2010|Transport Consultancy|Maritime and Dangerous Goods|ENVIRONMENTAL SCIENTIFICS GROUP LTD|2000010677|1550||
Department for Transport|Department for Transport|04/08/2010|Financial Consultancy|Major Projects|DELOITTE & TOUCHE LLP|2000010678|24810||
Department for Transport|Department for Transport|04/08/2010|Other Professional Fees|Maritime and Dangerous Goods|AEA TECHNOLOGY ENVIRONMENT|2000010679|26784.13||
Department for Transport|Department for Transport|04/08/2010|Research|Transform Licensing Logistics and Sponsorship|AEA TECHNOLOGY ENVIRONMENT|2000010679|38293.07||
Department for Transport|Department for Transport|04/08/2010|Legal Consultancy|Major Projects|C M S CAMERON MCKENNA|2000010681|124213.02
Department for Transport|Department for Transport|04/08/2010|Contract Cleaning|Accident Investigating Branches|CLEAN SLATE|2000010682|2084.97
Department for Transport|Department for Transport|04/08/2010|Further Education Leading to Qualifications|Information Management Directorate|COMPUTACENTER (UK) LTD|2000010683|12130
Department for Transport|Department for Transport|04/08/2010|Infrastructure Maintenance|Transport Security|DETICA LTD|2000010684|1380
Department for Transport|Department for Transport|04/08/2010|Research|Road & Vehicle Safety & Standards|AECOM LIMITED|2000010686|20871.44
Department for Transport|Department for Transport|04/08/2010|Training|Human Resources|THE FARADAY PARTNERSHIP|2000010687|500
Department for Transport|Department for Transport|04/08/2010|Publicity|Regional & Local Transport|FOLIO CREATIVE COMMUNICATION LTD|2000010688|640
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Information Management Directorate|GLOTEL INTERNATIONAL LTD|2000010689|1786
Department for Transport|Department for Transport|04/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|JACOBS ENGINEERING U.K. LTD|2000010690|49020
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Transport Security|JOSEPHINE SAMMONS LTD|2000010691|1204.46
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Finance & Estates |KELLY SERVICES (UK) LTD|2000010693|744.76
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Legal Services Directorate |KELLY SERVICES (UK) LTD|2000010693|548.11
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Transport Security|KELLY SERVICES (UK) LTD|2000010693|521.72
Department for Transport|Department for Transport|04/08/2010|Data Supply - Transport Direct|Information Management Directorate|LANDMARK INFORMATION GROUP LTD|2000010694|9429.38
Department for Transport|Department for Transport|04/08/2010|Management Consultancy|London and Road Demand Management|TDC SYSTEMS LIMITED|2000010696|24234.36
Department for Transport|Department for Transport|04/08/2010|Publications for Resale|Regional & Local Transport|TYPE GENERATION|2000010697|1395
Department for Transport|Department for Transport|04/08/2010|Printing|Communication Directorate |THE STATIONERY OFFICE LTD|2000010700|1420
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|BRISTOL CITY|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|GREATER MANCHESTER ITA|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|MERSEYTRAVEL|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|NOTTINGHAM CITY COUNCIL|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|SOUTH YORKSHIRE ITA|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|WEST MIDLANDS ITA|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|WEST YORKSHIRE ITA|2000010701|555555
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Finance & Estates |MICHAEL PAGE INTERNATIONAL|2000010702|8031.69
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Transform Licensing Logistics and Sponsorship|MICHAEL PAGE INTERNATIONAL|2000010702|1130.51
Department for Transport|Department for Transport|04/08/2010|Agency Staff Costs|Transport Security|MICHAEL PAGE INTERNATIONAL|2000010702|4669.5
Department for Transport|Department for Transport|04/08/2010|Travel Expenses UK|INE Group |CAPITA BUSINESS TRAVEL|2000010703|9893.83
Department for Transport|Department for Transport|04/08/2010|Travel Expenses UK|Transport Security|CAPITA BUSINESS TRAVEL|2000010703|38985.13
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|TYNE AND WEAR ITA|2000010710|401276
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|WEST MIDLANDS ITA|2000010711|555557
Department for Transport|Department for Transport|04/08/2010|Other Current Grants to NDPBs (in budgets)|Maritime and Dangerous Goods|McCLURE NAISMITH|2000010714|21244.3
Department for Transport|Department for Transport|04/08/2010|Other Current Grants to NDPBs (in budgets)|Maritime and Dangerous Goods|LEDINGHAM CHALMERS LLP|2000010715|22271.66
