DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01/09/2014|Agency Staff Costs|Group Finance|CAPITA BUSINESS SERVICES LTD|2000011535|2355.36|#|DL1 9HN
Department for Transport|Department for Transport|01/09/2014|Agency Staff Costs|Rail Franchising|BROOK STREET (UK) LIMITED|2000011545|609.12|#|AL1 4JB
Department for Transport|Department for Transport|01/09/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000011547|2520|#|DL1 9HN
Department for Transport|Department for Transport|01/09/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000011547|5650.34|#|DL1 9HN
Department for Transport|Department for Transport|01/09/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000011547|2487.02|#|DL1 9HN
Department for Transport|Department for Transport|01/09/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000011547|7560|#|DL1 9HN
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|AA Electrical Services|2000011566|3998.69|AAES JULY 2014 #3998.69|BT43 7LW
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Abacus Renewable Energy Ltd|2000011570|4594.99|ABACUS july 2014 #4594.99|EX13 5HU
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Athena Electrical|2000011565|1000|Athena electricalJuly 2014 #1000|E5 8AJ
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|British Gas Ltd|2000011559|301000|British Gas July 2014 #301000|S60 1BY
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Castle Building Services|2000011568|78000|Castle BS June 2014 #78000|NE31 2EX
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Cawoods Electricians|2000011564|14995.08|Cawood July 2014 #14995.08|PE6 9NF
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000011563|573633.08|Property Purchase 7Knox|CF10 5BT
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000011563|602639.18|Property Purchase 402Crom|CF10 5BT
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Firehawk Ltd|2000011571|1000|FIREHAWK July 2014 #1000|M35 0UF
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Ian Smith Electrical Ltd|2000011569|5998.03|IAN SMITH JULY 2014 #5998.03|NG13 0AU
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Manor Maintenance (Electrical|2000011574|1999.34|MANOR MAIN JUNE 2014 #1999.34|NG3 2FU
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Sanderson Electrical Ltd|2000011560|12000|Sanderson Electrical June 2014 #12000|NE11 9HD
Department for Transport|Department for Transport|01/09/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Simon Hopkins Electrical Services|2000011572|12995.74|SIMON HOP July 2014 #12995.74|NG31 6EG
