DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01/03/2013|Computer equipment|Air Accident Investigation Branch|Probrand Ltd|2000024454|801.24|PROBRAND NON ETHOS 2 HEADSETS AND SWITCH|B1 3BP
Department for Transport|Department for Transport|01/03/2013|Machinery Rental|DASH|DANWOOD GROUP LTD|2000024458|1173.27|#|LN6 3DG
Department for Transport|Department for Transport|01/03/2013|Machinery Rental|Local|RICOH UK LTD|2000024459|1256.87|#|NN4 7YB
Department for Transport|Department for Transport|01/03/2013|Management Consultan|Rail Commercial Contracts|RAIL MANCHE FINANCE EEIG|2000024462|11875|ACCOUNTANCY SERVCS 01/10/12 TO 31/12/12|N1 9AW
Department for Transport|Department for Transport|01/03/2013|Telephone charges|Business Transformation|BT CONFERENCING|2000024456|839.03|MEETME CONFERENCES X20|NW9 6LB
Department for Transport|Department for Transport|01/03/2013|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000024461|4793.7|BT - CHARGES FOR AC VP77131270|DH98 1BT
Department for Transport|Department for Transport|01/03/2013|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000024461|1685.31|tel charges|DH98 1BT
Department for Transport|Department for Transport|01/03/2013|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000024461|29628.09|BT Call Charges Febuary|DH98 1BT
Department for Transport|Department for Transport|01/03/2013|Telephone charges|Business Transformation|BT PAYMENT SERVICES LTD|2000024461|2216.37|BT Charges for a/c 33182170|DH98 1BT
Department for Transport|Department for Transport|01/03/2013|Telephone Line Rent|Business Transformation|CABLE & WIRELESS|2000024457|12956.33|C&W FEB 2013|MK3 5JP
Department for Transport|Department for Transport|01/03/2013|Telephone Line Rent|Business Transformation|CABLE & WIRELESS|2000024457|2310.36|C&W - SAN Link A/C - Feb 2013|MK3 5JP
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Permanent Secretary|NETWORKERS INTERNATIONAL (UK) PLC|2000024580|883.92|#|BR1 1HP
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000024563|4154.1|#|KT3 4JQ
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000024580|3408.78|#|BR1 1HP
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000024582|765.9|#|B37 7YE
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Rail and Road Projects|EXPERIS LTD|2000024569|5835.78|#|EC1R 3DR
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Rail and Road Projects|LEIGHFISHER LTD|2000024583|571.32|#|W2 2ES
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000024569|2383.38|#|EC1R 3DR
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Local|EXPERIS LTD|2000024569|2235.3|#|EC1R 3DR
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|DASH|EXPERIS LTD|2000024569|4821.31|#|EC1R 3DR
Department for Transport|Department for Transport|04/03/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000024569|5526.72|#|EC1R 3DR
