DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01/01/2013|CurrGrtOth to NDPBs|Rail|MERSEY TRAVEL|2000019872|5857991.29|Mersey Travel January Grant 2012|L3   2AN
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000019917|4528.43|#|EC1R 3DR
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000019917|2383.38|#|EC1R 3DR
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019916|2616.24|#|W1T 5AE
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019916|936.36|#|W1T 5AE
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019916|3270.3|#|W1T 5AE
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000019917|11053.44|#|EC1R 3DR
Department for Transport|Department for Transport|02/01/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000019927|2808|#|SL1 3SA
Department for Transport|Department for Transport|02/01/2013|Basic Franchise Pay|Rail Commercial Contracts|LONDON MIDLAND RAILWAY|2000019931|4236376|1310 Wk3 LOM Basic Franchise Payments Pd 1310 - Lo|B2 4JB
Department for Transport|Department for Transport|02/01/2013|Basic Franchise Pay|Rail Commercial Contracts|NORTHERN RAIL LTD|2000019930|9590821.55|1310 Wk3 Franchise Subsidy based on V12 of Fin. Mo|YO1 6HT
Department for Transport|Department for Transport|02/01/2013|Basic Franchise Pay|Rail Commercial Contracts|NORTHERN RAIL LTD|2000019930|305293.05|1310 Wk3 HLOS 2 Franchise subsidy based on V12_P13|YO1 6HT
Department for Transport|Department for Transport|02/01/2013|Basic Franchise Pay|Rail Commercial Contracts|NORTHERN RAIL LTD|2000019930|302786.94|1310 Wk3 HLOS 3 Franchise subsidy based on V12_P13|YO1 6HT
