DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Bellard Electronics Limited|234389|1,004.63
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Bellard Electronics Limited|242679|-502.31
Department for Transport|British Transport Police|10/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Boilertec (Scotland) Ltd|243149|1,980.00
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|242768|881.25
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|239936|1,234.64
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|239460|2,472.86
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|239459|1,956.47
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|239467|843.66
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|242774|581.84
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|242776|1,198.68
Department for Transport|British Transport Police|10/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Carillion Planned Maintenance|243418|695.04
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|COFELY LIMITED|243828|2,449.29
Department for Transport|British Transport Police|17/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Comprehensive Elevator Services Ltd (CES Ltd)|243933|5,115.60
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Comprehensive Elevator Services Ltd (CES Ltd)|244203|1,848.00
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Comprehensive Elevator Services Ltd (CES Ltd)|244205|1,050.00
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Comprehensive Elevator Services Ltd (CES Ltd)|244204|1,050.00
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Comprehensive Elevator Services Ltd (CES Ltd)|244206|1,041.60
Department for Transport|British Transport Police|17/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|COOL AND HEAT LIMITED|243932|1,397.08
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Four Seasons Control Ltd|244253|504.00
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Garside & Laycock Limited|244457|1,170.00
Department for Transport|British Transport Police|24/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|Hydrop Ecs|242674|300.00
Department for Transport|British Transport Police|03/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|NATIONWIDE PROPERTY SOLUTIONS LTD|242722|672.00
Department for Transport|British Transport Police|10/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|NATIONWIDE PROPERTY SOLUTIONS LTD|242210|835.20
Department for Transport|British Transport Police|10/06/2011|FORCEWIDE MAINTENANCE|ADHOC MTCE- BUILDINGS|NATIONWIDE PROPERTY SOLUTIONS LTD|243108|1,498.26
