DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|GCDA|07.03.12|Parts|W/Shop|@First Class Solutions|77391| 784.00 || IG11 0HD
Department for Transport|GCDA|07.03.12|Parts|W/Shop|Beadles (Sidcup)|77392| 776.70 || DA14 6PB
Department for Transport|GCDA|07.03.12|Parts|W/Shop|London SW TPS|77395| 783.70 || AL1 9GZ
Department for Transport|GCDA|07.03.12|Parts|W/Shop|Phoenix Vauxhall|77397| 5,524.48 || SW17 0HB
Department for Transport|GCDA|07.03.12|Parts|W/Shop|Goodyear Dunlop Tyres UK Ltd|77401| 3,002.34 || B24 9HY
Department for Transport|GCDA|07.03.12|Parts|W/Shop|Cannon Motor Spares & Acc|77402| 727.23 || CR4 4HR
Department for Transport|GCDA|07.03.12|Parts|W/Shop|Bristol Street Bromley|77403| 4,367.91 || BR2 9HS
Department for Transport|GCDA|07.03.12|Monthly Support|Govt Mail|Blackbay|77300| 2,625.00 || W1B 5SB
Department for Transport|GCDA|07.03.12|Courier Service|Regional+|Swift  Despatch Ltd|77320| 1,150.02 || L3 7HJ
Department for Transport|GCDA|07.03.12|Courier Service|Regional+|JC Couriers Ltd|77359| 1,103.70 || PE2 6UP
Department for Transport|GCDA|07.03.12|Courier Service|Regional+|Wallington Cars & Couriers Ltd|77327| 3,598.80 || SM6 8RG
Department for Transport|GCDA|07.03.12|Parts|W/Shop|Silgo Lubricants Ltd|77335| 1,248.98 || RM15 4YD
Department for Transport|GCDA|07.03.12|Payroll Service|Finance|Logica IT Services UK Limited|77075| 1,252.71 || CF31 9AP
Department for Transport|GCDA|07.03.12|Agy Staff|Finance|Morgan Hunt Ltd|77083| 1,165.99 || WC2B 5QR
Department for Transport|GCDA|07.03.12|Agy Staff|Finance|Morgan Hunt Ltd|77235| 1,104.62 || WC2B 5QR
Department for Transport|GCDA|07.03.12|Payroll Service|Finance|Logica IT Services UK Limited|77325| 1,403.34 || CF31 9AP
Department for Transport|GCDA|07.03.12|Telephone Chrg|IT|Vodaphone Corporate Ltd|77288| 1,701.20 || RG14 2FN
Department for Transport|GCDA|07.03.12|Repair works|W/Shop|Professional Auto Centre Ltd|77404| 978.63 || SW8 1RY
Department for Transport|GCDA|07.03.12|Fuel|Operation|ARVAL PHH Business Solutions|77421| 14,141.02 || SN5 6PE
