DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Business Transformation|MICHAEL PAGE INTERNATIONAL|2000011681|7199.7|#|SL1 3SA
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Business Transformation|MICHAEL PAGE INTERNATIONAL|2000011681|4799.8|#|SL1 3SA
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail and Road Projects|EXPERIS LTD|2000011672|2334.31|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000011672|12380.58|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000011672|4499.88|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000011681|3540.24|#|SL1 3SA
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail Commercial Contracts|MORGAN HUNT UK LTD|2000011675|3081.6|#|EC4M 7EG
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Local|EXPERIS LTD|2000011672|3352.96|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail|EXPERIS LTD|2000011672|4766.76|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Rail|EXPERIS LTD|2000011672|7700.64|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Roads|EXPERIS LTD|2000011672|7968.55|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000011672|5526.72|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000011681|3942.84|#|SL1 3SA
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000011681|660|#|SL1 3SA
Department for Transport|Department for Transport|02/09/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000011672|4470.72|#|EC1R 3DR
Department for Transport|Department for Transport|02/09/2013|Cars Maintenance|Motoring Services|SW Automotive|2000011691|740.87|#|BR2 9QL
Department for Transport|Department for Transport|02/09/2013|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000011684|10717.47|#|B11 2LE
Department for Transport|Department for Transport|02/09/2013|CurrGrt Las in AEF/A|Rail|TRANSPORT FOR LONDON|2000011683|2208700.87|TfL LOROL Grant September 2013 Claim|SW1H 0TL
Department for Transport|Department for Transport|02/09/2013|Electricity|Rail Accident Investigation Branch|BRITISH GAS|2000011669|905.65|#|OX4 2JY
Department for Transport|Department for Transport|02/09/2013|Financial Consultanc|Rail Commercial Contracts|PRICEWATERHOUSECOOPERS LLP|2000011676|31341.04|#|E14 9SQ
Department for Transport|Department for Transport|02/09/2013|IT Ser Running Costs|Rail Accident Investigation Branch|EPIC PERFORMANCE IMPROVEMENT LTD|2000011673|3600|#|BN1 1NH
Department for Transport|Department for Transport|02/09/2013|Machinery Rental|Local|RICOH UK LTD|2000011674|430.24|#|NN4 7YB
Department for Transport|Department for Transport|02/09/2013|Machinery Rental|Marine Accident Investigation Branch|CANON (UK) LTD|2000011670|893.2|#|RH2 8BF
Department for Transport|Department for Transport|02/09/2013|Mobile Phone charges|Centrally held prog|VODAFONE LTD|2000011677|-607.5|Vodafone - Credit Invoice UK10/082013/426|RG14 5FF
Department for Transport|Department for Transport|02/09/2013|Mobile Phone charges|Centrally held prog|VODAFONE LTD|2000011677|6579.38|VODAFONE A/C 670085071|RG14 5FF
Department for Transport|Department for Transport|02/09/2013|Mobile Phone charges|Business Transformation|VODAFONE LTD|2000011677|-1925.3|Duplicate invoice paid SR*93008|RG14 5FF
Department for Transport|Department for Transport|02/09/2013|Research|Aviation|CIVIL AVIATION AUTHORITY|2000011671|52500|#|RH10 0YR
Department for Transport|Department for Transport|02/09/2013|Research|Aviation|CIVIL AVIATION AUTHORITY|2000011671|11750|#|RH10 0YR
Department for Transport|Department for Transport|02/09/2013|Research|Aviation|CIVIL AVIATION AUTHORITY|2000011671|31000|#|RH10 0YR
Department for Transport|Department for Transport|02/09/2013|Software Lic Cap|Commercial & Technical Services|SPECIALIST COMPUTER CENTRES PLC|2000011684|3725.46|#|B11 2LE
Department for Transport|Department for Transport|02/09/2013|Subsidies Private Se|Roads|MSRS Freight Grant|2000011678|53860.3|MSRS Freight Grant|xxxxxxx
Department for Transport|Department for Transport|02/09/2013|Subsidies Private Se|Roads|MSRS Freight Grant|2000011678|56503.2|MSRS Freight Grant|xxxxxxx
Department for Transport|Department for Transport|02/09/2013|Subsidies Private Se|Roads|MSRS Freight Grant|2000011679|741970.21|MSRS Freight Grant|xxxxxxx
Department for Transport|Department for Transport|02/09/2013|Subsidies Private Se|Roads|MSRS Freight Grant|2000011680|59166|MSRS Freight Grant|xxxxxxx
Department for Transport|Department for Transport|02/09/2013|Training|Group Finance|EAST OF ENGLAND AMBULANCE SERVICE|2000011682|480|#|NR6 5NA
Department for Transport|Department for Transport|02/09/2013|Transport  Consult|Refran Prog Off|LEIGHFISHER LTD|2000011685|101474.52|#|W2 2ES
Department for Transport|Department for Transport|02/09/2013|Travel Exp Overseas|Motoring Services|Transport For London,|2000011692|7283|#|SE10 1AP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Business Transformation|NETWORKERS INTERNATIONAL (UK) PLC|2000011761|6615.88|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000011746|3323.28|#|KT3 4JQ
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000011748|3263.26|#|BN11 2BW
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000011748|3263.26|#|BN11 2BW
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000011761|3393.6|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000011746|3384|#|KT3 4JQ
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|100013595|4194|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|100013595|-4194|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000011761|868.74|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000011760|15405.73|#|DL1 9HN
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Aviation|NETWORKERS INTERNATIONAL (UK) PLC|2000011761|754.38|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Agency Staff Costs|Refran Prog Off|NETWORKERS INTERNATIONAL (UK) PLC|2000011761|883.92|#|BR1 1HP
Department for Transport|Department for Transport|03/09/2013|Building Insurance|Business Transformation|SAVILLS COMMERCIAL LTD|2000011758|2444.24|L'lords Ins. @ 5th Floor Southside 1/7/13-30/6/14|EC2M 7EE
Department for Transport|Department for Transport|03/09/2013|Cap Grt Pri Sec-Cos.|Greener Transport & International|Rolec Services Limited|2000011775|18000|Rolec unique claim no 2 #18k|PE20 1Q
Department for Transport|Department for Transport|03/09/2013|Cars Maintenance|Motoring Services|Goodyear Dunlop Tyres UK Ltd|2000011769|2437.35|#|B24 9HY
Department for Transport|Department for Transport|03/09/2013|Cars Maintenance|Motoring Services|Professional Auto Centre Ltd|2000011771|718.96|#|SW8 1RY
Department for Transport|Department for Transport|03/09/2013|Computer equipment|Marine Accident Investigation Branch|COMPUTACENTER|2000011756|518.71|#|AL10 9TW
Department for Transport|Department for Transport|03/09/2013|CurrGrt Las in AEF/A|London and Olympics|GREATER LONDON AUTHORITY|2000011745|76479000|GLA Grant Payment - No: 12|SE1 2UT
Department for Transport|Department for Transport|03/09/2013|CurrGrtPriSec-P&NPIS|Greener Transport & International|ENERGY SAVING TRUST|2000011759|219530|EST  (3) July #219k|SW1H 9BP
Department for Transport|Department for Transport|03/09/2013|Data Supply - TD|Group HR|ECA International Ltd|2000011752|5022|#|WC2B 5DG
Department for Transport|Department for Transport|03/09/2013|Data Supply - TD|Group HR|ECA International Ltd|2000011752|12422.4|#|WC2B 5DG
Department for Transport|Department for Transport|03/09/2013|Data Supply - TD|Group HR|ECA International Ltd|2000011752|12715.2|#|WC2B 5DG
Department for Transport|Department for Transport|03/09/2013|Electricity|Business Transformation|xxxxxxxx|2000011754|4202.22|Elec Chg @ 249 West George St Glasgow 1/1/-31/7/13|xxxxxxx
Department for Transport|Department for Transport|03/09/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF CAISSE GENERALE|2000011706|5654094.18|SNCF Sept 13 GBP payment|75008
Department for Transport|Department for Transport|03/09/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF TRESORERIE ENC RHT VFE|2000011707|6113638.89|SNCF Sept 13 EURO payment|75014
Department for Transport|Department for Transport|03/09/2013|Financial Consultanc|Business Transformation|PRGX UK LIMITED|2000011763|8176.8|#|LU1 3LU
Department for Transport|Department for Transport|03/09/2013|Legal Consultancy|Refran Prog Off|EVERSHEDS LLP|2000011753|1587.8|#|LS11 5DR
Department for Transport|Department for Transport|03/09/2013|Medical Advisory Ser|Group HR|HEALTH MANAGEMENT LTD|2000011755|1943.5|#|BN8 5NN
Department for Transport|Department for Transport|03/09/2013|Property Maintenance|Rail Accident Investigation Branch|INTERSERVE|2000011765|5215.35|#|BS32 4NH
Department for Transport|Department for Transport|03/09/2013|Property Maintenance|Rail Accident Investigation Branch|INTERSERVE|2000011765|735.59|#|BS32 4NH
Department for Transport|Department for Transport|03/09/2013|Rates|Business Transformation|DTZ|2000011747|70788.53|Historic Vacant Rates Savings @ Great Minster Hse|EH3 9QG
Department for Transport|Department for Transport|03/09/2013|Recruitment Fees|Group HR|HM REVENUE & CUSTOMS|2000011743|11400|#|BN12 4XH
Department for Transport|Department for Transport|03/09/2013|Support Services|Roads|HIGHWAYS AGENCY|2000011744|4662.68|#|B1 1RN
Department for Transport|Department for Transport|03/09/2013|Transport  Consult|Refran Prog Off|ATKINS LTD (TRANSPORT PLANNING)|2000011749|138932.47|#|WR5 1TX
Department for Transport|Department for Transport|03/09/2013|Vehicle Running Cost|Motoring Services|Jaguar Cars Limited|2000011770|840|#|CV3 4LF
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|DASH|ADVANTAGE RESOURCING UK LTD|2000011896|1080|#|RG21 4FF
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000011864|4154.1|#|KT3 4JQ
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000011866|3263.26|#|BN11 2BW
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000011880|2818.8|#|SL1 3SA
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000011880|4080|#|SL1 3SA
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000011886|765.9|#|B37 7YE
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Rail Accident Investigation Branch|SPRING TECHNOLOGY LTD  ALSO T/A|2000011886|689.52|#|B37 7YE
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000011881|13860|#|DL1 9HN
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000011881|22072.45|#|DL1 9HN
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000011881|3345.12|#|DL1 9HN
Department for Transport|Department for Transport|04/09/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000011880|4608|#|SL1 3SA
Department for Transport|Department for Transport|04/09/2013|Basic Franchise Pay|Rail Commercial Contracts|LONDON & SOUTH EASTERN RAILWAY|2000011845|36746461.88|1406 Wk3 Pd7-Pd9 HS1Track Access Charges - London|SE1 8PG
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|COVENTRY CITY COUNCIL|2000011872|1456000|2013/14 Local Pinch Point Fund payment|CV1 2QL
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|BATH & NE SOMERSET DC|2000011846|429885|Quarter 1 LA Major Transport Grant Payment 13/14|BA1 5AW
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|CHESHIRE EAST BOROUGH COUNCIL|2000011887|73314.57|Quarter 1 LA Major Transport Grant Payment 13/14|CW11 1HZ
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|CITY OF YORK COUNCIL|2000011847|1227390.2|Quarter 1 LA Major Transport Grant Payment 13/14|Y01 7WH
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|CORNWALL COUNCIL|2000011888|1637677|Quarter 1 LA Major Transport Grant Payment 13/14|TR1 3AY
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|DERBY CITY COUNCIL|2000011848|9887|Quarter 1 LA Major Transport Grant Payment 13/14|DE1 2YL
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|DEVON COUNTY COUNCIL|2000011849|9333481|Quarter 1 LA Major Transport Grant Payment 13/14|EX2 4QJ
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|DONCASTER MBC|2000011873|2442418|Quarter 1 LA Major Transport Grant Payment 13/14|DN1 1ER
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|DORSET COUNTY COUNCIL|2000011850|1343759.5|Quarter 1 LA Major Transport Grant Payment 13/14|DT1 1XJ
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|EAST RIDING OF YORKSHIRE COUNCIL|2000011874|1296451.82|Quarter 1 LA Major Transport Grant Payment 13/14|HU17 9BA
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|EAST SUSSEX COUNTY COUNCIL|2000011862|1113488.86|Quarter 1 LA Major Transport Grant Payment 13/14|BN7 1UE
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|HALTON BC|2000011851|1500519|Quarter 1 LA Major Transport Grant Payment 13/14|WA8 6NB
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|LEEDS CITY COUNCIL|2000011875|11604|Quarter 1 LA Major Transport Grant Payment 13/14|LS2 8JR
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|LEICESTERSHIRE COUNTY COUNCIL|2000011859|516931|Quarter 1 LA Major Transport Grant Payment 13/14|LE3 8RB
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|LUTON BOROUGH COUNCIL|2000011852|6294250|Quarter 1 LA Major Transport Grant Payment 13/14|LU1 2BQ
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|MIDDLESBROUGH BOROUGH COUNCIL|2000011876|696315.59|Quarter 1 LA Major Transport Grant Payment 13/14|TS1 9GA
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|NORTH SOMERSET COUNCIL|2000011853|543546.69|Quarter 1 LA Major Transport Grant Payment 13/14|BS23 1UJ
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|NORTHAMPTONSHIRE CC|2000011854|3917560|Quarter 1 LA Major Transport Grant Payment 13/14|NN4 7DB
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|NOTTINGHAM CITY COUNCIL|2000011884|34858|Quarter 1 LA Major Transport Grant Payment 13/14|NG1 5NT
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|PORTSMOUTH CITY COUNCIL|2000011860|3992447.36|Quarter 1 LA Major Transport Grant Payment 13/14|PO1 2BG
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|READING BC|2000011855|787406|Quarter 1 LA Major Transport Grant Payment 13/14|RG1 7TD
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|ROTHERHAM MBC|2000011877|1755084.02|Quarter 1 LA Major Transport Grant Payment 13/14|S60 1SN
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|SANDWELL MBC|2000011878|99734.47|Quarter 1 LA Major Transport Grant Payment 13/14|B69 3BS
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|SOMERSET COUNTY COUNCIL|2000011856|1975000.92|Quarter 1 LA Major Transport Grant Payment 13/14|TA1 4DY
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|ST HELENS MBC|2000011857|21676|Quarter 1 LA Major Transport Grant Payment 13/14|WA10 1UQ
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|SUFFOLK COUNTY COUNCIL|2000011863|2008550|Quarter 1 LA Major Transport Grant Payment 13/14|IP1 2DH
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|SURREY COUNTY COUNCIL|2000011858|1786803.25|Quarter 1 LA Major Transport Grant Payment 13/14|KT1 2DN
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|WEST MIDLANDS ITA|2000011890|6709852|Quarter 1 LA Major Transport Grant Payment 13/14|B19 3SD
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|WOLVERHAMPTON CITY COUNCIL|2000011879|390123.3|Quarter 1 LA Major Transport Grant Payment 13/14|WRV 1RL
Department for Transport|Department for Transport|04/09/2013|Cap Grt Loc Auth|Local|WORCESTERSHIRE COUNTY COUNCIL|2000011861|471535|Quarter 1 LA Major Transport Grant Payment 13/14|WR5 2NP
Department for Transport|Department for Transport|04/09/2013|Cars Fuel|Motoring Services|HARVEST ENERGY LTD|2000011891|11219|#|W1G 0PU
Department for Transport|Department for Transport|04/09/2013|CurrGrtPriSec-P&NPIS|Commercial & Technical Services|RAIL SAFETY & STANDARDS BOARD|2000011883|3335000|RSSB Del Innovation 2ndQ 2013/14|NW1 2DX
Department for Transport|Department for Transport|04/09/2013|CurrGrtPriSec-P&NPIS|Commercial & Technical Services|RAIL SAFETY & STANDARDS BOARD|2000011883|238750|RSSB Development Grant 2013/14 -2nd quarter|NW1 2DX
