DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|British Transport Police |02/07/2010|PROCUREMENT CARD HOLDING A/C|FIN FINANCE|BARCLAYS HMG PROCUREMENT CARD|214952|105195.2
Department for Transport|British Transport Police |02/07/2010|VEHICLE SERVICING- PLANNED|FIN VEHICLE FLEET|BT FLEET LIMITED|215192|524
Department for Transport|British Transport Police |02/07/2010|VEHICLE SERVICING- PLANNED|FIN VEHICLE FLEET|BT FLEET LIMITED|215192|41581.2
Department for Transport|British Transport Police |02/07/2010|P&L ON SALE- OWNED VEHICLES|FIN FINANCE|BT FLEET LIMITED|215192|1113.16
Department for Transport|British Transport Police |02/07/2010|VEHICLE SERVICING- PLANNED|FIN VEHICLE FLEET|BT FLEET LIMITED|215193|614.91
Department for Transport|British Transport Police |02/07/2010|VEHICLE SERVICING- PLANNED|FIN VEHICLE FLEET|BT FLEET LIMITED|215193|41763.6
Department for Transport|British Transport Police |02/07/2010|P&L ON SALE- OWNED VEHICLES|FIN FINANCE|BT FLEET LIMITED|215193|1876.89
Department for Transport|British Transport Police |02/07/2010|SURVEYS- NON PREMISES|STRATEGIC DEVELOPMENT DEPT|MAVEN RESEARCH|214690|65464
Department for Transport|British Transport Police |02/07/2010|IT SOFTWARE MAINTENANCE|CRIME S.O.C.O|NORTHGATE INFORMATION SOLUTIONS LTD|205718|33000
Department for Transport|British Transport Police |02/07/2010|INTANG ASSETS LICENCES - ADD|CAPITAL CONTROL ACCOUNT|NORTHGATE INFORMATION SOLUTIONS LTD|205718|1950
Department for Transport|British Transport Police |02/07/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|OVERBURY PLC|215031|81009.37
Department for Transport|British Transport Police |09/07/2010|IT HARDWARE MAINTENANCE|TECHNOLOGY GROUP|Airwave Solutions Limited|210018|392369.87
Department for Transport|British Transport Police |09/07/2010|IT HARDWARE MAINTENANCE|TECHNOLOGY GROUP|Airwave Solutions Limited|211760|-392369.87
Department for Transport|British Transport Police |09/07/2010|IT HARDWARE MAINTENANCE|TECHNOLOGY GROUP|Airwave Solutions Limited|213903|119817.93
Department for Transport|British Transport Police |09/07/2010|FUEL & LUBRICANTS|FIN VEHICLE FLEET|ARVAL|215604|44500.94
Department for Transport|British Transport Police |09/07/2010|P&M - ADDITIONS|CAPITAL CONTROL ACCOUNT|KIRINTEC LTD|209769|-27183
Department for Transport|British Transport Police |09/07/2010|P&M - ADDITIONS|CAPITAL CONTROL ACCOUNT|KIRINTEC LTD|206735|27183
Department for Transport|British Transport Police |09/07/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Ordnance Survey Hq Account -|212789|33035.99
Department for Transport|British Transport Police |09/07/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|214019|438240.56
Department for Transport|British Transport Police |09/07/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|214020|2004059.03
Department for Transport|British Transport Police |09/07/2010|PENSION EMPLOYER CONTS|FIN FINANCE|Railway Pensions Management Ltd|214021|414179.46
Department for Transport|British Transport Police |09/07/2010|TRAINING-POLICE|OPERATIONS MANAGEMENT|SDR CONSULTING LIMITED|205149|24900
Department for Transport|British Transport Police |09/07/2010|TRAINING-POLICE|OPERATIONS MANAGEMENT|SDR CONSULTING LIMITED|213867|-24900
Department for Transport|British Transport Police |09/07/2010|IT HARDWARE PURCH (NONCAP)|DFT OLYMPICS|Sepura Ltd|214998|162360
Department for Transport|British Transport Police |09/07/2010|EQUIP PURCH - POLICE  (NONCAP)|FIN ESTATES|SHERRY DESIGN|206865|23427.18
Department for Transport|British Transport Police |09/07/2010|EQUIP PURCH - POLICE  (NONCAP)|FIN ESTATES|SHERRY DESIGN|215199|-23427.18
Department for Transport|British Transport Police |09/07/2010|CLAIM - EMPLOYMENT TRIBUNALS|HR POLICY AND STRATEGY|SIMONS MUIRHEAD & BURTON|215162|37307.13
Department for Transport|British Transport Police |09/07/2010|CLAIM - EMPLOYMENT TRIBUNALS|HR POLICY AND STRATEGY|MS E SILVESTER|20092|50537.52
Department for Transport|British Transport Police |16/07/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|BT REDCARE|216188|33800
Department for Transport|British Transport Police |16/07/2010|TRAINING-POLICE|CENTRALLY HELD|CITY UNIVERSITY|215822|25500
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|215595|32510.17
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216482|-32510.17
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|CRIME DETECTIVE CH. SUPER.|DANWOOD GROUP LTD|216477|20.02
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|-2.32
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|2257.25
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|2542.07
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|3029.92
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|3218.74
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|3463.57
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|6760.07
Department for Transport|British Transport Police |16/07/2010|PHOTCOPIER SERVICE CHARGE|FIN ESTATES|DANWOOD GROUP LTD|216477|10841.67
