DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|SUMOFAMOUNT|TEXT|POSTCODE
Department for Transport|Department for Transport|23/04/2012|Car Hire and Leasing|Air Accident Investigation Branch|ARVAL|2000001474|755.29|March 2012 Fuel|SN5 6PE
Department for Transport|Department for Transport|24/04/2012|Car Hire and Leasing|Air Accident Investigation Branch|VOLKSWAGON FINANCIAL SERVICES LTD|2000001575|14955.48|VOLKSWAGEN 5 YETI'S LEASING 2012|MK14 5LR
Department for Transport|Department for Transport|24/04/2012|Car Hire and Leasing|Air Accident Investigation Branch|VOLKSWAGON FINANCIAL SERVICES LTD|2000001575|9620.32|VOLKSWAGEN 5 YETI'S LEASING 2012|MK14 5LR
Department for Transport|Department for Transport|02/04/2012|Property Maintenance|Air Accident Investigation Branch|TEAM Q MAINTENANCE LIMITED|2000000007|2320||EN8 0NJ
Department for Transport|Department for Transport|02/04/2012|Property Maintenance|Air Accident Investigation Branch|TEAM Q MAINTENANCE LIMITED|2000000007|5394.92|TEAM Q 6 MONTHS EXTENSION|EN8 0NJ
Department for Transport|Department for Transport|04/04/2012|Computer equipment|Air Accident Investigation Branch|SOFTWARE BOX LTD|2000000251|5312.71|SOFTWARE BOX ADAM UPGRADE NON ETHOS|YO61 1ET
Department for Transport|Department for Transport|04/04/2012|Computer equipment|Air Accident Investigation Branch|Probrand Ltd|2000000255|3917.83|Smart UPS RT 2000VA Online UPS|B1 3BP
Department for Transport|Department for Transport|04/04/2012|Property Maintenance|Air Accident Investigation Branch|NORRIS & GARDINER|2000000264|578.18|March 2012 Farnborough Maintenance at AAIB|G21 2TH
Department for Transport|Department for Transport|05/04/2012|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000000361|2385|AAIB 3/2012- Print & Mailing|NR3 1PD
Department for Transport|Department for Transport|05/04/2012|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000000361|1330.42|AAIB 3/2012- Print & Mailing|NR3 1PD
Department for Transport|Department for Transport|05/04/2012|Training|Air Accident Investigation Branch|OTTERSHAW AVIATION LTD|2000000363|885|AVIATION NGB TRAINING 090312|KT16 0HD
Department for Transport|Department for Transport|10/04/2012|Training|Air Accident Investigation Branch|DEUTSCHE LUFTHANSA AG|2000000411|7866.2|Manual Payment - Deutsche Lutfhansa|60546
Department for Transport|Department for Transport|10/04/2012|Agency Staff Costs|Air Accident Investigation Branch|EVOLVE BUSINESS CONSULTANCY LTD|2000000424|12960|EVOLVE IT SYSTEM HEALTH CHECK AAIB|GU10 1DW
Department for Transport|Department for Transport|16/04/2012|Electricity|Air Accident Investigation Branch|MINISTRY OF DEFENCE|2000000977|2346.28|MOD AAIB 31.01.12 - 29.02.12|L2 3YL
Department for Transport|Department for Transport|17/04/2012|Computer equipment|Air Accident Investigation Branch|SOFTWARE BOX LTD|2000001040|821.05||YO61 1ET
Department for Transport|Department for Transport|17/04/2012|Electricity|Air Accident Investigation Branch|HARVEST ENERGY|2000001079|8402.63|27.3.12 10000 LTRS HEATING OIL|W1G 0PU
Department for Transport|Department for Transport|20/04/2012|Computer equipment|Air Accident Investigation Branch|DELL CORPORATION LTD|2000001367|558.54|DELL 5 X E PORT REPLICATORS|RG12 1LF
Department for Transport|Department for Transport|20/04/2012|Contract Cleaning|Air Accident Investigation Branch|NETWORK CLEANING SERVICES LTD|2000001369|1790|AAIB - March 2012|GU51 3XB
